"","date","TFX"
"1","2007-01-03",65.699997
"2","2007-01-04",65.120003
"3","2007-01-05",65.25
"4","2007-01-08",65.160004
"5","2007-01-09",65.599998
"6","2007-01-10",65.300003
"7","2007-01-11",66.199997
"8","2007-01-12",67.110001
"9","2007-01-16",67.150002
"10","2007-01-17",67.25
"11","2007-01-18",66.830002
"12","2007-01-19",66.669998
"13","2007-01-22",66.389999
"14","2007-01-23",66.43
"15","2007-01-24",66.339996
"16","2007-01-25",65.739998
"17","2007-01-26",65.239998
"18","2007-01-29",65.470001
"19","2007-01-30",65.699997
"20","2007-01-31",66.779999
"21","2007-02-01",67.599998
"22","2007-02-02",67.790001
"23","2007-02-05",66.970001
"24","2007-02-06",66.839996
"25","2007-02-07",66.480003
"26","2007-02-08",67
"27","2007-02-09",66.190002
"28","2007-02-12",66.580002
"29","2007-02-13",67.260002
"30","2007-02-14",67.910004
"31","2007-02-15",68.309998
"32","2007-02-16",68.260002
"33","2007-02-20",67.970001
"34","2007-02-21",68.610001
"35","2007-02-22",68.18
"36","2007-02-23",68.379997
"37","2007-02-26",68.370003
"38","2007-02-27",67.870003
"39","2007-02-28",66.919998
"40","2007-03-01",67.620003
"41","2007-03-02",66.849998
"42","2007-03-05",64.57
"43","2007-03-06",64.760002
"44","2007-03-07",65.019997
"45","2007-03-08",65.709999
"46","2007-03-09",65.839996
"47","2007-03-12",66.169998
"48","2007-03-13",64.949997
"49","2007-03-14",65.349998
"50","2007-03-15",65.5
"51","2007-03-16",64.970001
"52","2007-03-19",65.769997
"53","2007-03-20",67.059998
"54","2007-03-21",68.089996
"55","2007-03-22",67.470001
"56","2007-03-23",67.800003
"57","2007-03-26",67.889999
"58","2007-03-27",67.080002
"59","2007-03-28",67.25
"60","2007-03-29",67.660004
"61","2007-03-30",68.07
"62","2007-04-02",68.389999
"63","2007-04-03",69.089996
"64","2007-04-04",69.620003
"65","2007-04-05",68.519997
"66","2007-04-09",68.629997
"67","2007-04-10",68.400002
"68","2007-04-11",68.019997
"69","2007-04-12",68.919998
"70","2007-04-13",69.059998
"71","2007-04-16",69.400002
"72","2007-04-17",69.860001
"73","2007-04-18",69.809998
"74","2007-04-19",69.739998
"75","2007-04-20",70.849998
"76","2007-04-23",70.709999
"77","2007-04-24",70.550003
"78","2007-04-25",71.300003
"79","2007-04-26",70.940002
"80","2007-04-27",71.760002
"81","2007-04-30",71.830002
"82","2007-05-01",74.470001
"83","2007-05-02",74.330002
"84","2007-05-03",73.540001
"85","2007-05-04",73.900002
"86","2007-05-07",75.110001
"87","2007-05-08",74.739998
"88","2007-05-09",75.800003
"89","2007-05-10",75.489998
"90","2007-05-11",75.360001
"91","2007-05-14",74.779999
"92","2007-05-15",75.25
"93","2007-05-16",76.470001
"94","2007-05-17",76.379997
"95","2007-05-18",77.860001
"96","2007-05-21",79.099998
"97","2007-05-22",78.75
"98","2007-05-23",77.790001
