"","date","GLP"
"1","2007-01-03",25.360001
"2","2007-01-04",24.24
"3","2007-01-05",23.940001
"4","2007-01-08",24.35
"5","2007-01-09",24.58
"6","2007-01-10",24.6
"7","2007-01-11",25.190001
"8","2007-01-12",25.16
"9","2007-01-16",25.559999
"10","2007-01-17",25.6
"11","2007-01-18",25.700001
"12","2007-01-19",25.91
"13","2007-01-22",26.110001
"14","2007-01-23",25.969999
"15","2007-01-24",25.700001
"16","2007-01-25",25.700001
"17","2007-01-26",25.99
"18","2007-01-29",26
"19","2007-01-30",26.049999
"20","2007-01-31",26.360001
"21","2007-02-01",26.059999
"22","2007-02-02",26.450001
"23","2007-02-05",27.200001
"24","2007-02-06",27.27
"25","2007-02-07",27.6
"26","2007-02-08",27.6
"27","2007-02-09",26.940001
"28","2007-02-12",27.01
"29","2007-02-13",27.43
"30","2007-02-14",27.6
"31","2007-02-15",27.65
"32","2007-02-16",27.620001
"33","2007-02-20",27.51
"34","2007-02-21",27.74
"35","2007-02-22",28.290001
"36","2007-02-23",28.290001
"37","2007-02-26",28.73
"38","2007-02-27",28.799999
"39","2007-02-28",28.91
"40","2007-03-01",29.07
"41","2007-03-02",28.389999
"42","2007-03-05",28
"43","2007-03-06",28.01
"44","2007-03-07",28.629999
"45","2007-03-08",29.17
"46","2007-03-09",30.01
"47","2007-03-12",31.299999
"48","2007-03-13",31.16
"49","2007-03-14",30.65
"50","2007-03-15",30.959999
"51","2007-03-16",31.309999
"52","2007-03-19",32.639999
"53","2007-03-20",32.529999
"54","2007-03-21",33.080002
"55","2007-03-22",33.580002
"56","2007-03-23",34.52
"57","2007-03-26",33.349998
"58","2007-03-27",35.009998
"59","2007-03-28",36.290001
"60","2007-03-29",36.509998
"61","2007-03-30",35.860001
"62","2007-04-02",37
"63","2007-04-03",37.139999
"64","2007-04-04",35.779999
"65","2007-04-05",34.759998
"66","2007-04-09",34.41
"67","2007-04-10",33.52
"68","2007-04-11",33.240002
"69","2007-04-12",34.32
"70","2007-04-13",33.93
"71","2007-04-16",34.080002
