"","date","JFU"
"1","2019-08-15",9.76
"2","2019-08-16",9.98
"3","2019-08-19",9.72
"4","2019-08-20",12
"5","2019-08-21",10.6
"6","2019-08-22",11.37
"7","2019-08-23",10.61
"8","2019-08-26",10.85
"9","2019-08-27",11.37
"10","2019-08-28",11.295
"11","2019-08-29",11.308
"12","2019-08-30",10.86
"13","2019-09-03",11.25
"14","2019-09-04",11.82
"15","2019-09-05",13.35
"16","2019-09-06",12.9
"17","2019-09-09",11.83
"18","2019-09-10",10.52
"19","2019-09-11",10.5
"20","2019-09-12",9.91
"21","2019-09-13",10.15
"22","2019-09-16",10.38
"23","2019-09-17",11.22
"24","2019-09-18",10.9
"25","2019-09-19",10.8
"26","2019-09-20",10.81
"27","2019-09-23",10.28
"28","2019-09-24",10.33
"29","2019-09-25",10.83
"30","2019-09-26",10.94
"31","2019-09-27",10.35
"32","2019-09-30",11.16
"33","2019-10-01",11.8
"34","2019-10-02",12.73
"35","2019-10-03",11.85
"36","2019-10-04",12.1
"37","2019-10-07",12.1
"38","2019-10-08",11.99
"39","2019-10-09",11.71
"40","2019-10-10",11.75
"41","2019-10-11",12
"42","2019-10-14",11.7
"43","2019-10-15",11.75
"44","2019-10-16",11.89
"45","2019-10-17",12
"46","2019-10-18",11.9
"47","2019-10-21",12.1
"48","2019-10-22",11.5
"49","2019-10-23",11.62
"50","2019-10-24",11.74
"51","2019-10-25",12.37
"52","2019-10-28",12.133
"53","2019-10-29",13.3
"54","2019-10-30",12.01
"55","2019-10-31",11.44
"56","2019-11-01",11.45
"57","2019-11-04",11.5
"58","2019-11-05",11.54
"59","2019-11-06",11.45
"60","2019-11-07",11.55
"61","2019-11-08",11.35
"62","2019-11-11",11.18
"63","2019-11-12",11
"64","2019-11-13",11.01
"65","2019-11-14",11
"66","2019-11-15",11.02
"67","2019-11-18",10.9
"68","2019-11-19",10.81
"69","2019-11-20",10.809
"70","2019-11-21",10.8
"71","2019-11-22",10.71
"72","2019-11-25",10.8
"73","2019-11-26",10.79
"74","2019-11-27",10.615
"75","2019-11-29",10.32
"76","2019-12-02",10.5
"77","2019-12-03",10.4
"78","2019-12-04",10.1
"79","2019-12-05",9.8
"80","2019-12-06",9.6
"81","2019-12-09",9.5
"82","2019-12-10",8.64
"83","2019-12-11",9.52
"84","2019-12-12",9.56
"85","2019-12-13",9.52
"86","2019-12-16",9.52
"87","2019-12-17",9.42
"88","2019-12-18",9.75
"89","2019-12-19",10
"90","2019-12-20",9.56
"91","2019-12-23",9.52
"92","2019-12-24",9.502
"93","2019-12-26",9.5
"94","2019-12-27",9.5
"95","2019-12-30",9.6
"96","2019-12-31",9.6
"97","2020-01-02",9.5
"98","2020-01-03",9.5
"99","2020-01-06",9.5
"100","2020-01-07",9.5
"101","2020-01-08",9.35
"102","2020-01-09",9.48
"103","2020-01-10",9.48
"104","2020-01-13",9.51
"105","2020-01-14",9.5
"106","2020-01-15",9.5
"107","2020-01-16",9.5
"108","2020-01-17",9.4
"109","2020-01-21",9.47
"110","2020-01-22",9.51
"111","2020-01-23",9.5
"112","2020-01-24",9.5
"113","2020-01-27",10.11
"114","2020-01-28",9.91
"115","2020-01-29",9.48
"116","2020-01-30",9.46
"117","2020-01-31",9.5
"118","2020-02-03",9.47
"119","2020-02-04",9.1
"120","2020-02-05",9.19
"121","2020-02-06",9.07
"122","2020-02-07",9.5
"123","2020-02-10",9.46
"124","2020-02-11",9.42
"125","2020-02-12",9.4
"126","2020-02-13",9.36
"127","2020-02-14",9.4
"128","2020-02-18",9.34
"129","2020-02-19",9.3
"130","2020-02-20",9.3
"131","2020-02-21",9.25
"132","2020-02-24",9.15
"133","2020-02-25",9.15
"134","2020-02-26",9.15
"135","2020-02-27",9.15
"136","2020-02-28",9.15
"137","2020-03-02",9.15
"138","2020-03-03",9.16
"139","2020-03-04",9.16
"140","2020-03-05",9.16
"141","2020-03-06",9.48
"142","2020-03-09",9.44
"143","2020-03-10",9.25
"144","2020-03-11",9.235
"145","2020-03-12",9.04
"146","2020-03-13",9.5
"147","2020-03-16",9.12
"148","2020-03-17",9.68
"149","2020-03-18",9.5
"150","2020-03-19",9.29
"151","2020-03-20",9.5
"152","2020-03-23",8.66
"153","2020-03-24",9
"154","2020-03-25",9.47
"155","2020-03-26",9.46
"156","2020-03-27",9.45
"157","2020-03-30",9.39
"158","2020-03-31",9.45
"159","2020-04-01",9.12
"160","2020-04-02",9.4
"161","2020-04-03",9.34
"162","2020-04-06",9.199
"163","2020-04-07",9.275
"164","2020-04-08",9.03
"165","2020-04-09",9.03
"166","2020-04-13",8.55
"167","2020-04-14",8.01
"168","2020-04-15",6.89
"169","2020-04-16",7.044
"170","2020-04-17",7.38
"171","2020-04-20",7.3
"172","2020-04-21",7.29
"173","2020-04-22",6.66
"174","2020-04-23",6.67
"175","2020-04-24",7.195
"176","2020-04-27",6.793
"177","2020-04-28",6.697
"178","2020-04-29",6.29
"179","2020-04-30",6.88
"180","2020-05-01",6.31
"181","2020-05-04",5.5
"182","2020-05-05",6.135
"183","2020-05-06",5.5
"184","2020-05-07",6.05
"185","2020-05-08",6.05
"186","2020-05-11",6.05
"187","2020-05-12",5.78
"188","2020-05-13",5.78
"189","2020-05-14",5.51
"190","2020-05-15",5.9
"191","2020-05-18",5.955
"192","2020-05-19",6
"193","2020-05-20",5.69
"194","2020-05-21",5.83
"195","2020-05-22",5.78
"196","2020-05-26",5.78
"197","2020-05-27",5.921
"198","2020-05-28",5.9
"199","2020-05-29",6.25
"200","2020-06-01",6.3
"201","2020-06-02",6.295
"202","2020-06-03",6.3
"203","2020-06-04",6.2
"204","2020-06-05",6.59
