"","date","DCT"
"1","2020-08-14",40
"2","2020-08-17",38.84
"3","2020-08-18",39.59
"4","2020-08-19",41.25
"5","2020-08-20",41.93
"6","2020-08-21",41
"7","2020-08-24",40.18
"8","2020-08-25",40.169998
"9","2020-08-26",41.360001
"10","2020-08-27",40.27
"11","2020-08-28",41.220001
"12","2020-08-31",38.990002
"13","2020-09-01",37.810001
"14","2020-09-02",37.5
"15","2020-09-03",37.209999
"16","2020-09-04",36.619999
"17","2020-09-08",37.310001
"18","2020-09-09",38.360001
"19","2020-09-10",38.740002
"20","2020-09-11",39.34
"21","2020-09-14",40.919998
"22","2020-09-15",42.07
"23","2020-09-16",40.689999
"24","2020-09-17",40.77
"25","2020-09-18",40.41
"26","2020-09-21",40.950001
"27","2020-09-22",41.009998
"28","2020-09-23",41.700001
"29","2020-09-24",40.880001
"30","2020-09-25",42.220001
"31","2020-09-28",44.099998
"32","2020-09-29",43.52
"33","2020-09-30",45.43
"34","2020-10-01",44.66
"35","2020-10-02",42.91
"36","2020-10-05",42.130001
"37","2020-10-06",40.110001
"38","2020-10-07",40
"39","2020-10-08",40.099998
"40","2020-10-09",40.290001
"41","2020-10-12",42.209999
"42","2020-10-13",43.400002
"43","2020-10-14",42.830002
"44","2020-10-15",43.099998
"45","2020-10-16",45.689999
"46","2020-10-19",44.119999
"47","2020-10-20",43.779999
"48","2020-10-21",45.009998
"49","2020-10-22",45.23
"50","2020-10-23",46.330002
"51","2020-10-26",45.32
"52","2020-10-27",44.950001
"53","2020-10-28",44.080002
"54","2020-10-29",43.689999
"55","2020-10-30",43.369999
"56","2020-11-02",43.419998
"57","2020-11-03",43.57
"58","2020-11-04",45.110001
"59","2020-11-05",46.75
"60","2020-11-06",47.18
"61","2020-11-09",44.889999
"62","2020-11-10",42.599998
"63","2020-11-11",40
"64","2020-11-12",39.959999
"65","2020-11-13",39.5
"66","2020-11-16",40.860001
"67","2020-11-17",40.439999
"68","2020-11-18",39.599998
"69","2020-11-19",39.349998
"70","2020-11-20",41.380001
"71","2020-11-23",42.560001
"72","2020-11-24",41.41
"73","2020-11-25",39.759998
"74","2020-11-27",40.470001
