"","date","VRME"
"1","2007-01-03",170
"2","2007-01-04",182.75
"3","2007-01-05",182.75
"4","2007-01-08",182.75
"5","2007-01-09",148.75
"6","2007-01-10",148.75
"7","2007-01-11",148.75
"8","2007-01-12",148.75
"9","2007-01-16",148.75
"10","2007-01-17",148.75
"11","2007-01-18",148.75
"12","2007-01-19",148.75
"13","2007-01-22",148.75
"14","2007-01-23",148.75
"15","2007-01-24",148.75
"16","2007-01-25",148.75
"17","2007-01-26",127.5
"18","2007-01-29",170
"19","2007-01-30",148.75
"20","2007-01-31",148.75
"21","2007-02-01",148.75
"22","2007-02-02",148.75
"23","2007-02-05",148.75
"24","2007-02-06",148.75
"25","2007-02-07",148.75
"26","2007-02-08",148.75
"27","2007-02-09",136
"28","2007-02-12",136
"29","2007-02-13",153
"30","2007-02-14",136
"31","2007-02-15",136
"32","2007-02-16",136
"33","2007-02-20",136
"34","2007-02-21",136
"35","2007-02-22",136
"36","2007-02-23",136
"37","2007-02-26",136
"38","2007-02-27",136
"39","2007-02-28",136
"40","2007-03-01",136
"41","2007-03-02",136
"42","2007-03-05",136
"43","2007-03-06",136
"44","2007-03-07",136
"45","2007-03-08",127.5
"46","2007-03-09",127.5
"47","2007-03-12",127.5
"48","2007-03-13",127.5
"49","2007-03-14",127.5
"50","2007-03-15",127.5
"51","2007-03-16",127.5
"52","2007-03-19",127.5
"53","2007-03-20",127.5
"54","2007-03-21",127.5
"55","2007-03-22",136
"56","2007-03-23",136
"57","2007-03-26",136
"58","2007-03-27",136
"59","2007-03-28",136
"60","2007-03-29",136
"61","2007-03-30",136
"62","2007-04-02",136
"63","2007-04-03",136
"64","2007-04-04",136
"65","2007-04-05",136
"66","2007-04-09",136
"67","2007-04-10",136
"68","2007-04-11",136
"69","2007-04-12",136
"70","2007-04-13",136
"71","2007-04-16",136
"72","2007-04-17",136
"73","2007-04-18",136
"74","2007-04-19",136
"75","2007-04-20",127.5
"76","2007-04-23",127.5
"77","2007-04-24",127.5
"78","2007-04-25",127.5
"79","2007-04-26",85
"80","2007-04-27",85
"81","2007-04-30",85
"82","2007-05-01",85
"83","2007-05-02",85
"84","2007-05-03",76.5
"85","2007-05-04",76.5
"86","2007-05-07",68
"87","2007-05-08",68
"88","2007-05-09",68
"89","2007-05-10",68
"90","2007-05-11",68
"91","2007-05-14",68
"92","2007-05-15",68
"93","2007-05-16",68
"94","2007-05-17",68
"95","2007-05-18",68
"96","2007-05-21",68
"97","2007-05-22",68
"98","2007-05-23",102
"99","2007-05-24",102
"100","2007-05-25",68
"101","2007-05-29",68
"102","2007-05-30",102
