"","date","MRKR"
"1","2007-01-03",3000
"2","2007-01-04",3000
"3","2007-01-05",3000
"4","2007-01-08",3000
"5","2007-01-09",2700
"6","2007-01-10",3000
"7","2007-01-11",3000
"8","2007-01-12",3000
"9","2007-01-16",3000
"10","2007-01-17",3300
"11","2007-01-18",3000
"12","2007-01-19",3300
"13","2007-01-22",3900
"14","2007-01-23",5400
"15","2007-01-24",4800
"16","2007-01-25",5100
"17","2007-01-26",5400
"18","2007-01-29",4800
"19","2007-01-30",4800
"20","2007-01-31",4800
"21","2007-02-01",5100
"22","2007-02-02",5700
"23","2007-02-05",4800
"24","2007-02-06",5100
"25","2007-02-07",5100
"26","2007-02-08",4800
"27","2007-02-09",4800
"28","2007-02-12",5400
"29","2007-02-13",4800
"30","2007-02-14",4800
"31","2007-02-15",5400
"32","2007-02-16",5100
"33","2007-02-20",4200
"34","2007-02-21",4500
"35","2007-02-22",4500
"36","2007-02-23",4500
"37","2007-02-26",4200
"38","2007-02-27",4500
"39","2007-02-28",3300
"40","2007-03-01",4800
"41","2007-03-02",4500
"42","2007-03-05",4500
"43","2007-03-06",5400
"44","2007-03-07",4500
"45","2007-03-08",5400
"46","2007-03-09",4800
"47","2007-03-12",3600
"48","2007-03-13",3600
"49","2007-03-14",3600
"50","2007-03-15",3600
"51","2007-03-16",3900
"52","2007-03-19",4200
"53","2007-03-20",3900
"54","2007-03-21",3900
"55","2007-03-22",3900
"56","2007-03-23",3900
"57","2007-03-26",3600
"58","2007-03-27",3600
"59","2007-03-28",3600
"60","2007-03-29",3300
"61","2007-03-30",4200
"62","2007-04-02",3900
"63","2007-04-03",3600
"64","2007-04-04",3600
"65","2007-04-05",3600
"66","2007-04-09",3600
"67","2007-04-10",3900
"68","2007-04-11",3900
"69","2007-04-12",3900
"70","2007-04-13",3900
"71","2007-04-16",4200
"72","2007-04-17",4500
"73","2007-04-18",3900
"74","2007-04-19",4500
"75","2007-04-20",4500
"76","2007-04-23",3300
"77","2007-04-24",3600
"78","2007-04-25",3600
"79","2007-04-26",3600
"80","2007-04-27",3600
"81","2007-04-30",4500
"82","2007-05-01",4500
"83","2007-05-02",3600
"84","2007-05-03",3600
"85","2007-05-04",3600
"86","2007-05-07",3600
"87","2007-05-08",3600
"88","2007-05-09",3300
"89","2007-05-10",4200
"90","2007-05-11",4200
"91","2007-05-14",4200
"92","2007-05-15",4200
"93","2007-05-16",3300
"94","2007-05-17",3900
"95","2007-05-18",3900
"96","2007-05-21",4500
"97","2007-05-22",4500
"98","2007-05-23",3600
"99","2007-05-24",3600
"100","2007-05-25",3900
"101","2007-05-29",3600
"102","2007-05-30",3600
"103","2007-05-31",3600
"104","2007-06-01",3600
"105","2007-06-04",3600
"106","2007-06-05",3600
"107","2007-06-06",3600
"108","2007-06-07",3600
"109","2007-06-08",3300
"110","2007-06-11",3300
"111","2007-06-12",3300
"112","2007-06-13",3300
"113","2007-06-14",3300
"114","2007-06-15",3300
"115","2007-06-18",3600
"116","2007-06-19",3600
"117","2007-06-20",3900
"118","2007-06-21",3900
"119","2007-06-22",3900
"120","2007-06-25",3900
"121","2007-06-26",3900
"122","2007-06-27",3600
"123","2007-06-28",3600
"124","2007-06-29",4680
"125","2007-07-02",4680
"126","2007-07-03",4680
"127","2007-07-05",4800
"128","2007-07-06",4800
"129","2007-07-09",4800
"130","2007-07-10",4800
"131","2007-07-11",9000
"132","2007-07-12",9000
"133","2007-07-13",12000
"134","2007-07-16",10200
"135","2007-07-17",10200
"136","2007-07-18",12000
"137","2007-07-19",12000
"138","2007-07-20",10800
"139","2007-07-23",10800
"140","2007-07-24",10200
"141","2007-07-25",10200
"142","2007-07-26",10200
"143","2007-07-27",9600
"144","2007-07-30",10200
"145","2007-07-31",8160
"146","2007-08-01",7200
"147","2007-08-02",8400
"148","2007-08-03",7800
"149","2007-08-06",6120
"150","2007-08-07",7200
"151","2007-08-08",8400
"152","2007-08-09",7920
"153","2007-08-10",7800
"154","2007-08-13",7320
"155","2007-08-14",5880
"156","2007-08-15",6480
"157","2007-08-16",5400
"158","2007-08-17",5880
"159","2007-08-20",5880
"160","2007-08-21",5280
"161","2007-08-22",5280
"162","2007-08-23",5280
"163","2007-08-24",5280
"164","2007-08-27",5280
"165","2007-08-28",5280
"166","2007-08-29",5400
"167","2007-08-30",5400
"168","2007-08-31",5400
"169","2007-09-04",5400
"170","2007-09-05",4440
"171","2007-09-06",5640
"172","2007-09-07",5640
"173","2007-09-10",5640
"174","2007-09-11",5640
"175","2007-09-12",3840
"176","2007-09-13",3840
"177","2007-09-14",3840
"178","2007-09-17",5280
"179","2007-09-18",5280
"180","2007-09-19",4560
"181","2007-09-20",4560
"182","2007-09-21",4560
"183","2007-09-24",4560
"184","2007-09-25",4320
"185","2007-09-26",4920
"186","2007-09-27",4920
"187","2007-09-28",5400
"188","2007-10-01",4920
"189","2007-10-02",8280
"190","2007-10-03",7200
"191","2007-10-04",6120
"192","2007-10-05",6000
"193","2007-10-08",6120
"194","2007-10-09",6120
"195","2007-10-10",5760
"196","2007-10-11",6120
"197","2007-10-12",5400
"198","2007-10-15",5400
"199","2007-10-16",5400
"200","2007-10-17",4800
"201","2007-10-18",4680
"202","2007-10-19",4200
"203","2007-10-22",6120
"204","2007-10-23",6120
"205","2007-10-24",5400
"206","2007-10-25",6120
"207","2007-10-26",4800
"208","2007-10-29",4200
"209","2007-10-30",4200
"210","2007-10-31",4200
"211","2007-11-01",3720
"212","2007-11-02",3720
"213","2007-11-05",3600
"214","2007-11-06",3600
"215","2007-11-07",3600
"216","2007-11-08",2760
"217","2007-11-09",3360
"218","2007-11-12",3360
"219","2007-11-13",3360
"220","2007-11-14",3360
"221","2007-11-15",2760
"222","2007-11-16",2760
"223","2007-11-19",2760
"224","2007-11-20",2760
"225","2007-11-21",2760
"226","2007-11-23",2760
"227","2007-11-26",4800
"228","2007-11-27",2640
"229","2007-11-28",2520
"230","2007-11-29",3240
"231","2007-11-30",3000
"232","2007-12-03",2760
"233","2007-12-04",2640
"234","2007-12-05",2760
"235","2007-12-06",3000
"236","2007-12-07",2760
"237","2007-12-10",3000
"238","2007-12-11",2520
"239","2007-12-12",2880
"240","2007-12-13",2160
"241","2007-12-14",2400
"242","2007-12-17",2400
"243","2007-12-18",2160
"244","2007-12-19",2640
"245","2007-12-20",2160
"246","2007-12-21",1680
"247","2007-12-24",2040
"248","2007-12-26",2040
"249","2007-12-27",2640
"250","2007-12-28",2040
"251","2007-12-31",1680
"252","2008-01-02",1680
"253","2008-01-03",1680
"254","2008-01-04",1680
"255","2008-01-07",2640
"256","2008-01-08",2520
"257","2008-01-09",2760
"258","2008-01-10",3480
"259","2008-01-11",3600
"260","2008-01-14",2760
"261","2008-01-15",2880
"262","2008-01-16",3960
"263","2008-01-17",4320
"264","2008-01-18",3720
"265","2008-01-22",3600
"266","2008-01-23",3600
"267","2008-01-24",2880
"268","2008-01-25",2880
"269","2008-01-28",2880
"270","2008-01-29",2040
"271","2008-01-30",2880
"272","2008-01-31",2880
"273","2008-02-01",3000
"274","2008-02-04",3000
"275","2008-02-05",3000
"276","2008-02-06",3000
"277","2008-02-07",1920
"278","2008-02-08",3000
"279","2008-02-11",3000
"280","2008-02-12",3000
"281","2008-02-13",3000
"282","2008-02-14",1920
"283","2008-02-15",1920
"284","2008-02-19",1920
"285","2008-02-20",1920
"286","2008-02-21",1920
"287","2008-02-22",1800
"288","2008-02-25",1800
"289","2008-02-26",1680
"290","2008-02-27",1680
"291","2008-02-28",1680
"292","2008-02-29",1680
"293","2008-03-03",1800
"294","2008-03-04",2760
"295","2008-03-05",2040
"296","2008-03-06",2040
"297","2008-03-07",2040
"298","2008-03-10",2040
"299","2008-03-11",1800
"300","2008-03-12",1800
"301","2008-03-13",1800
"302","2008-03-14",1080
"303","2008-03-17",1440
"304","2008-03-18",1440
"305","2008-03-19",1200
"306","2008-03-20",1200
"307","2008-03-24",1200
"308","2008-03-25",1200
"309","2008-03-26",1320
"310","2008-03-27",1080
"311","2008-03-28",1080
"312","2008-03-31",1200
"313","2008-04-01",1200
"314","2008-04-02",1440
"315","2008-04-03",2160
"316","2008-04-04",2520
"317","2008-04-07",3840
"318","2008-04-08",3600
"319","2008-04-09",2280
"320","2008-04-10",2640
"321","2008-04-11",3000
"322","2008-04-14",2640
"323","2008-04-15",2760
"324","2008-04-16",2880
"325","2008-04-17",2880
"326","2008-04-18",2040
"327","2008-04-21",2640
"328","2008-04-22",2400
"329","2008-04-23",2160
"330","2008-04-24",2160
"331","2008-04-25",2400
"332","2008-04-28",2400
"333","2008-04-29",2400
"334","2008-04-30",2880
"335","2008-05-01",2880
"336","2008-05-02",2880
"337","2008-05-05",2640
"338","2008-05-06",2400
"339","2008-05-07",2640
"340","2008-05-08",3000
"341","2008-05-09",2880
"342","2008-05-12",2280
"343","2008-05-13",3120
"344","2008-05-14",2760
"345","2008-05-15",2640
"346","2008-05-16",2880
"347","2008-05-19",2640
"348","2008-05-20",2640
"349","2008-05-21",2640
"350","2008-05-22",2640
"351","2008-05-23",3000
"352","2008-05-27",2640
"353","2008-05-28",2880
"354","2008-05-29",3360
"355","2008-05-30",3720
"356","2008-06-02",5160
"357","2008-06-03",4200
"358","2008-06-04",4080
"359","2008-06-05",4680
"360","2008-06-06",4680
"361","2008-06-09",4680
"362","2008-06-10",4320
