"","date","JAZZ"
"1","2007-06-01",17.73
"2","2007-06-04",17.549999
"3","2007-06-05",17.59
"4","2007-06-06",17.469999
"5","2007-06-07",17.209999
"6","2007-06-08",17.25
"7","2007-06-11",17.24
"8","2007-06-12",17
"9","2007-06-13",17
"10","2007-06-14",17
"11","2007-06-15",17.58
"12","2007-06-18",16.969999
"13","2007-06-19",16.99
"14","2007-06-20",17
"15","2007-06-21",16.950001
"16","2007-06-22",16.639999
"17","2007-06-25",16.02
"18","2007-06-26",15.71
"19","2007-06-27",15.77
"20","2007-06-28",15.82
"21","2007-06-29",16
"22","2007-07-02",16.5
"23","2007-07-03",16.09
"24","2007-07-05",16.18
"25","2007-07-06",15.91
"26","2007-07-09",15.98
"27","2007-07-10",16
"28","2007-07-11",15.77
"29","2007-07-12",15.34
"30","2007-07-13",14.73
"31","2007-07-16",14.76
"32","2007-07-17",14.51
"33","2007-07-18",14.2
"34","2007-07-19",14.26
"35","2007-07-20",14.3
"36","2007-07-23",14.5
"37","2007-07-24",14.5
"38","2007-07-25",14.46
"39","2007-07-26",14.24
"40","2007-07-27",13.85
"41","2007-07-30",14.95
"42","2007-07-31",14.19
"43","2007-08-01",13.65
"44","2007-08-02",13.49
"45","2007-08-03",13.58
"46","2007-08-06",13.51
"47","2007-08-07",13.26
"48","2007-08-08",13.17
"49","2007-08-09",12.1
"50","2007-08-10",12.93
"51","2007-08-13",13.25
"52","2007-08-14",13.09
"53","2007-08-15",12.75
"54","2007-08-16",12.83
"55","2007-08-17",13.18
"56","2007-08-20",13
"57","2007-08-21",12.55
"58","2007-08-22",13.37
"59","2007-08-23",13.25
"60","2007-08-24",13.29
"61","2007-08-27",13.4
"62","2007-08-28",12.77
"63","2007-08-29",13.1
"64","2007-08-30",13.07
"65","2007-08-31",13.44
"66","2007-09-04",13.85
"67","2007-09-05",13.15
"68","2007-09-06",13.03
"69","2007-09-07",13.49
"70","2007-09-10",12.99
"71","2007-09-11",13.02
"72","2007-09-12",13.14
"73","2007-09-13",13
"74","2007-09-14",13.12
"75","2007-09-17",12.92
"76","2007-09-18",12.86
"77","2007-09-19",12.99
"78","2007-09-20",12.99
"79","2007-09-21",13.11
"80","2007-09-24",12.7
"81","2007-09-25",12.9
"82","2007-09-26",12.76
"83","2007-09-27",11.95
"84","2007-09-28",11.2
"85","2007-10-01",13.07
"86","2007-10-02",13.48
"87","2007-10-03",13.26
"88","2007-10-04",13.5
"89","2007-10-05",13.5
"90","2007-10-08",13.44
"91","2007-10-09",13.43
"92","2007-10-10",13.43
"93","2007-10-11",13.46
"94","2007-10-12",13.42
"95","2007-10-15",13.02
"96","2007-10-16",13.08
"97","2007-10-17",13.13
"98","2007-10-18",13.05
"99","2007-10-19",12.53
"100","2007-10-22",12.97
"101","2007-10-23",13
"102","2007-10-24",13.01
"103","2007-10-25",13.06
"104","2007-10-26",13.48
"105","2007-10-29",13.44
"106","2007-10-30",13.07
"107","2007-10-31",13.38
"108","2007-11-01",13.02
"109","2007-11-02",13.02
"110","2007-11-05",13.33
"111","2007-11-06",13.24
"112","2007-11-07",13
"113","2007-11-08",13.79
"114","2007-11-09",13.42
"115","2007-11-12",13.4
"116","2007-11-13",13.48
"117","2007-11-14",12.75
"118","2007-11-15",12.9
"119","2007-11-16",13.66
"120","2007-11-19",13.09
"121","2007-11-20",13.47
"122","2007-11-21",13.3
"123","2007-11-23",13.38
"124","2007-11-26",13.45
"125","2007-11-27",13.86
"126","2007-11-28",14.56
"127","2007-11-29",15.6
"128","2007-11-30",15.51
"129","2007-12-03",15.77
"130","2007-12-04",15.66
"131","2007-12-05",15.44
"132","2007-12-06",16.950001
"133","2007-12-07",17.030001
"134","2007-12-10",16.07
"135","2007-12-11",15.06
"136","2007-12-12",14.31
"137","2007-12-13",15.5
"138","2007-12-14",15.37
"139","2007-12-17",15.15
"140","2007-12-18",14.7
"141","2007-12-19",14.7
"142","2007-12-20",16.059999
"143","2007-12-21",15.48
"144","2007-12-24",14.59
"145","2007-12-26",15.06
"146","2007-12-27",14.94
"147","2007-12-28",14.79
"148","2007-12-31",14.7
"149","2008-01-02",14.8
"150","2008-01-03",14.81
"151","2008-01-04",14.25
"152","2008-01-07",14.77
"153","2008-01-08",14.64
"154","2008-01-09",15.1
"155","2008-01-10",15.46
"156","2008-01-11",14.75
"157","2008-01-14",14.53
"158","2008-01-15",14.48
"159","2008-01-16",14.84
"160","2008-01-17",14.64
"161","2008-01-18",14.5
"162","2008-01-22",14.31
"163","2008-01-23",14.24
"164","2008-01-24",14.25
"165","2008-01-25",14.52
"166","2008-01-28",14.28
"167","2008-01-29",14.51
"168","2008-01-30",13.91
"169","2008-01-31",13.1
"170","2008-02-01",13.36
"171","2008-02-04",13.04
"172","2008-02-05",12.64
"173","2008-02-06",12.19
"174","2008-02-07",12.69
"175","2008-02-08",12.27
"176","2008-02-11",12.39
