"","date","QQQX"
"1","2007-02-01",20.1
"2","2007-02-02",20.25
"3","2007-02-05",20.200001
"4","2007-02-06",20
"5","2007-02-07",20.07
"6","2007-02-08",20.139999
"7","2007-02-09",20.530001
"8","2007-02-12",20.52
"9","2007-02-13",20.450001
"10","2007-02-14",20.299999
"11","2007-02-15",20.49
"12","2007-02-16",20.24
"13","2007-02-20",20.01
"14","2007-02-21",20.24
"15","2007-02-22",20.4
"16","2007-02-23",20.15
"17","2007-02-26",20
"18","2007-02-27",20
"19","2007-02-28",20.01
"20","2007-03-01",20
"21","2007-03-02",20.01
"22","2007-03-05",20
"23","2007-03-06",20
"24","2007-03-07",20
"25","2007-03-08",20
"26","2007-03-09",20
"27","2007-03-12",20.01
"28","2007-03-13",20
"29","2007-03-14",20
"30","2007-03-15",19.969999
"31","2007-03-16",20.120001
"32","2007-03-19",19.969999
"33","2007-03-20",20
"34","2007-03-21",20
"35","2007-03-22",19.950001
"36","2007-03-23",19.940001
"37","2007-03-26",19.65
"38","2007-03-27",19.77
"39","2007-03-28",19.469999
"40","2007-03-29",19.4
"41","2007-03-30",19.33
"42","2007-04-02",19.25
"43","2007-04-03",19.450001
"44","2007-04-04",19.34
"45","2007-04-05",19.700001
"46","2007-04-09",20.18
"47","2007-04-10",20.290001
"48","2007-04-11",20.09
"49","2007-04-12",20.040001
"50","2007-04-13",20.040001
"51","2007-04-16",20.07
"52","2007-04-17",20.049999
"53","2007-04-18",20
"54","2007-04-19",19.959999
"55","2007-04-20",19.83
"56","2007-04-23",19.860001
"57","2007-04-24",19.780001
"58","2007-04-25",19.68
"59","2007-04-26",19.65
"60","2007-04-27",19.75
"61","2007-04-30",19.59
"62","2007-05-01",19.549999
"63","2007-05-02",19.549999
"64","2007-05-03",19.59
"65","2007-05-04",19.93
"66","2007-05-07",19.870001
"67","2007-05-08",19.74
"68","2007-05-09",19.950001
"69","2007-05-10",20
"70","2007-05-11",19.74
"71","2007-05-14",19.65
"72","2007-05-15",19.549999
"73","2007-05-16",19.41
"74","2007-05-17",19.059999
"75","2007-05-18",19.49
"76","2007-05-21",19.379999
