"","date","KOF"
"1","2007-01-03",37.5
"2","2007-01-04",37.279999
"3","2007-01-05",36.880001
"4","2007-01-08",36.959999
"5","2007-01-09",35.990002
"6","2007-01-10",35.84
"7","2007-01-11",36.25
"8","2007-01-12",36.52
"9","2007-01-16",37.18
"10","2007-01-17",37.57
"11","2007-01-18",37.950001
"12","2007-01-19",39.560001
"13","2007-01-22",39.369999
"14","2007-01-23",39.889999
"15","2007-01-24",40.130001
"16","2007-01-25",39.48
"17","2007-01-26",39.939999
"18","2007-01-29",39.48
"19","2007-01-30",39.639999
"20","2007-01-31",40.02
"21","2007-02-01",41.240002
"22","2007-02-02",41.380001
"23","2007-02-05",40.029999
"24","2007-02-06",40.639999
"25","2007-02-07",40.310001
"26","2007-02-08",39.830002
"27","2007-02-09",39.919998
"28","2007-02-12",39.639999
"29","2007-02-13",39.970001
"30","2007-02-14",40.25
"31","2007-02-15",40.099998
"32","2007-02-16",39.779999
"33","2007-02-20",39.130001
"34","2007-02-21",39.599998
"35","2007-02-22",39.48
"36","2007-02-23",38.669998
"37","2007-02-26",37.099998
"38","2007-02-27",35
"39","2007-02-28",34.450001
"40","2007-03-01",34.709999
"41","2007-03-02",35.139999
"42","2007-03-05",34.66
"43","2007-03-06",34.73
"44","2007-03-07",34.200001
"45","2007-03-08",34.610001
"46","2007-03-09",34.610001
"47","2007-03-12",34.669998
"48","2007-03-13",34.220001
"49","2007-03-14",34.220001
"50","2007-03-15",34.049999
"51","2007-03-16",34.060001
"52","2007-03-19",34.310001
"53","2007-03-20",34.48
"54","2007-03-21",35.970001
"55","2007-03-22",36.009998
"56","2007-03-23",35.98
"57","2007-03-26",36.09
"58","2007-03-27",35.970001
"59","2007-03-28",35.889999
"60","2007-03-29",36.57
"61","2007-03-30",36.119999
"62","2007-04-02",37.669998
"63","2007-04-03",38.380001
"64","2007-04-04",37.720001
"65","2007-04-05",37.380001
"66","2007-04-09",38.040001
"67","2007-04-10",37.529999
"68","2007-04-11",36.48
"69","2007-04-12",36.959999
"70","2007-04-13",37
"71","2007-04-16",38.07
"72","2007-04-17",37.959999
"73","2007-04-18",38.73
"74","2007-04-19",38.779999
"75","2007-04-20",38.57
"76","2007-04-23",38.580002
"77","2007-04-24",38.419998
"78","2007-04-25",37.75
"79","2007-04-26",38.799999
"80","2007-04-27",38.200001
"81","2007-04-30",38.889999
"82","2007-05-01",39.709999
"83","2007-05-02",39.150002
"84","2007-05-03",39.009998
"85","2007-05-04",39.490002
"86","2007-05-07",39.459999
"87","2007-05-08",39.369999
"88","2007-05-09",39.5
"89","2007-05-10",38.259998
"90","2007-05-11",39.75
"91","2007-05-14",39.060001
"92","2007-05-15",39.619999
"93","2007-05-16",40.240002
"94","2007-05-17",40.009998
"95","2007-05-18",40.240002
"96","2007-05-21",40.400002
"97","2007-05-22",40.150002
