"","date","GO"
"1","2019-06-20",28.51
"2","2019-06-21",28.6
"3","2019-06-24",29.99
"4","2019-06-25",30.690001
"5","2019-06-26",32.98
"6","2019-06-27",32.709999
"7","2019-06-28",32.880001
"8","2019-07-01",33.099998
"9","2019-07-02",33
"10","2019-07-03",33.200001
"11","2019-07-05",33.029999
"12","2019-07-08",32.25
"13","2019-07-09",32.68
"14","2019-07-10",32.720001
"15","2019-07-11",33.130001
"16","2019-07-12",33.810001
"17","2019-07-15",35.380001
"18","2019-07-16",34.810001
"19","2019-07-17",35.450001
"20","2019-07-18",35.869999
"21","2019-07-19",37.650002
"22","2019-07-22",39.25
"23","2019-07-23",36.849998
"24","2019-07-24",38.349998
"25","2019-07-25",38.16
"26","2019-07-26",38.990002
"27","2019-07-29",39.07
"28","2019-07-30",38.540001
"29","2019-07-31",38.939999
"30","2019-08-01",38.93
"31","2019-08-02",38.75
"32","2019-08-05",38.439999
"33","2019-08-06",37.200001
"34","2019-08-07",37.599998
"35","2019-08-08",37.82
"36","2019-08-09",37.84
"37","2019-08-12",37.540001
"38","2019-08-13",37.599998
"39","2019-08-14",39.5
"40","2019-08-15",43.759998
"41","2019-08-16",46.639999
"42","2019-08-19",43.330002
"43","2019-08-20",42.959999
"44","2019-08-21",41.779999
"45","2019-08-22",43.560001
"46","2019-08-23",41.75
"47","2019-08-26",42.799999
"48","2019-08-27",44.009998
"49","2019-08-28",42.57
"50","2019-08-29",41.82
"51","2019-08-30",40.450001
"52","2019-09-03",40.299999
"53","2019-09-04",40.060001
"54","2019-09-05",40.080002
"55","2019-09-06",39.740002
"56","2019-09-09",37.029999
"57","2019-09-10",35.209999
"58","2019-09-11",36.650002
"59","2019-09-12",36.849998
"60","2019-09-13",36.959999
"61","2019-09-16",37.150002
"62","2019-09-17",36.73
"63","2019-09-18",36.869999
"64","2019-09-19",37.419998
"65","2019-09-20",38.080002
"66","2019-09-23",38.919998
"67","2019-09-24",37.790001
"68","2019-09-25",35.91
"69","2019-09-26",35.709999
"70","2019-09-27",34.360001
"71","2019-09-30",34.68
"72","2019-10-01",33.689999
"73","2019-10-02",33.009998
"74","2019-10-03",33.91
"75","2019-10-04",34
"76","2019-10-07",33.549999
"77","2019-10-08",32.799999
"78","2019-10-09",32.849998
"79","2019-10-10",32.299999
"80","2019-10-11",32.790001
"81","2019-10-14",33.560001
"82","2019-10-15",33.669998
"83","2019-10-16",33.509998
"84","2019-10-17",33.48
"85","2019-10-18",33.07
"86","2019-10-21",32.75
"87","2019-10-22",31.76
