"","date","VFF"
"1","2019-02-21",9.85
"2","2019-02-22",10.75
"3","2019-02-25",9.9
"4","2019-02-26",10.29
"5","2019-02-27",9.89
"6","2019-02-28",10.58
"7","2019-03-01",11.888
"8","2019-03-04",11.888
"9","2019-03-05",11.888
"10","2019-03-06",11.888
"11","2019-03-07",11.888
"12","2019-03-08",11.888
"13","2019-03-11",13.71
"14","2019-03-12",13.09
"15","2019-03-13",12.75
"16","2019-03-14",13.06
"17","2019-03-15",14.31
"18","2019-03-18",16.33
"19","2019-03-19",16.120001
"20","2019-03-20",16.049999
"21","2019-03-21",17.450001
"22","2019-03-22",16.360001
"23","2019-03-25",14.56
"24","2019-03-26",14.08
"25","2019-03-27",13.19
"26","2019-03-28",14.07
"27","2019-03-29",14.01
"28","2019-04-01",15.32
"29","2019-04-02",15.02
"30","2019-04-03",15.87
"31","2019-04-04",15.97
"32","2019-04-05",15.64
"33","2019-04-08",14.48
"34","2019-04-09",13.81
"35","2019-04-10",13.67
"36","2019-04-11",12.96
"37","2019-04-12",13.31
"38","2019-04-15",12.69
"39","2019-04-16",11.31
"40","2019-04-17",12.48
"41","2019-04-18",11.92
"42","2019-04-22",11.56
"43","2019-04-23",11.08
"44","2019-04-24",12.29
"45","2019-04-25",11.62
"46","2019-04-26",11.57
"47","2019-04-29",12.01
"48","2019-04-30",12.5
"49","2019-05-01",11.9
"50","2019-05-02",11.53
"51","2019-05-03",11.79
"52","2019-05-06",11.9
"53","2019-05-07",11.25
"54","2019-05-08",10.95
"55","2019-05-09",11.01
"56","2019-05-10",12.61
"57","2019-05-13",12.37
"58","2019-05-14",12.68
"59","2019-05-15",13.14
"60","2019-05-16",13.79
"61","2019-05-17",13.32
"62","2019-05-20",13.28
"63","2019-05-21",13.21
"64","2019-05-22",13.68
"65","2019-05-23",13.51
"66","2019-05-24",13.19
"67","2019-05-28",13.18
"68","2019-05-29",12.72
"69","2019-05-30",12.7
"70","2019-05-31",12.1
"71","2019-06-03",11.89
"72","2019-06-04",12.43
"73","2019-06-05",12.8
"74","2019-06-06",12.88
"75","2019-06-07",13.13
"76","2019-06-10",13.44
"77","2019-06-11",13.01
"78","2019-06-12",12.64
"79","2019-06-13",12.85
"80","2019-06-14",11.66
"81","2019-06-17",12.22
"82","2019-06-18",12.28
"83","2019-06-19",12.5
"84","2019-06-20",12.67
"85","2019-06-21",11.69
"86","2019-06-24",11.32
"87","2019-06-25",10.85
"88","2019-06-26",11.24
"89","2019-06-27",11.47
"90","2019-06-28",11.44
"91","2019-07-01",11.6
"92","2019-07-02",11.29
"93","2019-07-03",10.97
"94","2019-07-05",11.53
"95","2019-07-08",11.4
"96","2019-07-09",11.28
"97","2019-07-10",10.65
"98","2019-07-11",10.04
"99","2019-07-12",9.28
"100","2019-07-15",9.41
"101","2019-07-16",9.27
"102","2019-07-17",9.69
"103","2019-07-18",9.79
"104","2019-07-19",10.18
"105","2019-07-22",10.69
"106","2019-07-23",10.69
"107","2019-07-24",10.86
"108","2019-07-25",11.05
"109","2019-07-26",11.37
"110","2019-07-29",11.4
"111","2019-07-30",11.765
"112","2019-07-31",11.37
"113","2019-08-01",11.09
"114","2019-08-02",12
"115","2019-08-05",11.7
"116","2019-08-06",11.79
"117","2019-08-07",11.68
"118","2019-08-08",12.88
"119","2019-08-09",13.53
"120","2019-08-12",13.35
"121","2019-08-13",13.63
"122","2019-08-14",13.44
"123","2019-08-15",12.12
"124","2019-08-16",12.73
"125","2019-08-19",12.83
"126","2019-08-20",12.33
"127","2019-08-21",12.13
"128","2019-08-22",11.75
"129","2019-08-23",10.97
"130","2019-08-26",10.82
"131","2019-08-27",10.3
"132","2019-08-28",10.52
"133","2019-08-29",10.5
"134","2019-08-30",10.5
"135","2019-09-03",10.8
"136","2019-09-04",11.53
"137","2019-09-05",11.55
"138","2019-09-06",11.92
"139","2019-09-09",11.8
"140","2019-09-10",12.25
"141","2019-09-11",12.03
"142","2019-09-12",11.68
"143","2019-09-13",11.69
"144","2019-09-16",10.9
"145","2019-09-17",10.92
"146","2019-09-18",10.52
"147","2019-09-19",10.63
"148","2019-09-20",10.4
"149","2019-09-23",10.43
"150","2019-09-24",9.44
"151","2019-09-25",9.32
"152","2019-09-26",9.12
"153","2019-09-27",8.99
"154","2019-09-30",9.05
"155","2019-10-01",8.77
"156","2019-10-02",8.77
"157","2019-10-03",9.31
"158","2019-10-04",9.26
"159","2019-10-07",9.09
"160","2019-10-08",8.63
"161","2019-10-09",7.93
"162","2019-10-10",7.25
"163","2019-10-11",7.21
"164","2019-10-14",6.93
"165","2019-10-15",7.03
