"","date","HVBC"
"1","2017-01-12",13.67
"2","2017-01-13",13.99
"3","2017-01-17",14
"4","2017-01-18",14.1
"5","2017-01-19",14.075
"6","2017-01-20",14.02
"7","2017-01-23",13.969
"8","2017-01-24",13.93
"9","2017-01-25",13.97
"10","2017-01-26",13.94
"11","2017-01-27",13.93
"12","2017-01-30",14.051
"13","2017-01-31",14.08
"14","2017-02-01",14.008
"15","2017-02-02",14.05
"16","2017-02-03",14.05
"17","2017-02-06",14.05
"18","2017-02-07",14
"19","2017-02-08",14
"20","2017-02-09",14.005
"21","2017-02-10",14
"22","2017-02-13",13.99
"23","2017-02-14",13.91
"24","2017-02-15",14
"25","2017-02-16",14
"26","2017-02-17",13.95
"27","2017-02-21",14.08
"28","2017-02-22",14.07
"29","2017-02-23",14.15
"30","2017-02-24",14.16
"31","2017-02-27",14.2
"32","2017-02-28",14.135
"33","2017-03-01",14.09
"34","2017-03-02",14.01
"35","2017-03-03",14.01
"36","2017-03-06",14
"37","2017-03-07",14.09
"38","2017-03-08",14.06
"39","2017-03-09",14.04
"40","2017-03-10",14.04
"41","2017-03-13",14.23
"42","2017-03-14",14.18
"43","2017-03-15",14.225
"44","2017-03-16",14.385
"45","2017-03-17",13.75
"46","2017-03-20",14.18
"47","2017-03-21",13.95
"48","2017-03-22",13.95
"49","2017-03-23",14.02
"50","2017-03-24",14.02
"51","2017-03-27",14.16
"52","2017-03-28",14.16
"53","2017-03-29",13.995
"54","2017-03-30",14
"55","2017-03-31",14.05
"56","2017-04-03",14.01
"57","2017-04-04",13.96
"58","2017-04-05",13.94
"59","2017-04-06",13.97
"60","2017-04-07",13.98
"61","2017-04-10",14.06
"62","2017-04-11",14.06
"63","2017-04-12",14.06
"64","2017-04-13",13.95
"65","2017-04-17",14
"66","2017-04-18",13.95
"67","2017-04-19",14.08
"68","2017-04-20",13.99
"69","2017-04-21",14.01
"70","2017-04-24",14
"71","2017-04-25",14.02
"72","2017-04-26",14.178
"73","2017-04-27",14.2
"74","2017-04-28",14.24
"75","2017-05-01",14.05
"76","2017-05-02",14.22
"77","2017-05-03",14.22
"78","2017-05-04",14.12
"79","2017-05-05",14.1
"80","2017-05-08",14.18
