"","date","KBLM"
"1","2017-06-28",9.7
"2","2017-06-29",9.71
"3","2017-06-30",9.7
"4","2017-07-03",9.7
"5","2017-07-05",9.8
"6","2017-07-06",9.8
"7","2017-07-07",9.72
"8","2017-07-10",9.72
"9","2017-07-11",9.72
"10","2017-07-12",9.71
"11","2017-07-13",9.71
"12","2017-07-14",9.72
"13","2017-07-17",9.73
"14","2017-07-18",9.72
"15","2017-07-19",9.72
"16","2017-07-20",9.72
"17","2017-07-21",9.69
"18","2017-07-24",9.69
"19","2017-07-25",9.69
"20","2017-07-26",9.69
"21","2017-07-27",9.69
"22","2017-07-28",9.78
"23","2017-07-31",9.78
"24","2017-08-01",9.78
"25","2017-08-02",9.65
"26","2017-08-03",9.7
"27","2017-08-04",9.7
"28","2017-08-07",9.7
"29","2017-08-08",9.711
"30","2017-08-09",9.711
"31","2017-08-10",9.711
"32","2017-08-11",9.711
"33","2017-08-14",9.68
"34","2017-08-15",9.65
"35","2017-08-16",9.69
"36","2017-08-17",9.69
"37","2017-08-18",9.69
"38","2017-08-21",9.69
"39","2017-08-22",9.69
"40","2017-08-23",9.69
"41","2017-08-24",9.719
"42","2017-08-25",9.71
"43","2017-08-28",9.69
"44","2017-08-29",9.69
"45","2017-08-30",9.69
"46","2017-08-31",9.69
"47","2017-09-01",9.73
"48","2017-09-05",9.73
"49","2017-09-06",9.73
"50","2017-09-07",9.73
"51","2017-09-08",9.73
"52","2017-09-11",9.73
"53","2017-09-12",9.73
"54","2017-09-13",9.73
"55","2017-09-14",9.73
"56","2017-09-15",9.69
"57","2017-09-18",9.702
"58","2017-09-19",9.702
"59","2017-09-20",9.702
"60","2017-09-21",9.702
"61","2017-09-22",9.7
"62","2017-09-25",9.7
"63","2017-09-26",9.71
"64","2017-09-27",9.725
"65","2017-09-28",9.73
"66","2017-09-29",9.719
"67","2017-10-02",9.725
"68","2017-10-03",9.725
"69","2017-10-04",9.725
"70","2017-10-05",9.725
"71","2017-10-06",9.725
"72","2017-10-09",9.725
"73","2017-10-10",9.725
"74","2017-10-11",9.725
"75","2017-10-12",9.725
"76","2017-10-13",9.7
"77","2017-10-16",9.7
"78","2017-10-17",9.7
"79","2017-10-18",9.7
"80","2017-10-19",9.7
"81","2017-10-20",9.7
"82","2017-10-23",9.7
"83","2017-10-24",9.71
"84","2017-10-25",9.71
"85","2017-10-26",9.71
"86","2017-10-27",9.71
"87","2017-10-30",9.7
"88","2017-10-31",9.7
"89","2017-11-01",9.71
"90","2017-11-02",9.71
"91","2017-11-03",9.71
"92","2017-11-06",9.71
"93","2017-11-07",9.71
"94","2017-11-08",9.71
"95","2017-11-09",9.71
"96","2017-11-10",9.71
"97","2017-11-13",9.71
"98","2017-11-14",9.71
"99","2017-11-15",9.71
"100","2017-11-16",9.69
"101","2017-11-17",9.69
"102","2017-11-20",9.69
"103","2017-11-21",9.68
"104","2017-11-22",9.68
"105","2017-11-24",9.69
"106","2017-11-27",9.69
"107","2017-11-28",9.7
"108","2017-11-29",9.72
"109","2017-11-30",9.69
"110","2017-12-01",9.69
"111","2017-12-04",9.69
"112","2017-12-05",9.69
"113","2017-12-06",9.73
"114","2017-12-07",9.73
"115","2017-12-08",9.73
"116","2017-12-11",9.73
"117","2017-12-12",9.71
"118","2017-12-13",9.75
"119","2017-12-14",9.75
"120","2017-12-15",9.76
"121","2017-12-18",9.76
"122","2017-12-19",9.76
"123","2017-12-20",9.71
"124","2017-12-21",9.71
"125","2017-12-22",9.71
"126","2017-12-26",9.71
"127","2017-12-27",9.71
"128","2017-12-28",9.71
"129","2017-12-29",9.71
"130","2018-01-02",9.71
"131","2018-01-03",9.73
"132","2018-01-04",9.73
"133","2018-01-05",9.73
"134","2018-01-08",9.73
"135","2018-01-09",9.73
"136","2018-01-10",9.72
"137","2018-01-11",9.73
"138","2018-01-12",9.73
"139","2018-01-16",9.72
"140","2018-01-17",9.72
"141","2018-01-18",9.72
"142","2018-01-19",9.69
"143","2018-01-22",9.69
"144","2018-01-23",9.69
"145","2018-01-24",9.69
"146","2018-01-25",9.69
"147","2018-01-26",9.69
"148","2018-01-29",9.69
"149","2018-01-30",9.69
"150","2018-01-31",9.69
"151","2018-02-01",9.78
"152","2018-02-02",9.8
"153","2018-02-05",9.8
"154","2018-02-06",9.76
"155","2018-02-07",9.78
"156","2018-02-08",9.78
"157","2018-02-09",9.78
"158","2018-02-12",9.78
"159","2018-02-13",9.78
"160","2018-02-14",9.78
"161","2018-02-15",9.75
"162","2018-02-16",9.75
"163","2018-02-20",9.75
"164","2018-02-21",9.75
"165","2018-02-22",9.75
"166","2018-02-23",9.78
"167","2018-02-26",9.85
"168","2018-02-27",9.85
"169","2018-02-28",9.85
"170","2018-03-01",9.898
"171","2018-03-02",9.85
"172","2018-03-05",9.85
"173","2018-03-06",9.85
"174","2018-03-07",9.85
"175","2018-03-08",9.85
"176","2018-03-09",9.835
"177","2018-03-12",9.84
"178","2018-03-13",9.84
"179","2018-03-14",9.84
"180","2018-03-15",9.85
"181","2018-03-16",9.85
"182","2018-03-19",9.85
"183","2018-03-20",9.85
