"","date","IPG"
"1","2007-01-03",12.24
"2","2007-01-04",12.32
"3","2007-01-05",12.28
"4","2007-01-08",12.24
"5","2007-01-09",12.36
"6","2007-01-10",12.78
"7","2007-01-11",13.04
"8","2007-01-12",13.37
"9","2007-01-16",13.81
"10","2007-01-17",13.79
"11","2007-01-18",13.7
"12","2007-01-19",13.65
"13","2007-01-22",13.53
"14","2007-01-23",13.47
"15","2007-01-24",13.42
"16","2007-01-25",13.3
"17","2007-01-26",13.36
"18","2007-01-29",13.17
"19","2007-01-30",13.19
"20","2007-01-31",13.16
"21","2007-02-01",13.27
"22","2007-02-02",13.18
"23","2007-02-05",13.14
"24","2007-02-06",13.18
"25","2007-02-07",13.12
"26","2007-02-08",13.15
"27","2007-02-09",12.92
"28","2007-02-12",12.67
"29","2007-02-13",12.45
"30","2007-02-14",12.55
"31","2007-02-15",12.55
"32","2007-02-16",12.55
"33","2007-02-20",12.78
"34","2007-02-21",12.72
"35","2007-02-22",12.8
"36","2007-02-23",13.18
"37","2007-02-26",13.18
"38","2007-02-27",12.91
"39","2007-02-28",12.59
"40","2007-03-01",12.45
"41","2007-03-02",12.32
"42","2007-03-05",12.17
"43","2007-03-06",12.39
"44","2007-03-07",12.23
"45","2007-03-08",12.29
"46","2007-03-09",12.43
"47","2007-03-12",12.57
"48","2007-03-13",12.35
"49","2007-03-14",12.38
"50","2007-03-15",12.59
"51","2007-03-16",12.42
"52","2007-03-19",12.43
"53","2007-03-20",12.51
"54","2007-03-21",12.59
"55","2007-03-22",12.64
"56","2007-03-23",12.59
"57","2007-03-26",12.42
"58","2007-03-27",12.41
"59","2007-03-28",12.3
"60","2007-03-29",12.29
"61","2007-03-30",12.31
"62","2007-04-02",12.33
"63","2007-04-03",12.34
"64","2007-04-04",12.17
"65","2007-04-05",12.24
"66","2007-04-09",12.26
"67","2007-04-10",12.22
"68","2007-04-11",12.12
"69","2007-04-12",12.19
"70","2007-04-13",12.65
"71","2007-04-16",12.83
"72","2007-04-17",12.87
"73","2007-04-18",12.97
"74","2007-04-19",12.84
"75","2007-04-20",12.92
"76","2007-04-23",12.9
"77","2007-04-24",12.89
"78","2007-04-25",12.94
"79","2007-04-26",12.89
"80","2007-04-27",12.77
"81","2007-04-30",12.68
"82","2007-05-01",12.73
"83","2007-05-02",12.7
"84","2007-05-03",12.76
"85","2007-05-04",12.8
"86","2007-05-07",12.88
"87","2007-05-08",12.79
"88","2007-05-09",12.94
"89","2007-05-10",12.01
"90","2007-05-11",11.77
"91","2007-05-14",11.83
"92","2007-05-15",11.63
"93","2007-05-16",11.73
"94","2007-05-17",11.6
"95","2007-05-18",11.71
"96","2007-05-21",11.63
"97","2007-05-22",11.8
"98","2007-05-23",11.88
"99","2007-05-24",11.64
"100","2007-05-25",11.63
"101","2007-05-29",11.65
"102","2007-05-30",11.74
"103","2007-05-31",11.75
"104","2007-06-01",11.81
"105","2007-06-04",11.88
"106","2007-06-05",12
"107","2007-06-06",11.77
"108","2007-06-07",11.56
"109","2007-06-08",11.59
"110","2007-06-11",11.51
"111","2007-06-12",11.38
"112","2007-06-13",11.47
"113","2007-06-14",11.42
"114","2007-06-15",11.6
"115","2007-06-18",11.74
"116","2007-06-19",11.78
"117","2007-06-20",11.73
"118","2007-06-21",11.79
"119","2007-06-22",11.54
"120","2007-06-25",11.72
"121","2007-06-26",11.4
"122","2007-06-27",11.31
"123","2007-06-28",11.49
"124","2007-06-29",11.4
"125","2007-07-02",11.32
"126","2007-07-03",11.35
"127","2007-07-05",11.46
"128","2007-07-06",11.44
"129","2007-07-09",11.34
"130","2007-07-10",11.08
"131","2007-07-11",11.26
"132","2007-07-12",11.33
"133","2007-07-13",11.36
"134","2007-07-16",11.36
"135","2007-07-17",11.34
"136","2007-07-18",11.19
"137","2007-07-19",11.21
"138","2007-07-20",10.99
"139","2007-07-23",10.95
"140","2007-07-24",10.68
"141","2007-07-25",10.83
"142","2007-07-26",10.51
"143","2007-07-27",10.24
"144","2007-07-30",10.2
"145","2007-07-31",10.49
"146","2007-08-01",10.4
"147","2007-08-02",10.27
"148","2007-08-03",9.84
"149","2007-08-06",9.75
"150","2007-08-07",11.19
"151","2007-08-08",11.32
"152","2007-08-09",11.61
"153","2007-08-10",11.27
"154","2007-08-13",11.42
"155","2007-08-14",11.25
"156","2007-08-15",11
"157","2007-08-16",11.11
"158","2007-08-17",11.27
"159","2007-08-20",11.18
"160","2007-08-21",10.99
"161","2007-08-22",11.06
"162","2007-08-23",10.99
"163","2007-08-24",11.04
"164","2007-08-27",10.87
"165","2007-08-28",10.7
"166","2007-08-29",10.79
"167","2007-08-30",11
"168","2007-08-31",10.95
"169","2007-09-04",11.09
"170","2007-09-05",11.05
"171","2007-09-06",10.94
"172","2007-09-07",10.73
"173","2007-09-10",10.42
"174","2007-09-11",10.35
"175","2007-09-12",10.23
"176","2007-09-13",10.27
"177","2007-09-14",10.15
"178","2007-09-17",9.99
"179","2007-09-18",10.23
"180","2007-09-19",10.38
"181","2007-09-20",10.49
"182","2007-09-21",10.56
"183","2007-09-24",10.66
"184","2007-09-25",10.49
"185","2007-09-26",10.57
"186","2007-09-27",10.46
"187","2007-09-28",10.38
"188","2007-10-01",10.46
"189","2007-10-02",10.41
"190","2007-10-03",10.31
"191","2007-10-04",10.25
"192","2007-10-05",10.37
"193","2007-10-08",10.38
"194","2007-10-09",10.34
"195","2007-10-10",10.29
"196","2007-10-11",10.53
"197","2007-10-12",10.55
"198","2007-10-15",10.35
"199","2007-10-16",10.15
"200","2007-10-17",10.08
"201","2007-10-18",10.14
"202","2007-10-19",9.93
"203","2007-10-22",10.14
"204","2007-10-23",10.06
"205","2007-10-24",10.05
"206","2007-10-25",9.96
"207","2007-10-26",10.09
"208","2007-10-29",10
"209","2007-10-30",10.05
"210","2007-10-31",10.35
"211","2007-11-01",9.64
"212","2007-11-02",9.41
"213","2007-11-05",9.33
"214","2007-11-06",9.22
"215","2007-11-07",8.86
"216","2007-11-08",8.88
"217","2007-11-09",8.98
"218","2007-11-12",9.08
"219","2007-11-13",9.29
"220","2007-11-14",9.17
"221","2007-11-15",9.16
"222","2007-11-16",9.28
"223","2007-11-19",9.27
"224","2007-11-20",9.03
"225","2007-11-21",8.96
"226","2007-11-23",9.02
"227","2007-11-26",9
"228","2007-11-27",9.16
"229","2007-11-28",9.39
"230","2007-11-29",9.44
"231","2007-11-30",9.49
"232","2007-12-03",9.38
"233","2007-12-04",9.32
"234","2007-12-05",9.2
"235","2007-12-06",9
"236","2007-12-07",8.95
"237","2007-12-10",8.9
"238","2007-12-11",8.6
"239","2007-12-12",8.5
"240","2007-12-13",8.54
"241","2007-12-14",8.15
"242","2007-12-17",8.17
"243","2007-12-18",8.11
"244","2007-12-19",8.13
"245","2007-12-20",8.1
"246","2007-12-21",8.23
"247","2007-12-24",8.26
"248","2007-12-26",8.38
"249","2007-12-27",8.24
"250","2007-12-28",8.22
"251","2007-12-31",8.11
"252","2008-01-02",7.9
"253","2008-01-03",7.91
"254","2008-01-04",7.67
"255","2008-01-07",7.58
"256","2008-01-08",7.54
"257","2008-01-09",7.41
"258","2008-01-10",7.44
"259","2008-01-11",7.4
"260","2008-01-14",7.68
"261","2008-01-15",7.65
"262","2008-01-16",7.85
"263","2008-01-17",7.78
"264","2008-01-18",7.77
"265","2008-01-22",7.8
