"","date","ESPR"
"1","2013-06-26",14.5
"2","2013-06-27",14
"3","2013-06-28",14.1
"4","2013-07-01",14.01
"5","2013-07-02",14.57
"6","2013-07-03",14.61
"7","2013-07-05",14.58
"8","2013-07-08",14.94
"9","2013-07-09",15.7
"10","2013-07-10",16.049999
"11","2013-07-11",16.73
"12","2013-07-12",17.049999
"13","2013-07-15",17.209999
"14","2013-07-16",17.309999
"15","2013-07-17",17.15
"16","2013-07-18",17.280001
"17","2013-07-19",16.9
"18","2013-07-22",17.049999
"19","2013-07-23",17.110001
"20","2013-07-24",16.959999
"21","2013-07-25",16.780001
"22","2013-07-26",17.07
"23","2013-07-29",17.41
"24","2013-07-30",17.65
"25","2013-07-31",17.84
"26","2013-08-01",17.790001
"27","2013-08-02",18.25
"28","2013-08-05",18.440001
"29","2013-08-06",18.15
"30","2013-08-07",17.73
"31","2013-08-08",17.23
"32","2013-08-09",16.690001
"33","2013-08-12",17.23
"34","2013-08-13",17.440001
"35","2013-08-14",17.48
"36","2013-08-15",17.059999
"37","2013-08-16",17.24
"38","2013-08-19",16.93
"39","2013-08-20",16.9
"40","2013-08-21",16.639999
"41","2013-08-22",16.950001
"42","2013-08-23",16.799999
"43","2013-08-26",17
"44","2013-08-27",16.76
"45","2013-08-28",16.809999
"46","2013-08-29",16.870001
"47","2013-08-30",16.120001
"48","2013-09-03",16.4
"49","2013-09-04",15.44
"50","2013-09-05",15.27
"51","2013-09-06",15.4
"52","2013-09-09",14.99
"53","2013-09-10",14.97
"54","2013-09-11",15.47
"55","2013-09-12",15.6
"56","2013-09-13",16.59
"57","2013-09-16",16.719999
"58","2013-09-17",16.82
"59","2013-09-18",16.98
"60","2013-09-19",16.82
"61","2013-09-20",16.709999
"62","2013-09-23",17.65
"63","2013-09-24",18.16
"64","2013-09-25",18.23
"65","2013-09-26",18.870001
"66","2013-09-27",18.700001
"67","2013-09-30",18.860001
"68","2013-10-01",18.870001
"69","2013-10-02",18.889999
"70","2013-10-03",18.76
"71","2013-10-04",18.610001
"72","2013-10-07",18.17
"73","2013-10-08",17.49
"74","2013-10-09",16.459999
"75","2013-10-10",16.5
"76","2013-10-11",16.690001
"77","2013-10-14",16.68
"78","2013-10-15",16.629999
"79","2013-10-16",17.360001
"80","2013-10-17",17.35
"81","2013-10-18",17.200001
"82","2013-10-21",16.52
"83","2013-10-22",16.57
"84","2013-10-23",15.66
"85","2013-10-24",15.61
"86","2013-10-25",15.14
"87","2013-10-28",15.67
"88","2013-10-29",15.79
"89","2013-10-30",15.75
"90","2013-10-31",15.67
"91","2013-11-01",14.9
"92","2013-11-04",15.03
"93","2013-11-05",15.01
"94","2013-11-06",14.77
"95","2013-11-07",14.51
"96","2013-11-08",14.85
"97","2013-11-11",14.73
"98","2013-11-12",14.44
"99","2013-11-13",13.63
"100","2013-11-14",13.89
"101","2013-11-15",13.75
"102","2013-11-18",13.49
"103","2013-11-19",12.76
"104","2013-11-20",12.81
"105","2013-11-21",12.19
"106","2013-11-22",11.74
"107","2013-11-25",11.51
"108","2013-11-26",11.1
"109","2013-11-27",11.29
"110","2013-11-29",11.93
"111","2013-12-02",11.93
"112","2013-12-03",12.11
"113","2013-12-04",12.26
"114","2013-12-05",12.6
"115","2013-12-06",13.32
"116","2013-12-09",13.64
"117","2013-12-10",13.09
"118","2013-12-11",12.68
"119","2013-12-12",13.02
"120","2013-12-13",12.91
"121","2013-12-16",13.61
"122","2013-12-17",13.51
"123","2013-12-18",13.98
"124","2013-12-19",12.77
"125","2013-12-20",12.92
"126","2013-12-23",13.92
"127","2013-12-24",13.83
"128","2013-12-26",13.3
"129","2013-12-27",13.07
"130","2013-12-30",12.79
"131","2013-12-31",13.74
"132","2014-01-02",13.88
"133","2014-01-03",14.14
"134","2014-01-06",14.34
"135","2014-01-07",15.94
"136","2014-01-08",15.35
"137","2014-01-09",15.79
"138","2014-01-10",15.46
"139","2014-01-13",15.39
"140","2014-01-14",15.12
"141","2014-01-15",14.92
"142","2014-01-16",15
"143","2014-01-17",16
"144","2014-01-21",16.790001
"145","2014-01-22",16.75
"146","2014-01-23",16.35
"147","2014-01-24",15.78
"148","2014-01-27",15.08
"149","2014-01-28",15.09
"150","2014-01-29",14.88
"151","2014-01-30",16.280001
"152","2014-01-31",15.26
"153","2014-02-03",14.56
"154","2014-02-04",14.44
"155","2014-02-05",14.06
"156","2014-02-06",13.55
"157","2014-02-07",15.09
"158","2014-02-10",15.56
"159","2014-02-11",15.54
"160","2014-02-12",15.25
"161","2014-02-13",16.129999
"162","2014-02-14",15.93
"163","2014-02-18",15.87
"164","2014-02-19",15.32
"165","2014-02-20",15.48
"166","2014-02-21",15.05
"167","2014-02-24",15.33
"168","2014-02-25",15.36
"169","2014-02-26",15.32
"170","2014-02-27",15.89
"171","2014-02-28",15.55
"172","2014-03-03",15.76
"173","2014-03-04",16.049999
"174","2014-03-05",16.379999
"175","2014-03-06",16.48
"176","2014-03-07",17.4
"177","2014-03-10",17.969999
"178","2014-03-11",18.01
"179","2014-03-12",17.59
"180","2014-03-13",16.42
"181","2014-03-14",16.360001
"182","2014-03-17",15.5
"183","2014-03-18",15.93
"184","2014-03-19",15.83
"185","2014-03-20",15.31
"186","2014-03-21",14.65
"187","2014-03-24",14.19
"188","2014-03-25",14.26
"189","2014-03-26",14.7
"190","2014-03-27",15.2
"191","2014-03-28",14.95
"192","2014-03-31",15.12
"193","2014-04-01",14.92
"194","2014-04-02",14.8
"195","2014-04-03",14.59
"196","2014-04-04",14.05
"197","2014-04-07",13.95
"198","2014-04-08",14.63
"199","2014-04-09",15.24
"200","2014-04-10",14.58
"201","2014-04-11",13.86
"202","2014-04-14",13.68
"203","2014-04-15",13.25
"204","2014-04-16",13.82
"205","2014-04-17",13.76
"206","2014-04-21",14.2
"207","2014-04-22",14.86
"208","2014-04-23",14.68
"209","2014-04-24",14.61
"210","2014-04-25",14.12
"211","2014-04-28",13.95
"212","2014-04-29",13.72
"213","2014-04-30",13.79
"214","2014-05-01",13.51
"215","2014-05-02",12.89
"216","2014-05-05",13.04
"217","2014-05-06",12.92
"218","2014-05-07",13.17
"219","2014-05-08",13.11
"220","2014-05-09",13.68
"221","2014-05-12",14.23
"222","2014-05-13",14.24
"223","2014-05-14",14.93
"224","2014-05-15",14.42
"225","2014-05-16",14.59
"226","2014-05-19",13.78
"227","2014-05-20",14.22
"228","2014-05-21",14.2
