"","date","CRUS"
"1","2007-01-03",6.99
"2","2007-01-04",7.19
"3","2007-01-05",7.3
"4","2007-01-08",7.3
"5","2007-01-09",7.3
"6","2007-01-10",7.52
"7","2007-01-11",7.82
"8","2007-01-12",7.86
"9","2007-01-16",8.06
"10","2007-01-17",8.1
"11","2007-01-18",7.84
"12","2007-01-19",7.78
"13","2007-01-22",7.54
"14","2007-01-23",7.5
"15","2007-01-24",7.56
"16","2007-01-25",7.4
"17","2007-01-26",7.47
"18","2007-01-29",7.36
"19","2007-01-30",7.43
"20","2007-01-31",7.42
"21","2007-02-01",7.88
"22","2007-02-02",7.91
"23","2007-02-05",7.8
"24","2007-02-06",7.84
"25","2007-02-07",7.82
"26","2007-02-08",7.98
"27","2007-02-09",8.01
"28","2007-02-12",7.9
"29","2007-02-13",8.03
"30","2007-02-14",8.24
"31","2007-02-15",8.17
"32","2007-02-16",8.06
"33","2007-02-20",8.26
"34","2007-02-21",8.27
"35","2007-02-22",8.5
"36","2007-02-23",8.91
"37","2007-02-26",8.93
"38","2007-02-27",8.68
"39","2007-02-28",8.67
"40","2007-03-01",8.46
"41","2007-03-02",8.42
"42","2007-03-05",8.4
"43","2007-03-06",8.54
"44","2007-03-07",8.41
"45","2007-03-08",8.16
"46","2007-03-09",8.12
"47","2007-03-12",8.17
"48","2007-03-13",8.03
"49","2007-03-14",7.96
"50","2007-03-15",7.99
"51","2007-03-16",7.85
"52","2007-03-19",7.81
"53","2007-03-20",7.87
"54","2007-03-21",7.99
"55","2007-03-22",7.95
"56","2007-03-23",7.99
"57","2007-03-26",7.89
"58","2007-03-27",7.84
"59","2007-03-28",7.73
"60","2007-03-29",7.54
"61","2007-03-30",7.66
"62","2007-04-02",7.55
"63","2007-04-03",7.68
"64","2007-04-04",7.59
"65","2007-04-05",7.73
"66","2007-04-09",7.56
"67","2007-04-10",7.63
"68","2007-04-11",7.58
"69","2007-04-12",7.65
"70","2007-04-13",7.65
"71","2007-04-16",7.84
"72","2007-04-17",7.8
"73","2007-04-18",8.04
"74","2007-04-19",8.28
"75","2007-04-20",8.41
"76","2007-04-23",8.45
"77","2007-04-24",8.68
"78","2007-04-25",8.76
"79","2007-04-26",8.81
"80","2007-04-27",8.6
"81","2007-04-30",8.28
"82","2007-05-01",8.34
"83","2007-05-02",8.56
"84","2007-05-03",8.54
"85","2007-05-04",8.75
"86","2007-05-07",8.54
"87","2007-05-08",8.63
"88","2007-05-09",8.63
"89","2007-05-10",7.38
"90","2007-05-11",7.26
"91","2007-05-14",7.24
"92","2007-05-15",7.14
"93","2007-05-16",7.33
"94","2007-05-17",7.38
"95","2007-05-18",7.6
"96","2007-05-21",7.84
"97","2007-05-22",7.89
"98","2007-05-23",7.76
"99","2007-05-24",7.57
"100","2007-05-25",7.53
"101","2007-05-29",7.51
"102","2007-05-30",7.44
"103","2007-05-31",7.74
"104","2007-06-01",8
"105","2007-06-04",7.83
"106","2007-06-05",7.85
"107","2007-06-06",7.87
"108","2007-06-07",7.83
"109","2007-06-08",8
