"","date","MAYS"
"1","2007-01-03",20.6
"2","2007-01-04",20.6
"3","2007-01-05",20.6
"4","2007-01-08",20.6
"5","2007-01-09",20.6
"6","2007-01-10",20.6
"7","2007-01-11",20.6
"8","2007-01-12",20.6
"9","2007-01-16",20.51
"10","2007-01-17",21.5
"11","2007-01-18",21.5
"12","2007-01-19",21.5
"13","2007-01-22",22
"14","2007-01-23",22
"15","2007-01-24",22
"16","2007-01-25",22
"17","2007-01-26",22
"18","2007-01-29",22
"19","2007-01-30",22
"20","2007-01-31",22
"21","2007-02-01",22
"22","2007-02-02",22
"23","2007-02-05",22
"24","2007-02-06",22
"25","2007-02-07",20.860001
"26","2007-02-08",20.860001
"27","2007-02-09",22
"28","2007-02-12",22
"29","2007-02-13",22
"30","2007-02-14",22
"31","2007-02-15",22
"32","2007-02-16",22
"33","2007-02-20",22
"34","2007-02-21",22
"35","2007-02-22",22
"36","2007-02-23",22
"37","2007-02-26",22
"38","2007-02-27",22
"39","2007-02-28",22.25
"40","2007-03-01",22.25
"41","2007-03-02",22.25
"42","2007-03-05",22.25
"43","2007-03-06",22.25
"44","2007-03-07",22.25
"45","2007-03-08",22.24
"46","2007-03-09",22.24
"47","2007-03-12",21.01
"48","2007-03-13",21.01
"49","2007-03-14",21.01
"50","2007-03-15",21.01
"51","2007-03-16",21.01
"52","2007-03-19",21.01
"53","2007-03-20",21.49
"54","2007-03-21",21.5
"55","2007-03-22",21.5
"56","2007-03-23",21.5
"57","2007-03-26",21.5
"58","2007-03-27",21.5
"59","2007-03-28",21.5
"60","2007-03-29",21.5
"61","2007-03-30",21.5
"62","2007-04-02",21.5
"63","2007-04-03",21.5
"64","2007-04-04",21.5
"65","2007-04-05",21.01
"66","2007-04-09",21.01
"67","2007-04-10",21.01
"68","2007-04-11",21.01
"69","2007-04-12",21.23
"70","2007-04-13",21.23
"71","2007-04-16",21.23
"72","2007-04-17",21.23
"73","2007-04-18",21
"74","2007-04-19",21
"75","2007-04-20",21
"76","2007-04-23",21
"77","2007-04-24",21
