"","date","AJX"
"1","2015-02-13",14
"2","2015-02-17",14
"3","2015-02-18",14
"4","2015-02-19",14.12
"5","2015-02-20",14.05
"6","2015-02-23",14.09
"7","2015-02-24",14.08
"8","2015-02-25",14.11
"9","2015-02-26",14.11
"10","2015-02-27",14.1
"11","2015-03-02",14.13
"12","2015-03-03",14.15
"13","2015-03-04",14.44
"14","2015-03-05",14.55
"15","2015-03-06",14.54
"16","2015-03-09",14.55
"17","2015-03-10",14.46
"18","2015-03-11",14.33
"19","2015-03-12",14.27
"20","2015-03-13",14.18
"21","2015-03-16",14.23
"22","2015-03-17",14.12
"23","2015-03-18",14.01
"24","2015-03-19",14.41
"25","2015-03-20",14.25
"26","2015-03-23",14.43
"27","2015-03-24",14.58
"28","2015-03-25",14.6
"29","2015-03-26",14.62
"30","2015-03-27",14.29
"31","2015-03-30",14.66
"32","2015-03-31",14.53
"33","2015-04-01",14.42
"34","2015-04-02",14.81
"35","2015-04-06",14.83
"36","2015-04-07",14.57
"37","2015-04-08",14.41
"38","2015-04-09",14.71
"39","2015-04-10",14.71
"40","2015-04-13",14.7
"41","2015-04-14",14.52
"42","2015-04-15",14.77
"43","2015-04-16",14.72
"44","2015-04-17",14.45
"45","2015-04-20",14.56
"46","2015-04-21",14.38
"47","2015-04-22",14.36
"48","2015-04-23",14.28
"49","2015-04-24",14.28
"50","2015-04-27",14.26
"51","2015-04-28",14.3
"52","2015-04-29",14.19
"53","2015-04-30",14.18
"54","2015-05-01",14.35
"55","2015-05-04",14.08
"56","2015-05-05",14
"57","2015-05-06",13.76
"58","2015-05-07",13.69
"59","2015-05-08",13.79
"60","2015-05-11",13.76
"61","2015-05-12",13.41
"62","2015-05-13",12.75
"63","2015-05-14",13.08
"64","2015-05-15",13.18
"65","2015-05-18",12.99
"66","2015-05-19",12.95
"67","2015-05-20",12.88
"68","2015-05-21",13.09
"69","2015-05-22",13
"70","2015-05-26",12.96
"71","2015-05-27",13.08
"72","2015-05-28",13.39
"73","2015-05-29",13.61
"74","2015-06-01",13.62
"75","2015-06-02",13.77
"76","2015-06-03",14.21
"77","2015-06-04",14.16
"78","2015-06-05",14.05
"79","2015-06-08",14.28
"80","2015-06-09",14.32
"81","2015-06-10",14.17
"82","2015-06-11",14.14
"83","2015-06-12",14.17
"84","2015-06-15",14
"85","2015-06-16",14.32
"86","2015-06-17",14.19
"87","2015-06-18",14.35
"88","2015-06-19",14.36
"89","2015-06-22",14.38
"90","2015-06-23",14
"91","2015-06-24",13.93
"92","2015-06-25",13.95
"93","2015-06-26",14.2
"94","2015-06-29",13.88
"95","2015-06-30",14.18
"96","2015-07-01",14.19
"97","2015-07-02",14.2
"98","2015-07-06",14.13
"99","2015-07-07",14
"100","2015-07-08",13.98
"101","2015-07-09",13.8
"102","2015-07-10",13.98
"103","2015-07-13",13.95
"104","2015-07-14",13.92
"105","2015-07-15",13.93
"106","2015-07-16",14.29
"107","2015-07-17",14.14
"108","2015-07-20",14
"109","2015-07-21",14.16
"110","2015-07-22",13.99
"111","2015-07-23",13.98
"112","2015-07-24",13.83
"113","2015-07-27",13.92
"114","2015-07-28",13.89
"115","2015-07-29",13.99
"116","2015-07-30",13.91
"117","2015-07-31",14.04
"118","2015-08-03",13.91
"119","2015-08-04",13.98
"120","2015-08-05",13.79
"121","2015-08-06",13.82
"122","2015-08-07",13.88
"123","2015-08-10",13.77
"124","2015-08-11",13.83
"125","2015-08-12",13.54
"126","2015-08-13",13.26
"127","2015-08-14",13.44
"128","2015-08-17",13.5
"129","2015-08-18",13.34
"130","2015-08-19",13.33
"131","2015-08-20",13.3
"132","2015-08-21",13.22
"133","2015-08-24",12.91
"134","2015-08-25",13.07
"135","2015-08-26",13.04
"136","2015-08-27",13
"137","2015-08-28",13.07
"138","2015-08-31",12.81
"139","2015-09-01",12.84
"140","2015-09-02",12.98
"141","2015-09-03",12.96
"142","2015-09-04",12.88
"143","2015-09-08",13.14
"144","2015-09-09",13.12
"145","2015-09-10",13.13
"146","2015-09-11",13.24
"147","2015-09-14",13.14
"148","2015-09-15",13.24
"149","2015-09-16",13.37
"150","2015-09-17",13.79
"151","2015-09-18",13
"152","2015-09-21",13.12
"153","2015-09-22",13.05
"154","2015-09-23",13.07
"155","2015-09-24",13
"156","2015-09-25",12.87
"157","2015-09-28",12.5
"158","2015-09-29",12.45
"159","2015-09-30",12.37
"160","2015-10-01",12
"161","2015-10-02",11.92
"162","2015-10-05",12.26
"163","2015-10-06",12.28
"164","2015-10-07",12.74
"165","2015-10-08",13.19
"166","2015-10-09",13.24
"167","2015-10-12",13.1
"168","2015-10-13",13.05
"169","2015-10-14",12.98
"170","2015-10-15",13.06
"171","2015-10-16",13.03
"172","2015-10-19",13
"173","2015-10-20",13.07
"174","2015-10-21",12.99
"175","2015-10-22",13.06
"176","2015-10-23",13.04
"177","2015-10-26",13.06
"178","2015-10-27",13.02
"179","2015-10-28",13.16
"180","2015-10-29",12.96
"181","2015-10-30",12.93
"182","2015-11-02",12.99
"183","2015-11-03",13.15
"184","2015-11-04",13
"185","2015-11-05",13
"186","2015-11-06",12.95
"187","2015-11-09",12.77
"188","2015-11-10",12.45
"189","2015-11-11",12.43
"190","2015-11-12",12.28
"191","2015-11-13",12.31
"192","2015-11-16",12.44
