"","date","ALL"
"1","2007-01-03",65.279999
"2","2007-01-04",65.360001
"3","2007-01-05",65.18
"4","2007-01-08",65.269997
"5","2007-01-09",64.93
"6","2007-01-10",64.760002
"7","2007-01-11",64.110001
"8","2007-01-12",64.599998
"9","2007-01-16",64.449997
"10","2007-01-17",64.5
"11","2007-01-18",64.269997
"12","2007-01-19",63.73
"13","2007-01-22",63.060001
"14","2007-01-23",63.360001
"15","2007-01-24",63.709999
"16","2007-01-25",63.119999
"17","2007-01-26",63.470001
"18","2007-01-29",63.529999
"19","2007-01-30",64
"20","2007-01-31",60.16
"21","2007-02-01",61
"22","2007-02-02",61.189999
"23","2007-02-05",61.18
"24","2007-02-06",61.669998
"25","2007-02-07",61.540001
"26","2007-02-08",61.529999
"27","2007-02-09",61.080002
"28","2007-02-12",60.900002
"29","2007-02-13",61.200001
"30","2007-02-14",61.880001
"31","2007-02-15",62.27
"32","2007-02-16",62.18
"33","2007-02-20",62.240002
"34","2007-02-21",61.830002
"35","2007-02-22",62.009998
"36","2007-02-23",61.279999
"37","2007-02-26",61.439999
"38","2007-02-27",60.189999
"39","2007-02-28",60.110001
"40","2007-03-01",59.93
"41","2007-03-02",59.599998
"42","2007-03-05",59.099998
"43","2007-03-06",59.630001
"44","2007-03-07",58.93
"45","2007-03-08",59.59
"46","2007-03-09",60.099998
"47","2007-03-12",60.130001
"48","2007-03-13",59.130001
"49","2007-03-14",59.299999
"50","2007-03-15",59.639999
"51","2007-03-16",59.700001
"52","2007-03-19",60.189999
"53","2007-03-20",60.599998
"54","2007-03-21",60.84
"55","2007-03-22",60.84
"56","2007-03-23",60.779999
"57","2007-03-26",60.77
"58","2007-03-27",60.419998
"59","2007-03-28",59.860001
"60","2007-03-29",60.16
"61","2007-03-30",60.060001
"62","2007-04-02",59.580002
"63","2007-04-03",59.610001
"64","2007-04-04",60
"65","2007-04-05",60.32
"66","2007-04-09",60.360001
"67","2007-04-10",60.669998
"68","2007-04-11",60.889999
"69","2007-04-12",60.990002
"70","2007-04-13",61.330002
"71","2007-04-16",61.57
"72","2007-04-17",61.299999
"73","2007-04-18",61.27
