"","date","FTDR"
"1","2018-09-13",30
"2","2018-09-14",37
"3","2018-09-17",37
"4","2018-09-18",37.099998
"5","2018-09-19",37.5
"6","2018-09-20",38
"7","2018-09-21",38.709999
"8","2018-09-24",39.07
"9","2018-09-25",40.049999
"10","2018-09-26",40
"11","2018-09-27",43.82
"12","2018-09-28",41
"13","2018-10-01",42
"14","2018-10-02",43.540001
"15","2018-10-03",42.939999
"16","2018-10-04",43.66
"17","2018-10-05",45.16
"18","2018-10-08",46.540001
"19","2018-10-09",48.57
"20","2018-10-10",44.209999
"21","2018-10-11",39.48
"22","2018-10-12",39.98
"23","2018-10-15",39.75
"24","2018-10-16",40.41
"25","2018-10-17",38.970001
"26","2018-10-18",38.34
"27","2018-10-19",37.259998
"28","2018-10-22",37.599998
"29","2018-10-23",37.919998
"30","2018-10-24",35.990002
"31","2018-10-25",35
"32","2018-10-26",33.23
"33","2018-10-29",31.85
"34","2018-10-30",31.6
"35","2018-10-31",34.049999
"36","2018-11-01",35.709999
"37","2018-11-02",35.02
"38","2018-11-05",35.130001
"39","2018-11-06",24.879999
"40","2018-11-07",23.1
"41","2018-11-08",21.17
"42","2018-11-09",22.280001
"43","2018-11-12",21.870001
"44","2018-11-13",22.200001
"45","2018-11-14",21.950001
"46","2018-11-15",21.639999
"47","2018-11-16",21.08
"48","2018-11-19",22.84
"49","2018-11-20",23.07
"50","2018-11-21",22.9
"51","2018-11-23",22.49
"52","2018-11-26",22.57
"53","2018-11-27",22.780001
"54","2018-11-28",22.540001
"55","2018-11-29",22.35
"56","2018-11-30",23.290001
"57","2018-12-03",23.200001
"58","2018-12-04",22.41
"59","2018-12-06",22.700001
"60","2018-12-07",22.49
"61","2018-12-10",22.4
"62","2018-12-11",22.15
"63","2018-12-12",22.120001
"64","2018-12-13",22.110001
"65","2018-12-14",22.790001
"66","2018-12-17",22.809999
"67","2018-12-18",23.139999
"68","2018-12-19",23.549999
"69","2018-12-20",23.440001
"70","2018-12-21",23.35
"71","2018-12-24",24.27
"72","2018-12-26",25.35
"73","2018-12-27",25.34
"74","2018-12-28",25.700001
"75","2018-12-31",26.610001
"76","2019-01-02",26.48
"77","2019-01-03",25.49
"78","2019-01-04",27
"79","2019-01-07",27.74
"80","2019-01-08",27.91
"81","2019-01-09",26.6
"82","2019-01-10",26.43
"83","2019-01-11",26.030001
"84","2019-01-14",26.469999
"85","2019-01-15",27.68
"86","2019-01-16",27.969999
"87","2019-01-17",28.26
"88","2019-01-18",28.530001
"89","2019-01-22",28.17
"90","2019-01-23",29.09
"91","2019-01-24",28.33
"92","2019-01-25",28.6
"93","2019-01-28",28.700001
"94","2019-01-29",29.67
"95","2019-01-30",29.360001
"96","2019-01-31",29.719999
"97","2019-02-01",30.040001
"98","2019-02-04",29.139999
"99","2019-02-05",29.41
"100","2019-02-06",28.6
"101","2019-02-07",28.690001
"102","2019-02-08",27.6
"103","2019-02-11",27.01
"104","2019-02-12",27.91
"105","2019-02-13",28.01
"106","2019-02-14",28.33
"107","2019-02-15",28.469999
"108","2019-02-19",28.620001
"109","2019-02-20",28.860001
"110","2019-02-21",28.790001
"111","2019-02-22",28.9
"112","2019-02-25",28.799999
"113","2019-02-26",28.17
"114","2019-02-27",31.6
"115","2019-02-28",32
"116","2019-03-01",35.599998
"117","2019-03-04",35.27
"118","2019-03-05",35.709999
"119","2019-03-06",36.279999
"120","2019-03-07",36.560001
"121","2019-03-08",36.119999
"122","2019-03-11",36.529999
"123","2019-03-12",37.07
"124","2019-03-13",35.720001
"125","2019-03-14",35.799999
"126","2019-03-15",35.889999
"127","2019-03-18",35.84
"128","2019-03-19",34.310001
"129","2019-03-20",32.049999
"130","2019-03-21",32.419998
"131","2019-03-22",32.700001
"132","2019-03-25",31.99
"133","2019-03-26",32.400002
"134","2019-03-27",32.759998
"135","2019-03-28",34.48
"136","2019-03-29",34.419998
"137","2019-04-01",34.310001
"138","2019-04-02",34.07
"139","2019-04-03",34.060001
"140","2019-04-04",33.619999
"141","2019-04-05",35.509998
"142","2019-04-08",34.650002
"143","2019-04-09",34.419998
"144","2019-04-10",34.48
"145","2019-04-11",35.09
"146","2019-04-12",34.610001
"147","2019-04-15",34.540001
"148","2019-04-16",34.610001
"149","2019-04-17",34.23
"150","2019-04-18",34.009998
"151","2019-04-22",33.540001
"152","2019-04-23",33.619999
"153","2019-04-24",34.279999
"154","2019-04-25",34.990002
"155","2019-04-26",34.900002
"156","2019-04-29",35.189999
"157","2019-04-30",35.240002
"158","2019-05-01",35.41
"159","2019-05-02",35.509998
"160","2019-05-03",35.169998
"161","2019-05-06",35
"162","2019-05-07",34.349998
"163","2019-05-08",38.849998
"164","2019-05-09",38.450001
"165","2019-05-10",38.93
"166","2019-05-13",38.48
"167","2019-05-14",38.59
"168","2019-05-15",40.790001
"169","2019-05-16",41.349998
"170","2019-05-17",42.34
"171","2019-05-20",42.73
"172","2019-05-21",41.740002
"173","2019-05-22",41.689999
"174","2019-05-23",41.68
"175","2019-05-24",41.360001
"176","2019-05-28",40.91
"177","2019-05-29",40.810001
"178","2019-05-30",40.950001
"179","2019-05-31",40.209999
"180","2019-06-03",39.02
"181","2019-06-04",39.950001
"182","2019-06-05",40.540001
"183","2019-06-06",40.060001
"184","2019-06-07",40.389999
"185","2019-06-10",41.419998
"186","2019-06-11",41.93
"187","2019-06-12",41.98
"188","2019-06-13",41.91
"189","2019-06-14",41.419998
"190","2019-06-17",41.759998
"191","2019-06-18",41.889999
"192","2019-06-19",41.75
"193","2019-06-20",41.830002
"194","2019-06-21",42.490002
"195","2019-06-24",41.630001
"196","2019-06-25",40.720001
"197","2019-06-26",42.310001
"198","2019-06-27",43.34
"199","2019-06-28",43.549999
"200","2019-07-01",43.830002
"201","2019-07-02",44.650002
"202","2019-07-03",44.18
"203","2019-07-05",44.330002
"204","2019-07-08",43.529999
"205","2019-07-09",44.110001
"206","2019-07-10",44.189999
"207","2019-07-11",44
"208","2019-07-12",45.32
"209","2019-07-15",45.220001
"210","2019-07-16",45.849998
"211","2019-07-17",45.599998
"212","2019-07-18",45.98
"213","2019-07-19",46.049999
"214","2019-07-22",46.310001
"215","2019-07-23",45.549999
"216","2019-07-24",44.369999
"217","2019-07-25",45.740002
"218","2019-07-26",46.75
"219","2019-07-29",47.310001
"220","2019-07-30",47.119999
"221","2019-07-31",45.639999
"222","2019-08-01",45.220001
"223","2019-08-02",44.52
"224","2019-08-05",42.57
"225","2019-08-06",43.32
"226","2019-08-07",43.91
"227","2019-08-08",50.459999
"228","2019-08-09",49.93
"229","2019-08-12",49.779999
"230","2019-08-13",50.439999
"231","2019-08-14",49.919998
"232","2019-08-15",49.189999
"233","2019-08-16",50.349998
"234","2019-08-19",50.77
"235","2019-08-20",50.950001
"236","2019-08-21",51.57
"237","2019-08-22",51.73
"238","2019-08-23",50.599998
"239","2019-08-26",49.799999
"240","2019-08-27",49.549999
"241","2019-08-28",49.990002
"242","2019-08-29",50.91
"243","2019-08-30",51.34
"244","2019-09-03",50.330002
"245","2019-09-04",51.509998
"246","2019-09-05",52.619999
"247","2019-09-06",50.889999
"248","2019-09-09",50.080002
"249","2019-09-10",48.650002
"250","2019-09-11",50.450001
"251","2019-09-12",51.279999
"252","2019-09-13",51.450001
"253","2019-09-16",50.98
"254","2019-09-17",51.560001
"255","2019-09-18",51.459999
"256","2019-09-19",52.189999
"257","2019-09-20",52.110001
"258","2019-09-23",51.540001
"259","2019-09-24",51.490002
"260","2019-09-25",52.02
"261","2019-09-26",51.59
"262","2019-09-27",46.98
"263","2019-09-30",48.57
"264","2019-10-01",48.220001
"265","2019-10-02",47.91
"266","2019-10-03",48.689999
"267","2019-10-04",49.5
"268","2019-10-07",49.82
"269","2019-10-08",49.610001
"270","2019-10-09",51.040001
"271","2019-10-10",51.360001
"272","2019-10-11",51.169998
"273","2019-10-14",50.73
"274","2019-10-15",51.490002
"275","2019-10-16",51.279999
"276","2019-10-17",50.77
"277","2019-10-18",50.349998
"278","2019-10-21",50.18
"279","2019-10-22",47.48
"280","2019-10-23",47.049999
"281","2019-10-24",47.610001
"282","2019-10-25",48.060001
"283","2019-10-28",48.490002
"284","2019-10-29",47.5
"285","2019-10-30",47.779999
"286","2019-10-31",48.23
"287","2019-11-01",48.59
"288","2019-11-04",47.16
"289","2019-11-05",43.790001
"290","2019-11-06",44.639999
"291","2019-11-07",44.25
"292","2019-11-08",44.93
"293","2019-11-11",43.130001
"294","2019-11-12",42.740002
"295","2019-11-13",43.150002
"296","2019-11-14",43.48
"297","2019-11-15",44.240002
"298","2019-11-18",44.380001
"299","2019-11-19",45.639999
"300","2019-11-20",45.650002
"301","2019-11-21",43.689999
"302","2019-11-22",44.360001
"303","2019-11-25",45.599998
"304","2019-11-26",45.650002
"305","2019-11-27",45.59
"306","2019-11-29",45.259998
"307","2019-12-02",44.580002
"308","2019-12-03",44.849998
"309","2019-12-04",45.099998
"310","2019-12-05",45.32
"311","2019-12-06",45.970001
"312","2019-12-09",43.610001
"313","2019-12-10",45.43
"314","2019-12-11",47.310001
"315","2019-12-12",45.799999
"316","2019-12-13",47.139999
"317","2019-12-16",45.610001
"318","2019-12-17",45.619999
"319","2019-12-18",45.259998
"320","2019-12-19",46.029999
"321","2019-12-20",47.060001
"322","2019-12-23",47.07
"323","2019-12-24",47.41
"324","2019-12-26",47
"325","2019-12-27",47.25
"326","2019-12-30",46.93
"327","2019-12-31",47.419998
"328","2020-01-02",47.369999
"329","2020-01-03",47.330002
"330","2020-01-06",48.369999
"331","2020-01-07",47.450001
"332","2020-01-08",47.32
"333","2020-01-09",47.080002
"334","2020-01-10",46.740002
"335","2020-01-13",47
"336","2020-01-14",47.700001
"337","2020-01-15",47.82
"338","2020-01-16",48.299999
"339","2020-01-17",48.09
"340","2020-01-21",48.09
"341","2020-01-22",46.07
"342","2020-01-23",45.290001
"343","2020-01-24",44.709999
"344","2020-01-27",44.07
"345","2020-01-28",44.009998
"346","2020-01-29",43.349998
"347","2020-01-30",43.549999
"348","2020-01-31",42.580002
"349","2020-02-03",43.259998
"350","2020-02-04",43.57
"351","2020-02-05",43.139999
"352","2020-02-06",43.029999
"353","2020-02-07",42.349998
"354","2020-02-10",43
"355","2020-02-11",43.16
"356","2020-02-12",44
"357","2020-02-13",43.790001
"358","2020-02-14",43.77
"359","2020-02-18",44.970001
"360","2020-02-19",45.57
"361","2020-02-20",46.529999
"362","2020-02-21",46.700001
"363","2020-02-24",45.580002
"364","2020-02-25",44.5
"365","2020-02-26",45.810001
"366","2020-02-27",43.549999
"367","2020-02-28",42.400002
"368","2020-03-02",44.919998
"369","2020-03-03",44.779999
"370","2020-03-04",45.790001
"371","2020-03-05",43.060001
"372","2020-03-06",43.310001
"373","2020-03-09",38.970001
"374","2020-03-10",40.049999
"375","2020-03-11",37.720001
"376","2020-03-12",36.540001
"377","2020-03-13",37.200001
"378","2020-03-16",36.599998
"379","2020-03-17",35.02
"380","2020-03-18",33.310001
"381","2020-03-19",34.919998
"382","2020-03-20",33.759998
"383","2020-03-23",31.9
"384","2020-03-24",34.389999
"385","2020-03-25",35
"386","2020-03-26",35.490002
"387","2020-03-27",35.560001
"388","2020-03-30",35.380001
"389","2020-03-31",34.779999
"390","2020-04-01",32.75
"391","2020-04-02",32.240002
"392","2020-04-03",30.5
"393","2020-04-06",31.91
"394","2020-04-07",32.279999
"395","2020-04-08",34.369999
"396","2020-04-09",36.18
"397","2020-04-13",35.860001
"398","2020-04-14",37.110001
"399","2020-04-15",34.720001
"400","2020-04-16",33.639999
"401","2020-04-17",35.540001
"402","2020-04-20",35.009998
"403","2020-04-21",34.810001
"404","2020-04-22",35.34
"405","2020-04-23",35.939999
"406","2020-04-24",35.849998
"407","2020-04-27",37.43
"408","2020-04-28",37.48
"409","2020-04-29",39
"410","2020-04-30",38.709999
"411","2020-05-01",37.779999
"412","2020-05-04",38.490002
"413","2020-05-05",39.669998
"414","2020-05-06",40.560001
"415","2020-05-07",41.84
"416","2020-05-08",42.23
"417","2020-05-11",42.119999
"418","2020-05-12",42.16
"419","2020-05-13",41.32
"420","2020-05-14",41.650002
"421","2020-05-15",42.34
"422","2020-05-18",43.220001
"423","2020-05-19",43.080002
"424","2020-05-20",43.709999
"425","2020-05-21",43.59
"426","2020-05-22",43.310001
"427","2020-05-26",44.610001
"428","2020-05-27",44.68
"429","2020-05-28",45.759998
"430","2020-05-29",45.650002
"431","2020-06-01",46.32
"432","2020-06-02",45.950001
"433","2020-06-03",45.619999
"434","2020-06-04",43.32
"435","2020-06-05",44.630001
"436","2020-06-08",45.139999
"437","2020-06-09",45.290001
"438","2020-06-10",44.880001
"439","2020-06-11",42.419998
"440","2020-06-12",43.830002
"441","2020-06-15",44.470001
"442","2020-06-16",45.75
"443","2020-06-17",45.560001
"444","2020-06-18",45.299999
"445","2020-06-19",44.580002
"446","2020-06-22",43.91
"447","2020-06-23",45.07
"448","2020-06-24",44.950001
"449","2020-06-25",45.060001
"450","2020-06-26",44.52
"451","2020-06-29",45.07
"452","2020-06-30",44.330002
"453","2020-07-01",43.880001
"454","2020-07-02",42.889999
"455","2020-07-06",42.990002
"456","2020-07-07",42.110001
"457","2020-07-08",43.009998
"458","2020-07-09",44.23
"459","2020-07-10",46.009998
"460","2020-07-13",44.59
"461","2020-07-14",44.970001
"462","2020-07-15",45.509998
"463","2020-07-16",44.98
"464","2020-07-17",45.650002
"465","2020-07-20",45.5
"466","2020-07-21",44.82
"467","2020-07-22",45.02
"468","2020-07-23",43.990002
"469","2020-07-24",42
"470","2020-07-27",42.209999
"471","2020-07-28",41.669998
"472","2020-07-29",41.040001
"473","2020-07-30",40.700001
"474","2020-07-31",42
"475","2020-08-03",42.5
"476","2020-08-04",42.25
"477","2020-08-05",40.740002
"478","2020-08-06",45.220001
"479","2020-08-07",44.189999
"480","2020-08-10",43.849998
"481","2020-08-11",45.220001
"482","2020-08-12",43.98
"483","2020-08-13",42.75
"484","2020-08-14",42.790001
"485","2020-08-17",43.279999
"486","2020-08-18",42.619999
"487","2020-08-19",42.790001
"488","2020-08-20",41.540001
"489","2020-08-21",40.48
"490","2020-08-24",41.529999
"491","2020-08-25",41.52
"492","2020-08-26",41.169998
"493","2020-08-27",41.98
"494","2020-08-28",42.959999
"495","2020-08-31",43.57
"496","2020-09-01",44.66
"497","2020-09-02",45.529999
"498","2020-09-03",44.529999
"499","2020-09-04",42.290001
"500","2020-09-08",41
"501","2020-09-09",41.299999
"502","2020-09-10",40.720001
"503","2020-09-11",41
"504","2020-09-14",42.709999
"505","2020-09-15",42.619999
"506","2020-09-16",43.029999
"507","2020-09-17",41.93
"508","2020-09-18",41.900002
"509","2020-09-21",42.459999
"510","2020-09-22",41.91
"511","2020-09-23",40.529999
"512","2020-09-24",39.459999
"513","2020-09-25",39.57
"514","2020-09-28",39.619999
"515","2020-09-29",39.080002
"516","2020-09-30",38.91
"517","2020-10-01",41.049999
"518","2020-10-02",41.360001
"519","2020-10-05",41.59
"520","2020-10-06",41.639999
"521","2020-10-07",41.240002
"522","2020-10-08",41.900002
"523","2020-10-09",42.130001
"524","2020-10-12",42.279999
"525","2020-10-13",42.439999
"526","2020-10-14",42.419998
"527","2020-10-15",42.5
"528","2020-10-16",42.060001
"529","2020-10-19",41.099998
"530","2020-10-20",41.400002
"531","2020-10-21",41.84
"532","2020-10-22",41.299999
"533","2020-10-23",41.259998
"534","2020-10-26",41.5
"535","2020-10-27",41
"536","2020-10-28",39.939999
"537","2020-10-29",39.27
"538","2020-10-30",39.619999
"539","2020-11-02",42.299999
"540","2020-11-03",44
"541","2020-11-04",44.549999
"542","2020-11-05",45.759998
"543","2020-11-06",45.919998
"544","2020-11-09",47.98
"545","2020-11-10",48.41
"546","2020-11-11",46.380001
"547","2020-11-12",46.150002
"548","2020-11-13",46.389999
"549","2020-11-16",47.080002
"550","2020-11-17",47.080002
"551","2020-11-18",45.939999
"552","2020-11-19",46.029999
"553","2020-11-20",46.209999
"554","2020-11-23",46.139999
"555","2020-11-24",45.93
"556","2020-11-25",46.709999
"557","2020-11-27",47.59
