"","date","SI"
"1","2019-11-07",12.52
"2","2019-11-08",13.02
"3","2019-11-11",13.4
"4","2019-11-12",13.55
"5","2019-11-13",14.45
"6","2019-11-14",15.35
"7","2019-11-15",15.1
"8","2019-11-18",15.69
"9","2019-11-19",16.09
"10","2019-11-20",16.24
"11","2019-11-21",16.43
"12","2019-11-22",15.67
"13","2019-11-25",15.35
"14","2019-11-26",15.95
"15","2019-11-27",16.049999
"16","2019-11-29",16.42
"17","2019-12-02",16.02
"18","2019-12-03",15.44
"19","2019-12-04",15.17
"20","2019-12-05",15.5
"21","2019-12-06",15.15
"22","2019-12-09",15.32
"23","2019-12-10",15.75
"24","2019-12-11",15.43
"25","2019-12-12",15.61
"26","2019-12-13",16.02
"27","2019-12-16",16.139999
"28","2019-12-17",16.389999
"29","2019-12-18",16.26
"30","2019-12-19",16.26
"31","2019-12-20",15.91
"32","2019-12-23",15.67
"33","2019-12-24",15.82
"34","2019-12-26",15.55
"35","2019-12-27",15.57
"36","2019-12-30",15.95
"37","2019-12-31",15.91
"38","2020-01-02",15.93
"39","2020-01-03",15.93
"40","2020-01-06",15.94
"41","2020-01-07",16.290001
"42","2020-01-08",16.43
"43","2020-01-09",16.08
"44","2020-01-10",15.88
"45","2020-01-13",15.37
"46","2020-01-14",15.71
"47","2020-01-15",15.75
"48","2020-01-16",15.77
"49","2020-01-17",15.58
"50","2020-01-21",15.76
"51","2020-01-22",15.65
"52","2020-01-23",15.56
"53","2020-01-24",15.36
"54","2020-01-27",14.61
"55","2020-01-28",14.86
"56","2020-01-29",14.89
"57","2020-01-30",14.89
"58","2020-01-31",15.78
"59","2020-02-03",14.93
"60","2020-02-04",15.9
"61","2020-02-05",15.99
"62","2020-02-06",16.15
"63","2020-02-07",16.25
"64","2020-02-10",16.15
"65","2020-02-11",16.190001
"66","2020-02-12",16.25
"67","2020-02-13",16.309999
"68","2020-02-14",16.309999
"69","2020-02-18",16.389999
"70","2020-02-19",16.65
"71","2020-02-20",16.52
"72","2020-02-21",16.6
"73","2020-02-24",16.4
"74","2020-02-25",16.280001
"75","2020-02-26",16.25
"76","2020-02-27",15.99
"77","2020-02-28",14.74
"78","2020-03-02",15.53
"79","2020-03-03",15.24
"80","2020-03-04",15.35
"81","2020-03-05",15.07
"82","2020-03-06",14.66
"83","2020-03-09",12.74
"84","2020-03-10",12.87
"85","2020-03-11",11.14
"86","2020-03-12",7.63
"87","2020-03-13",9.92
"88","2020-03-16",9.6
"89","2020-03-17",9.97
"90","2020-03-18",8.93
"91","2020-03-19",9.13
"92","2020-03-20",9.71
"93","2020-03-23",8.74
"94","2020-03-24",9.1
"95","2020-03-25",9.64
"96","2020-03-26",10.01
"97","2020-03-27",8.86
"98","2020-03-30",9.73
"99","2020-03-31",9.54
"100","2020-04-01",8.58
"101","2020-04-02",8.57
"102","2020-04-03",8.25
"103","2020-04-06",9
"104","2020-04-07",8.73
"105","2020-04-08",9.34
"106","2020-04-09",11.3
"107","2020-04-13",10.4
"108","2020-04-14",10.32
"109","2020-04-15",9.59
"110","2020-04-16",10
"111","2020-04-17",13.72
"112","2020-04-20",13.82
"113","2020-04-21",13.02
"114","2020-04-22",13.11
"115","2020-04-23",13.29
"116","2020-04-24",13.5
"117","2020-04-27",14.03
"118","2020-04-28",14.26
"119","2020-04-29",15.76
"120","2020-04-30",15.9
"121","2020-05-01",15.23
"122","2020-05-04",14.36
"123","2020-05-05",14.57
"124","2020-05-06",13.4
"125","2020-05-07",13.38
"126","2020-05-08",14
"127","2020-05-11",13.73
"128","2020-05-12",14.83
"129","2020-05-13",14.21
"130","2020-05-14",14.44
"131","2020-05-15",14.25
"132","2020-05-18",14.59
"133","2020-05-19",14.56
"134","2020-05-20",14.87
"135","2020-05-21",14.79
"136","2020-05-22",15.06
"137","2020-05-26",14.8
"138","2020-05-27",14.73
"139","2020-05-28",14.52
"140","2020-05-29",14.59
"141","2020-06-01",13.87
"142","2020-06-02",14.66
"143","2020-06-03",14.66
"144","2020-06-04",14.75
"145","2020-06-05",14.94
"146","2020-06-08",14.82
"147","2020-06-09",14.85
"148","2020-06-10",14.39
"149","2020-06-11",13.66
"150","2020-06-12",13.92
"151","2020-06-15",14.34
"152","2020-06-16",14.74
"153","2020-06-17",14.71
"154","2020-06-18",14.8
"155","2020-06-19",14.69
"156","2020-06-22",14.76
"157","2020-06-23",14.75
"158","2020-06-24",14.17
"159","2020-06-25",14.46
"160","2020-06-26",13.25
"161","2020-06-29",13.8
"162","2020-06-30",14
"163","2020-07-01",13.59
"164","2020-07-02",13.5
"165","2020-07-06",13.35
"166","2020-07-07",12.89
"167","2020-07-08",13
"168","2020-07-09",12.36
"169","2020-07-10",13.16
"170","2020-07-13",13.3
"171","2020-07-14",13.33
"172","2020-07-15",13.94
"173","2020-07-16",13.79
"174","2020-07-17",13.43
"175","2020-07-20",13.33
"176","2020-07-21",13.83
"177","2020-07-22",13.79
"178","2020-07-23",14
"179","2020-07-24",13.9
"180","2020-07-27",14.15
"181","2020-07-28",14.11
"182","2020-07-29",14.44
"183","2020-07-30",14.34
"184","2020-07-31",13.67
"185","2020-08-03",13.95
"186","2020-08-04",13.81
"187","2020-08-05",14.09
"188","2020-08-06",14.15
"189","2020-08-07",14.58
"190","2020-08-10",14.07
"191","2020-08-11",14.3
"192","2020-08-12",14.72
"193","2020-08-13",14.56
"194","2020-08-14",14.85
"195","2020-08-17",14.99
"196","2020-08-18",14.71
"197","2020-08-19",15.01
"198","2020-08-20",14.98
"199","2020-08-21",14.78
"200","2020-08-24",14.87
"201","2020-08-25",14.98
"202","2020-08-26",14.99
"203","2020-08-27",15.33
"204","2020-08-28",14.98
"205","2020-08-31",14.93
"206","2020-09-01",15.46
"207","2020-09-02",15.05
"208","2020-09-03",14.72
"209","2020-09-04",14.43
"210","2020-09-08",14.36
"211","2020-09-09",14.62
"212","2020-09-10",14.56
"213","2020-09-11",14.98
"214","2020-09-14",15.92
"215","2020-09-15",15.95
"216","2020-09-16",15.9
"217","2020-09-17",15.98
"218","2020-09-18",15.98
"219","2020-09-21",14.52
"220","2020-09-22",14.28
"221","2020-09-23",13.69
"222","2020-09-24",13.73
"223","2020-09-25",13.75
"224","2020-09-28",14.37
"225","2020-09-29",14.2
"226","2020-09-30",14.4
"227","2020-10-01",14.6
"228","2020-10-02",14.66
"229","2020-10-05",14.73
"230","2020-10-06",15.09
"231","2020-10-07",15.35
"232","2020-10-08",15.75
"233","2020-10-09",15.49
"234","2020-10-12",16.139999
"235","2020-10-13",16.190001
"236","2020-10-14",15.75
"237","2020-10-15",16.280001
"238","2020-10-16",16.879999
"239","2020-10-19",17.68
"240","2020-10-20",18
"241","2020-10-21",19.33
"242","2020-10-22",19.76
"243","2020-10-23",20.690001
"244","2020-10-26",22.360001
"245","2020-10-27",23.02
"246","2020-10-28",22.620001
"247","2020-10-29",22.299999
"248","2020-10-30",22.360001
"249","2020-11-02",22.5
"250","2020-11-03",23.15
"251","2020-11-04",24.01
"252","2020-11-05",26.639999
"253","2020-11-06",27.57
"254","2020-11-09",25.540001
"255","2020-11-10",25.98
"256","2020-11-11",27.24
"257","2020-11-12",27.02
"258","2020-11-13",28.32
"259","2020-11-16",28.440001
"260","2020-11-17",29.91
"261","2020-11-18",29.24
"262","2020-11-19",30.870001
"263","2020-11-20",30.5
"264","2020-11-23",34.419998
"265","2020-11-24",35.720001
"266","2020-11-25",34.880001
"267","2020-11-27",33.07
