"","date","IDCC"
"1","2007-01-03",33.669998
"2","2007-01-04",34.07
"3","2007-01-05",33.259998
"4","2007-01-08",33.27
"5","2007-01-09",33.360001
"6","2007-01-10",33.490002
"7","2007-01-11",33.5
"8","2007-01-12",33.509998
"9","2007-01-16",33.869999
"10","2007-01-17",33.669998
"11","2007-01-18",33.5
"12","2007-01-19",34.009998
"13","2007-01-22",33.560001
"14","2007-01-23",34.040001
"15","2007-01-24",34.650002
"16","2007-01-25",34.790001
"17","2007-01-26",34.939999
"18","2007-01-29",34.400002
"19","2007-01-30",34.73
"20","2007-01-31",34.689999
"21","2007-02-01",34.900002
"22","2007-02-02",34.560001
"23","2007-02-05",34.380001
"24","2007-02-06",34.419998
"25","2007-02-07",34.5
"26","2007-02-08",34.950001
"27","2007-02-09",34.529999
"28","2007-02-12",34.18
"29","2007-02-13",34.400002
"30","2007-02-14",34.630001
"31","2007-02-15",34.669998
"32","2007-02-16",34.939999
"33","2007-02-20",35.59
"34","2007-02-21",35.43
"35","2007-02-22",35.619999
"36","2007-02-23",35.380001
"37","2007-02-26",35.27
"38","2007-02-27",33.68
"39","2007-02-28",34.720001
"40","2007-03-01",33.259998
"41","2007-03-02",32.810001
"42","2007-03-05",31.08
"43","2007-03-06",32.09
"44","2007-03-07",31.530001
"45","2007-03-08",31.809999
"46","2007-03-09",31.870001
"47","2007-03-12",31.780001
"48","2007-03-13",31.040001
"49","2007-03-14",31.290001
"50","2007-03-15",32.080002
"51","2007-03-16",32
"52","2007-03-19",31.780001
"53","2007-03-20",32.119999
"54","2007-03-21",32.32
"55","2007-03-22",32.049999
"56","2007-03-23",32.139999
"57","2007-03-26",32.34
"58","2007-03-27",31.35
"59","2007-03-28",31.790001
"60","2007-03-29",30.950001
"61","2007-03-30",31.67
"62","2007-04-02",31.639999
"63","2007-04-03",32.209999
"64","2007-04-04",32.529999
"65","2007-04-05",32.73
"66","2007-04-09",32.720001
"67","2007-04-10",32.82
"68","2007-04-11",32.990002
"69","2007-04-12",33.049999
"70","2007-04-13",34.490002
"71","2007-04-16",34.740002
"72","2007-04-17",34.32
"73","2007-04-18",34.369999
"74","2007-04-19",33.709999
"75","2007-04-20",34.049999
"76","2007-04-23",33.869999
"77","2007-04-24",33.709999
"78","2007-04-25",34.009998
"79","2007-04-26",34.060001
"80","2007-04-27",34.02
"81","2007-04-30",32.880001
"82","2007-05-01",32.860001
"83","2007-05-02",33.110001
"84","2007-05-03",33.189999
"85","2007-05-04",33.049999
"86","2007-05-07",32.959999
"87","2007-05-08",31.73
"88","2007-05-09",32.080002
"89","2007-05-10",31.120001
"90","2007-05-11",32.970001
"91","2007-05-14",32.919998
"92","2007-05-15",31.93
"93","2007-05-16",32.560001
"94","2007-05-17",32.330002
"95","2007-05-18",32.240002
"96","2007-05-21",32.630001
"97","2007-05-22",32.439999
"98","2007-05-23",31.99
"99","2007-05-24",32.060001
"100","2007-05-25",31.52
"101","2007-05-29",32.830002
"102","2007-05-30",32.77
"103","2007-05-31",32.540001
"104","2007-06-01",33.41
"105","2007-06-04",33.200001
"106","2007-06-05",32.52
"107","2007-06-06",31.950001
"108","2007-06-07",31.360001
"109","2007-06-08",31.91
"110","2007-06-11",31.68
"111","2007-06-12",32.66
"112","2007-06-13",33.349998
"113","2007-06-14",33.330002
"114","2007-06-15",33.349998
"115","2007-06-18",33.720001
"116","2007-06-19",33.810001
"117","2007-06-20",32.689999
"118","2007-06-21",33.139999
"119","2007-06-22",32.790001
"120","2007-06-25",32.59
"121","2007-06-26",31.959999
"122","2007-06-27",32.27
"123","2007-06-28",31.610001
"124","2007-06-29",32.169998
"125","2007-07-02",32.32
"126","2007-07-03",32.540001
"127","2007-07-05",32.549999
"128","2007-07-06",32.639999
"129","2007-07-09",31.91
"130","2007-07-10",31.74
"131","2007-07-11",31.690001
"132","2007-07-12",32.25
"133","2007-07-13",32.23
"134","2007-07-16",31.83
"135","2007-07-17",31.66
"136","2007-07-18",31.26
"137","2007-07-19",31.780001
"138","2007-07-20",30.74
"139","2007-07-23",30.84
