"","date","CCU"
"1","2007-01-03",11.896
"2","2007-01-04",11.88
"3","2007-01-05",11.792
"4","2007-01-08",11.78
"5","2007-01-09",11.68
"6","2007-01-10",11.452
"7","2007-01-11",11.32
"8","2007-01-12",11.332
"9","2007-01-16",11.468
"10","2007-01-17",11.708
"11","2007-01-18",11.8
"12","2007-01-19",11.752
"13","2007-01-22",11.724
"14","2007-01-23",12.108
"15","2007-01-24",11.968
"16","2007-01-25",11.82
"17","2007-01-26",11.7
"18","2007-01-29",11.712
"19","2007-01-30",11.696
"20","2007-01-31",11.968
"21","2007-02-01",11.88
"22","2007-02-02",12.144
"23","2007-02-05",11.796
"24","2007-02-06",12.3
"25","2007-02-07",12.392
"26","2007-02-08",12.292
"27","2007-02-09",12.408
"28","2007-02-12",12.38
"29","2007-02-13",12.5
"30","2007-02-14",12.708
"31","2007-02-15",12.644
"32","2007-02-16",12.808
"33","2007-02-20",12.312
"34","2007-02-21",12.056
"35","2007-02-22",12.268
"36","2007-02-23",12.336
"37","2007-02-26",12.36
"38","2007-02-27",11.804
"39","2007-02-28",11.82
"40","2007-03-01",12.028
"41","2007-03-02",11.672
"42","2007-03-05",11.644
"43","2007-03-06",11.824
"44","2007-03-07",11.852
"45","2007-03-08",11.872
"46","2007-03-09",12
"47","2007-03-12",12.036
"48","2007-03-13",11.996
"49","2007-03-14",11.9
"50","2007-03-15",12.252
"51","2007-03-16",12.26
"52","2007-03-19",12.696
"53","2007-03-20",12.52
"54","2007-03-21",12.6
"55","2007-03-22",12.564
"56","2007-03-23",12.3
"57","2007-03-26",12.556
"58","2007-03-27",12.472
"59","2007-03-28",12.468
"60","2007-03-29",12.56
"61","2007-03-30",12.568
"62","2007-04-02",12.52
"63","2007-04-03",12.6
"64","2007-04-04",12.58
"65","2007-04-05",12.48
"66","2007-04-09",12.652
"67","2007-04-10",12.76
"68","2007-04-11",12.92
"69","2007-04-12",12.86
"70","2007-04-13",12.86
"71","2007-04-16",12.908
"72","2007-04-17",13.104
"73","2007-04-18",12.992
"74","2007-04-19",13.1
"75","2007-04-20",13.66
"76","2007-04-23",13.276
"77","2007-04-24",13.384
"78","2007-04-25",13.44
"79","2007-04-26",13.416
"80","2007-04-27",13.88
"81","2007-04-30",13.936
"82","2007-05-01",14.036
"83","2007-05-02",14.128
"84","2007-05-03",14.72
"85","2007-05-04",14.756
"86","2007-05-07",15.056
"87","2007-05-08",14.98
"88","2007-05-09",14.872
"89","2007-05-10",14.8
