"","date","FSDC"
"1","2020-08-12",10.3
"2","2020-08-13",10.54
"3","2020-08-14",10.44
"4","2020-08-17",10.5
"5","2020-08-18",10.3
"6","2020-08-19",10.34
"7","2020-08-20",10.39
"8","2020-08-21",10.3
"9","2020-08-24",10.36
"10","2020-08-25",10.31
"11","2020-08-26",10.55
"12","2020-08-27",11
"13","2020-08-28",11
"14","2020-08-31",11
"15","2020-09-01",10.57
"16","2020-09-02",10.7
"17","2020-09-03",10.55
"18","2020-09-04",10.89
"19","2020-09-08",10.45
"20","2020-09-09",10.45
"21","2020-09-10",10.5
"22","2020-09-11",10.89
"23","2020-09-14",10.75
"24","2020-09-15",10.55
"25","2020-09-16",10.67
"26","2020-09-17",10.59
"27","2020-09-18",10.85
"28","2020-09-21",11.336
"29","2020-09-22",10.667
"30","2020-09-23",11.52
"31","2020-09-24",10.51
"32","2020-09-25",11.724
"33","2020-09-28",11.195
"34","2020-09-29",11.195
"35","2020-09-30",11.198
"36","2020-10-01",11.19
"37","2020-10-02",10.85
"38","2020-10-05",11
"39","2020-10-06",11
"40","2020-10-07",11
"41","2020-10-08",10.97
"42","2020-10-09",10.8
"43","2020-10-12",10.85
"44","2020-10-13",11
"45","2020-10-14",11.14
"46","2020-10-15",10.7
"47","2020-10-16",10.3
"48","2020-10-19",10.4
"49","2020-10-20",10.13
"50","2020-10-21",10
"51","2020-10-22",10.05
"52","2020-10-23",10.15
"53","2020-10-26",10.1
"54","2020-10-27",10.16
"55","2020-10-28",10.14
"56","2020-10-29",10.1
"57","2020-10-30",10
"58","2020-11-02",10.01
"59","2020-11-03",10.01
"60","2020-11-04",10.01
"61","2020-11-05",10.08
"62","2020-11-06",10.05
"63","2020-11-09",10.15
"64","2020-11-10",10
"65","2020-11-11",10.01
"66","2020-11-12",10.025
"67","2020-11-13",10.15
"68","2020-11-16",10.1
"69","2020-11-17",10.05
"70","2020-11-18",10.14
"71","2020-11-19",10.17
"72","2020-11-20",10.05
"73","2020-11-23",10.05
"74","2020-11-24",10.008
"75","2020-11-25",10.05
"76","2020-11-27",10.1
