"","date","BNR"
"1","2020-06-12",24.629999
"2","2020-06-15",23.209999
"3","2020-06-16",24.35
"4","2020-06-17",24.389999
"5","2020-06-18",26.59
"6","2020-06-19",28.790001
"7","2020-06-22",30.059999
"8","2020-06-23",31.43
"9","2020-06-24",31.059999
"10","2020-06-25",30.91
"11","2020-06-26",27.85
"12","2020-06-29",26.08
"13","2020-06-30",27.01
"14","2020-07-01",26.639999
"15","2020-07-02",27.15
"16","2020-07-06",26.459999
"17","2020-07-07",26.99
"18","2020-07-08",26.67
"19","2020-07-09",26.09
"20","2020-07-10",26.030001
"21","2020-07-13",28.35
"22","2020-07-14",28.01
"23","2020-07-15",29.610001
"24","2020-07-16",28.299999
"25","2020-07-17",28.43
"26","2020-07-20",28.73
"27","2020-07-21",27.790001
"28","2020-07-22",26
"29","2020-07-23",26.190001
"30","2020-07-24",23.809999
"31","2020-07-27",27.02
"32","2020-07-28",26.9
"33","2020-07-29",26.26
"34","2020-07-30",25.200001
"35","2020-07-31",25
"36","2020-08-03",25.049999
"37","2020-08-04",24.51
"38","2020-08-05",23.879999
"39","2020-08-06",24.17
"40","2020-08-07",23.129999
"41","2020-08-10",23.790001
"42","2020-08-11",21.299999
"43","2020-08-12",21
"44","2020-08-13",21.459999
"45","2020-08-14",20.959999
"46","2020-08-17",20.639999
"47","2020-08-18",20.5
"48","2020-08-19",20.540001
"49","2020-08-20",20.530001
"50","2020-08-21",22.6
"51","2020-08-24",21.629999
"52","2020-08-25",22.719999
"53","2020-08-26",24.299999
"54","2020-08-27",24.33
"55","2020-08-28",23.969999
"56","2020-08-31",23.059999
"57","2020-09-01",22.209999
"58","2020-09-02",21.48
"59","2020-09-03",20.549999
"60","2020-09-04",19.549999
"61","2020-09-08",19.85
"62","2020-09-09",19.07
"63","2020-09-10",20.879999
"64","2020-09-11",20.08
"65","2020-09-14",20.030001
"66","2020-09-15",21.23
"67","2020-09-16",21.4
"68","2020-09-17",22.33
"69","2020-09-18",22.709999
"70","2020-09-21",22.16
"71","2020-09-22",21.83
"72","2020-09-23",20.75
"73","2020-09-24",20.690001
"74","2020-09-25",21.549999
"75","2020-09-28",23.26
"76","2020-09-29",24.23
"77","2020-09-30",25.08
"78","2020-10-01",25.08
"79","2020-10-02",24.299999
"80","2020-10-05",25
"81","2020-10-06",25.23
"82","2020-10-07",25.57
"83","2020-10-08",26
"84","2020-10-09",26.5
"85","2020-10-12",26.67
"86","2020-10-13",29
"87","2020-10-14",28
"88","2020-10-15",27.82
"89","2020-10-16",27.91
"90","2020-10-19",27.49
"91","2020-10-20",27.959999
"92","2020-10-21",28.620001
"93","2020-10-22",28.940001
"94","2020-10-23",29.700001
"95","2020-10-26",29.66
"96","2020-10-27",30.870001
"97","2020-10-28",30.49
"98","2020-10-29",30.799999
"99","2020-10-30",30.870001
"100","2020-11-02",29.379999
"101","2020-11-03",26.690001
"102","2020-11-04",28.41
"103","2020-11-05",28.959999
"104","2020-11-06",29.040001
"105","2020-11-09",29.59
"106","2020-11-10",28.01
"107","2020-11-11",28
"108","2020-11-12",27.08
"109","2020-11-13",28.5
"110","2020-11-16",28.190001
"111","2020-11-17",26.84
"112","2020-11-18",26.24
"113","2020-11-19",25.93
"114","2020-11-20",24.01
"115","2020-11-23",25.01
"116","2020-11-24",26.049999
"117","2020-11-25",28
"118","2020-11-27",29.129999
