"","date","TRST"
"1","2007-01-03",11.18
"2","2007-01-04",11.26
"3","2007-01-05",11
"4","2007-01-08",11
"5","2007-01-09",11.02
"6","2007-01-10",10.92
"7","2007-01-11",10.99
"8","2007-01-12",10.99
"9","2007-01-16",10.94
"10","2007-01-17",10.78
"11","2007-01-18",10.49
"12","2007-01-19",10.49
"13","2007-01-22",10.5
"14","2007-01-23",10.48
"15","2007-01-24",10.52
"16","2007-01-25",10.48
"17","2007-01-26",10.57
"18","2007-01-29",10.5
"19","2007-01-30",10.51
"20","2007-01-31",10.52
"21","2007-02-01",10.62
"22","2007-02-02",10.53
"23","2007-02-05",10.54
"24","2007-02-06",10.53
"25","2007-02-07",10.57
"26","2007-02-08",10.54
"27","2007-02-09",10.49
"28","2007-02-12",10.56
"29","2007-02-13",10.56
"30","2007-02-14",10.5
"31","2007-02-15",10.44
"32","2007-02-16",10.44
"33","2007-02-20",10.47
"34","2007-02-21",10.4
"35","2007-02-22",10.49
"36","2007-02-23",10.35
"37","2007-02-26",10.4
"38","2007-02-27",10.02
"39","2007-02-28",9.89
"40","2007-03-01",9.82
"41","2007-03-02",9.73
"42","2007-03-05",9.45
"43","2007-03-06",9.91
"44","2007-03-07",9.87
"45","2007-03-08",9.85
"46","2007-03-09",9.75
"47","2007-03-12",9.72
"48","2007-03-13",9.46
"49","2007-03-14",9.52
"50","2007-03-15",9.59
"51","2007-03-16",9.53
"52","2007-03-19",9.58
"53","2007-03-20",9.72
"54","2007-03-21",9.9
"55","2007-03-22",9.88
"56","2007-03-23",9.93
"57","2007-03-26",9.83
"58","2007-03-27",9.68
"59","2007-03-28",9.54
"60","2007-03-29",9.62
"61","2007-03-30",9.58
"62","2007-04-02",9.46
"63","2007-04-03",9.63
"64","2007-04-04",9.51
"65","2007-04-05",9.53
"66","2007-04-09",9.51
"67","2007-04-10",9.48
"68","2007-04-11",9.36
"69","2007-04-12",9.38
"70","2007-04-13",9.43
"71","2007-04-16",9.6
"72","2007-04-17",9.56
"73","2007-04-18",9.57
"74","2007-04-19",9.51
"75","2007-04-20",9.62
"76","2007-04-23",9.5
"77","2007-04-24",9.52
"78","2007-04-25",9.46
"79","2007-04-26",9.5
"80","2007-04-27",9.41
"81","2007-04-30",9.17
"82","2007-05-01",9.38
"83","2007-05-02",9.51
"84","2007-05-03",9.48
"85","2007-05-04",9.54
"86","2007-05-07",9.54
"87","2007-05-08",9.48
"88","2007-05-09",9.51
"89","2007-05-10",9.26
"90","2007-05-11",9.42
"91","2007-05-14",9.32
"92","2007-05-15",9.29
"93","2007-05-16",9.38
"94","2007-05-17",9.34
"95","2007-05-18",9.48
"96","2007-05-21",9.57
"97","2007-05-22",9.77
"98","2007-05-23",9.63
"99","2007-05-24",9.55
"100","2007-05-25",9.61
"101","2007-05-29",9.67
"102","2007-05-30",9.7
"103","2007-05-31",9.71
"104","2007-06-01",9.91
"105","2007-06-04",9.96
"106","2007-06-05",9.89
"107","2007-06-06",9.67
"108","2007-06-07",9.58
"109","2007-06-08",9.7
"110","2007-06-11",9.72
"111","2007-06-12",9.6
"112","2007-06-13",9.81
"113","2007-06-14",9.78
"114","2007-06-15",9.96
"115","2007-06-18",9.84
"116","2007-06-19",9.82
"117","2007-06-20",9.8
"118","2007-06-21",9.8
"119","2007-06-22",9.9
"120","2007-06-25",9.81
"121","2007-06-26",9.93
"122","2007-06-27",9.9
"123","2007-06-28",10
"124","2007-06-29",9.88
"125","2007-07-02",9.97
"126","2007-07-03",10.08
"127","2007-07-05",10.03
"128","2007-07-06",9.96
"129","2007-07-09",9.93
"130","2007-07-10",9.79
"131","2007-07-11",9.82
"132","2007-07-12",9.89
"133","2007-07-13",9.84
"134","2007-07-16",9.81
"135","2007-07-17",9.77
"136","2007-07-18",9.67
"137","2007-07-19",9.66
"138","2007-07-20",9.62
"139","2007-07-23",9.63
"140","2007-07-24",9.42
"141","2007-07-25",9.37
"142","2007-07-26",9.35
"143","2007-07-27",9.31
"144","2007-07-30",9.41
"145","2007-07-31",9.28
"146","2007-08-01",9.41
"147","2007-08-02",9.51
"148","2007-08-03",9.21
"149","2007-08-06",9.88
"150","2007-08-07",10.19
"151","2007-08-08",11.18
"152","2007-08-09",11.15
"153","2007-08-10",10.74
"154","2007-08-13",10.02
"155","2007-08-14",9.78
"156","2007-08-15",9.84
"157","2007-08-16",10.85
"158","2007-08-17",11.22
"159","2007-08-20",10.9
"160","2007-08-21",10.89
"161","2007-08-22",10.97
"162","2007-08-23",10.82
"163","2007-08-24",10.95
"164","2007-08-27",11.01
"165","2007-08-28",10.84
"166","2007-08-29",11.04
"167","2007-08-30",11.09
"168","2007-08-31",11.18
"169","2007-09-04",11.21
"170","2007-09-05",11.13
"171","2007-09-06",11.09
"172","2007-09-07",10.89
"173","2007-09-10",10.77
"174","2007-09-11",10.93
"175","2007-09-12",10.8
"176","2007-09-13",10.75
"177","2007-09-14",10.97
"178","2007-09-17",10.8
"179","2007-09-18",11.25
"180","2007-09-19",11.4
"181","2007-09-20",11.26
"182","2007-09-21",11.04
"183","2007-09-24",10.94
"184","2007-09-25",10.89
"185","2007-09-26",11.02
"186","2007-09-27",11.01
"187","2007-09-28",10.93
"188","2007-10-01",11.28
"189","2007-10-02",11.49
"190","2007-10-03",11.26
"191","2007-10-04",11.32
"192","2007-10-05",11.47
"193","2007-10-08",11.28
"194","2007-10-09",11.28
"195","2007-10-10",11.15
"196","2007-10-11",10.89
"197","2007-10-12",10.83
"198","2007-10-15",10.39
"199","2007-10-16",10.14
"200","2007-10-17",10.25
"201","2007-10-18",10.24
"202","2007-10-19",9.85
"203","2007-10-22",10.24
"204","2007-10-23",10.3
"205","2007-10-24",10.14
"206","2007-10-25",10.03
"207","2007-10-26",10.38
"208","2007-10-29",10.32
"209","2007-10-30",10.39
"210","2007-10-31",10.54
"211","2007-11-01",9.85
"212","2007-11-02",9.92
"213","2007-11-05",9.91
"214","2007-11-06",10.12
"215","2007-11-07",9.59
"216","2007-11-08",9.96
"217","2007-11-09",10.22
"218","2007-11-12",10.27
"219","2007-11-13",10.71
"220","2007-11-14",10.48
"221","2007-11-15",10.32
"222","2007-11-16",10.39
"223","2007-11-19",10.17
"224","2007-11-20",10.33
"225","2007-11-21",10.19
"226","2007-11-23",10.49
"227","2007-11-26",10.03
"228","2007-11-27",10.1
"229","2007-11-28",10.72
"230","2007-11-29",10.45
"231","2007-11-30",10.63
"232","2007-12-03",10.36
"233","2007-12-04",10.11
"234","2007-12-05",10.31
"235","2007-12-06",10.71
"236","2007-12-07",10.58
"237","2007-12-10",10.65
"238","2007-12-11",10.18
"239","2007-12-12",10.21
"240","2007-12-13",10.25
"241","2007-12-14",9.94
"242","2007-12-17",9.75
"243","2007-12-18",10.07
"244","2007-12-19",10.26
"245","2007-12-20",10.33
"246","2007-12-21",10.54
"247","2007-12-24",10.67
