"","date","AVGR"
"1","2015-01-30",5400
"2","2015-02-02",5328
"3","2015-02-03",5220
"4","2015-02-04",5200
"5","2015-02-05",5256
"6","2015-02-06",5220
"7","2015-02-09",5240
"8","2015-02-10",5220
"9","2015-02-11",5260
"10","2015-02-12",5268
"11","2015-02-13",5156
"12","2015-02-17",5220
"13","2015-02-18",4760
"14","2015-02-19",4100
"15","2015-02-20",4164
"16","2015-02-23",4264
"17","2015-02-24",4596
"18","2015-02-25",4884
"19","2015-02-26",4744
"20","2015-02-27",4560
"21","2015-03-02",4476
"22","2015-03-03",4432
"23","2015-03-04",4324
"24","2015-03-05",4364
"25","2015-03-06",4200
"26","2015-03-09",4060
"27","2015-03-10",4000
"28","2015-03-11",4000
"29","2015-03-12",4180
"30","2015-03-13",4192
"31","2015-03-16",4252
"32","2015-03-17",4276
"33","2015-03-18",4564
"34","2015-03-19",4400
"35","2015-03-20",4052
"36","2015-03-23",4120
"37","2015-03-24",4340
"38","2015-03-25",4312
"39","2015-03-26",4408
"40","2015-03-27",4392
"41","2015-03-30",4556
"42","2015-03-31",4436
"43","2015-04-01",4488
"44","2015-04-02",4616
"45","2015-04-06",4600
"46","2015-04-07",4660
"47","2015-04-08",4824
"48","2015-04-09",4640
"49","2015-04-10",4732
"50","2015-04-13",4500
"51","2015-04-14",4676
"52","2015-04-15",4760
"53","2015-04-16",4865.600098
"54","2015-04-17",4908
"55","2015-04-20",4620
"56","2015-04-21",4570
"57","2015-04-22",4664
"58","2015-04-23",4648
"59","2015-04-24",4728
"60","2015-04-27",4764
"61","2015-04-28",4504
"62","2015-04-29",4576
"63","2015-04-30",4392
"64","2015-05-01",4364
"65","2015-05-04",4264
"66","2015-05-05",4284
"67","2015-05-06",4200
"68","2015-05-07",4576
"69","2015-05-08",4460
"70","2015-05-11",4560
"71","2015-05-12",4554
"72","2015-05-13",4540
"73","2015-05-14",4496
"74","2015-05-15",4522
"75","2015-05-18",4544
"76","2015-05-19",4588
"77","2015-05-20",4540
"78","2015-05-21",4596
"79","2015-05-22",4588
"80","2015-05-26",4616
"81","2015-05-27",4568
"82","2015-05-28",4692
"83","2015-05-29",4672
"84","2015-06-01",4952
"85","2015-06-02",4804
"86","2015-06-03",4808
"87","2015-06-04",4900
"88","2015-06-05",4814
"89","2015-06-08",4930
"90","2015-06-09",4952
"91","2015-06-10",5000
"92","2015-06-11",5096
"93","2015-06-12",4908
"94","2015-06-15",5080
"95","2015-06-16",4876
"96","2015-06-17",4928
"97","2015-06-18",4952
"98","2015-06-19",4824
"99","2015-06-22",4688
"100","2015-06-23",4732
"101","2015-06-24",5008
"102","2015-06-25",5260
"103","2015-06-26",5200
"104","2015-06-29",5200
"105","2015-06-30",5164
"106","2015-07-01",5300
"107","2015-07-02",5232
"108","2015-07-06",5208
"109","2015-07-07",5176
"110","2015-07-08",5108
"111","2015-07-09",5088
"112","2015-07-10",5160
"113","2015-07-13",5204
"114","2015-07-14",5084
"115","2015-07-15",5008
"116","2015-07-16",5028
"117","2015-07-17",5140
"118","2015-07-20",5320
"119","2015-07-21",5328
"120","2015-07-22",5460
"121","2015-07-23",5404
"122","2015-07-24",5192
"123","2015-07-27",5356
"124","2015-07-28",5460
