"","date","KL"
"1","2016-12-01",5.426
"2","2016-12-02",5.453
"3","2016-12-05",5.7949
"4","2016-12-06",5.967
"5","2016-12-07",6.448
"6","2016-12-08",6.37
"7","2016-12-09",6.003
"8","2016-12-12",6.244
"9","2016-12-13",6.024
"10","2016-12-14",5.7
"11","2016-12-15",5.21
"12","2016-12-16",5
"13","2016-12-19",4.93
"14","2016-12-20",4.85
"15","2016-12-21",4.85
"16","2016-12-22",4.78
"17","2016-12-23",4.92
"18","2016-12-27",4.9
"19","2016-12-28",5.086
"20","2016-12-29",5.451
"21","2016-12-30",5.27
"22","2017-01-03",5.37
"23","2017-01-04",5.545
"24","2017-01-05",5.843
"25","2017-01-06",5.69
"26","2017-01-09",5.777
"27","2017-01-10",5.93
"28","2017-01-11",6.127
"29","2017-01-12",6.036
"30","2017-01-13",6.137
"31","2017-01-17",6.6
"32","2017-01-18",6.3
"33","2017-01-19",6.29
"34","2017-01-20",6.482
"35","2017-01-23",6.73
"36","2017-01-24",6.652
"37","2017-01-25",6.715
"38","2017-01-26",6.568
"39","2017-01-27",6.836
"40","2017-01-30",6.82
"41","2017-01-31",7.09
"42","2017-02-01",7.4
"43","2017-02-02",7.66
"44","2017-02-03",7.727
"45","2017-02-06",8.39
"46","2017-02-07",8.187
"47","2017-02-08",8.322
"48","2017-02-09",8.171
"49","2017-02-10",8.2
"50","2017-02-13",8.06
"51","2017-02-14",8.059
"52","2017-02-15",7.8
"53","2017-02-16",8.066
"54","2017-02-17",7.8
"55","2017-02-21",7.8
"56","2017-02-22",7.75
"57","2017-02-23",7.796
"58","2017-02-24",7.9
"59","2017-02-27",7.07
"60","2017-02-28",7.1
"61","2017-03-01",6.981
"62","2017-03-02",6.58
"63","2017-03-03",6.835
"64","2017-03-06",6.568
"65","2017-03-07",6.571
"66","2017-03-08",6.446
"67","2017-03-09",6.392
"68","2017-03-10",6.532
"69","2017-03-13",7.035
"70","2017-03-14",6.952
"71","2017-03-15",7.57
"72","2017-03-16",7.505
"73","2017-03-17",6.971
"74","2017-03-20",7.3
"75","2017-03-21",7.21
"76","2017-03-22",7.217
"77","2017-03-23",6.949
"78","2017-03-24",6.983
"79","2017-03-27",7.035
"80","2017-03-28",6.939
"81","2017-03-29",7.52
"82","2017-03-30",7.43
"83","2017-03-31",7.365
"84","2017-04-03",7.506
"85","2017-04-04",7.501
"86","2017-04-05",7.526
"87","2017-04-06",7.367
"88","2017-04-07",7.38
"89","2017-04-10",7.5
"90","2017-04-11",7.706
"91","2017-04-12",8
"92","2017-04-13",7.785
"93","2017-04-17",7.81
"94","2017-04-18",7.735
"95","2017-04-19",7.468
"96","2017-04-20",7.351
"97","2017-04-21",7.4
"98","2017-04-24",7.061
"99","2017-04-25",6.71
"100","2017-04-26",7.23
"101","2017-04-27",6.78
"102","2017-04-28",6.96
"103","2017-05-01",6.731
"104","2017-05-02",6.59
"105","2017-05-03",6.55
"106","2017-05-04",6.387
"107","2017-05-05",6.619
"108","2017-05-08",6.612
"109","2017-05-09",6.563
"110","2017-05-10",6.675
"111","2017-05-11",6.92
"112","2017-05-12",6.991
"113","2017-05-15",7.175
"114","2017-05-16",7.243
"115","2017-05-17",7.534
"116","2017-05-18",7.511
"117","2017-05-19",7.474
"118","2017-05-22",7.6
"119","2017-05-23",7.381
"120","2017-05-24",7.607
"121","2017-05-25",7.585
"122","2017-05-26",7.739
"123","2017-05-30",7.675
"124","2017-05-31",7.73
"125","2017-06-01",7.53
"126","2017-06-02",7.625
"127","2017-06-05",7.699
"128","2017-06-06",8.146
"129","2017-06-07",8.245
"130","2017-06-08",8.11
"131","2017-06-09",7.849
"132","2017-06-12",8.241
"133","2017-06-13",8.519
"134","2017-06-14",7.873
"135","2017-06-15",7.876
"136","2017-06-16",7.921
"137","2017-06-19",8.079
"138","2017-06-20",8.133
"139","2017-06-21",8.28
"140","2017-06-22",8.55
"141","2017-06-23",8.66
"142","2017-06-26",8.899
"143","2017-06-27",9.038
"144","2017-06-28",9.347
"145","2017-06-29",9.31
"146","2017-06-30",9.46
"147","2017-07-03",9.305
"148","2017-07-05",9.19
"149","2017-07-06",9.139
"150","2017-07-07",8.819
"151","2017-07-10",9.21
"152","2017-07-11",9.23
"153","2017-07-12",9.554
"154","2017-07-13",9.21
"155","2017-07-14",9.25
"156","2017-07-17",9.296
"157","2017-07-18",9.45
"158","2017-07-19",9.393
"159","2017-07-20",9.42
"160","2017-07-21",9.597
"161","2017-07-24",9.427
"162","2017-07-25",9.26
"163","2017-07-26",9.44
"164","2017-07-27",9.93
"165","2017-07-28",10.6
"166","2017-07-31",10.37
"167","2017-08-01",10.198
"168","2017-08-02",10.33
"169","2017-08-03",10.529
"170","2017-08-04",10.081
"171","2017-08-07",9.96
"172","2017-08-08",10.309
"173","2017-08-09",10.273
"174","2017-08-10",10.411
"175","2017-08-11",10.45
"176","2017-08-14",10.47
"177","2017-08-15",10.586
"178","2017-08-16",11.4
"179","2017-08-17",11.43
"180","2017-08-18",11.7
"181","2017-08-21",11.83
"182","2017-08-22",11.83
"183","2017-08-23",11.84
"184","2017-08-24",11.87
"185","2017-08-25",12.199
"186","2017-08-28",12.35
"187","2017-08-29",12.55
"188","2017-08-30",12.48
"189","2017-08-31",13.06
"190","2017-09-01",13.29
"191","2017-09-05",13.59
"192","2017-09-06",13.25
"193","2017-09-07",13.09
"194","2017-09-08",12.89
"195","2017-09-11",12.82
"196","2017-09-12",13.07
"197","2017-09-13",12.85
"198","2017-09-14",13.15
"199","2017-09-15",13.15
"200","2017-09-18",12.8
"201","2017-09-19",13.02
"202","2017-09-20",13
"203","2017-09-21",13.06
"204","2017-09-22",13.16
"205","2017-09-25",13.15
"206","2017-09-26",12.86
"207","2017-09-27",12.7
"208","2017-09-28",13.01
"209","2017-09-29",12.92
"210","2017-10-02",13.08
"211","2017-10-03",13.46
"212","2017-10-04",13.54
"213","2017-10-05",13.16
"214","2017-10-06",13.94
"215","2017-10-09",14.72
"216","2017-10-10",14.68
"217","2017-10-11",14.89
"218","2017-10-12",13.52
"219","2017-10-13",13.19
"220","2017-10-16",13.11
"221","2017-10-17",13.32
"222","2017-10-18",13.34
"223","2017-10-19",13.42
"224","2017-10-20",13
"225","2017-10-23",12.84
"226","2017-10-24",12
"227","2017-10-25",11.72
"228","2017-10-26",11.68
"229","2017-10-27",11.91
"230","2017-10-30",11.91
"231","2017-10-31",11.77
"232","2017-11-01",12.4
"233","2017-11-02",13.27
"234","2017-11-03",13.16
"235","2017-11-06",13.64
"236","2017-11-07",14.56
"237","2017-11-08",14.69
"238","2017-11-09",14.51
"239","2017-11-10",14.4
"240","2017-11-13",14.27
"241","2017-11-14",14.13
"242","2017-11-15",13.96
"243","2017-11-16",14.03
"244","2017-11-17",14.12
"245","2017-11-20",13.95
"246","2017-11-21",13.89
"247","2017-11-22",13.74
"248","2017-11-24",13.96
"249","2017-11-27",14.75
"250","2017-11-28",14.66
"251","2017-11-29",14.22
"252","2017-11-30",14.3
"253","2017-12-01",14.44
"254","2017-12-04",14.21
"255","2017-12-05",14.07
"256","2017-12-06",13.62
"257","2017-12-07",13.65
"258","2017-12-08",13.92
"259","2017-12-11",13.27
"260","2017-12-12",13.66
"261","2017-12-13",14.21
"262","2017-12-14",13.75
"263","2017-12-15",13.27
"264","2017-12-18",13.47
"265","2017-12-19",14.3
"266","2017-12-20",14.58
"267","2017-12-21",14.67
"268","2017-12-22",14.73
