"","date","IIN"
"1","2007-01-03",4.99
"2","2007-01-04",4.96
"3","2007-01-05",4.96
"4","2007-01-08",5
"5","2007-01-09",4.87
"6","2007-01-10",4.98
"7","2007-01-11",5.01
"8","2007-01-12",4.98
"9","2007-01-16",4.85
"10","2007-01-17",4.86
"11","2007-01-18",4.99
"12","2007-01-19",5.18
"13","2007-01-22",5.2
"14","2007-01-23",5.25
"15","2007-01-24",5.29
"16","2007-01-25",5
"17","2007-01-26",5.04
"18","2007-01-29",5.04
"19","2007-01-30",5.04
"20","2007-01-31",5.01
"21","2007-02-01",5.1
"22","2007-02-02",4.99
"23","2007-02-05",5.09
"24","2007-02-06",5.07
"25","2007-02-07",5.16
"26","2007-02-08",5.2
"27","2007-02-09",5.4
"28","2007-02-12",5.42
"29","2007-02-13",6
"30","2007-02-14",6.01
"31","2007-02-15",5.92
"32","2007-02-16",6.09
"33","2007-02-20",5.84
"34","2007-02-21",6.05
"35","2007-02-22",6.25
"36","2007-02-23",6.33
"37","2007-02-26",6.05
"38","2007-02-27",5.85
"39","2007-02-28",5.79
"40","2007-03-01",5.81
"41","2007-03-02",5.81
"42","2007-03-05",5.79
"43","2007-03-06",5.84
"44","2007-03-07",5.9
"45","2007-03-08",5.92
"46","2007-03-09",5.95
"47","2007-03-12",5.95
"48","2007-03-13",5.89
"49","2007-03-14",5.77
"50","2007-03-15",5.94
"51","2007-03-16",5.99
"52","2007-03-19",5.94
"53","2007-03-20",5.91
"54","2007-03-21",5.8
"55","2007-03-22",5.82
"56","2007-03-23",5.93
"57","2007-03-26",5.89
"58","2007-03-27",5.88
"59","2007-03-28",5.81
"60","2007-03-29",5.86
"61","2007-03-30",5.9
"62","2007-04-02",5.94
"63","2007-04-03",5.99
"64","2007-04-04",6.05
"65","2007-04-05",5.96
"66","2007-04-09",5.86
"67","2007-04-10",6.05
"68","2007-04-11",6
"69","2007-04-12",6.1
"70","2007-04-13",6.13
"71","2007-04-16",6.12
"72","2007-04-17",6.18
"73","2007-04-18",6.25
"74","2007-04-19",6.29
"75","2007-04-20",6.33
"76","2007-04-23",6.34
"77","2007-04-24",6.6
"78","2007-04-25",6.59
"79","2007-04-26",6.85
"80","2007-04-27",7
"81","2007-04-30",6.9
"82","2007-05-01",6.65
"83","2007-05-02",6.85
"84","2007-05-03",6.94
"85","2007-05-04",7
"86","2007-05-07",7
"87","2007-05-08",7
"88","2007-05-09",7.12
"89","2007-05-10",7.15
"90","2007-05-11",7.15
"91","2007-05-14",7.16
"92","2007-05-15",6.95
"93","2007-05-16",7.09
"94","2007-05-17",6.95
"95","2007-05-18",7
"96","2007-05-21",6.9
"97","2007-05-22",6.9
"98","2007-05-23",7
"99","2007-05-24",6.88
"100","2007-05-25",6.99
