"","date","VIPS"
"1","2012-03-23",0.55
"2","2012-03-26",0.47
"3","2012-03-27",0.46
"4","2012-03-28",0.45
"5","2012-03-29",0.435
"6","2012-03-30",0.439
"7","2012-04-02",0.438
"8","2012-04-03",0.426
"9","2012-04-04",0.43
"10","2012-04-05",0.435
"11","2012-04-09",0.438
"12","2012-04-10",0.452
"13","2012-04-11",0.465
"14","2012-04-12",0.465
"15","2012-04-13",0.482
"16","2012-04-16",0.501
"17","2012-04-17",0.544
"18","2012-04-18",0.59
"19","2012-04-19",0.595
"20","2012-04-20",0.596
"21","2012-04-23",0.6
"22","2012-04-24",0.602
"23","2012-04-25",0.525
"24","2012-04-26",0.531
"25","2012-04-27",0.53
"26","2012-04-30",0.54
"27","2012-05-01",0.546
"28","2012-05-02",0.569
"29","2012-05-03",0.556
"30","2012-05-04",0.549
"31","2012-05-07",0.538
"32","2012-05-08",0.53
"33","2012-05-09",0.537
"34","2012-05-10",0.517
"35","2012-05-11",0.54
"36","2012-05-14",0.565
"37","2012-05-15",0.529
"38","2012-05-16",0.505
"39","2012-05-17",0.511
"40","2012-05-18",0.515
"41","2012-05-21",0.503
"42","2012-05-22",0.486
"43","2012-05-23",0.469
"44","2012-05-24",0.48
"45","2012-05-25",0.5
"46","2012-05-29",0.506
"47","2012-05-30",0.529
"48","2012-05-31",0.55
"49","2012-06-01",0.551
"50","2012-06-04",0.55
"51","2012-06-05",0.562
"52","2012-06-06",0.588
"53","2012-06-07",0.569
"54","2012-06-08",0.573
"55","2012-06-11",0.583
"56","2012-06-12",0.59
"57","2012-06-13",0.574
"58","2012-06-14",0.576
"59","2012-06-15",0.589
"60","2012-06-18",0.6
"61","2012-06-19",0.614
"62","2012-06-20",0.61
"63","2012-06-21",0.61
"64","2012-06-22",0.61
"65","2012-06-25",0.611
"66","2012-06-26",0.615
"67","2012-06-27",0.61
"68","2012-06-28",0.61
"69","2012-06-29",0.61
"70","2012-07-02",0.61
"71","2012-07-03",0.609
"72","2012-07-05",0.619
"73","2012-07-06",0.612
"74","2012-07-09",0.611
"75","2012-07-10",0.597
"76","2012-07-11",0.6
"77","2012-07-12",0.6
"78","2012-07-13",0.595
"79","2012-07-16",0.594
"80","2012-07-17",0.594
"81","2012-07-18",0.584
"82","2012-07-19",0.554
"83","2012-07-20",0.555
"84","2012-07-23",0.538
"85","2012-07-24",0.515
"86","2012-07-25",0.525
"87","2012-07-26",0.538
"88","2012-07-27",0.57
"89","2012-07-30",0.557
"90","2012-07-31",0.556
"91","2012-08-01",0.552
"92","2012-08-02",0.551
"93","2012-08-03",0.555
"94","2012-08-06",0.547
"95","2012-08-07",0.544
"96","2012-08-08",0.552
"97","2012-08-09",0.546
"98","2012-08-10",0.535
"99","2012-08-13",0.545
"100","2012-08-14",0.545
"101","2012-08-15",0.544
"102","2012-08-16",0.54
"103","2012-08-17",0.539
"104","2012-08-20",0.523
"105","2012-08-21",0.515
"106","2012-08-22",0.48
"107","2012-08-23",0.5
"108","2012-08-24",0.5
"109","2012-08-27",0.505
"110","2012-08-28",0.529
"111","2012-08-29",0.577
"112","2012-08-30",0.594
"113","2012-08-31",0.6
"114","2012-09-04",0.6
"115","2012-09-05",0.614
"116","2012-09-06",0.619
"117","2012-09-07",0.614
"118","2012-09-10",0.614
"119","2012-09-11",0.619
"120","2012-09-12",0.615
"121","2012-09-13",0.615
"122","2012-09-14",0.616
"123","2012-09-17",0.609
"124","2012-09-18",0.614
"125","2012-09-19",0.649
"126","2012-09-20",0.645
"127","2012-09-21",0.65
"128","2012-09-24",0.666
"129","2012-09-25",0.69
"130","2012-09-26",0.75
"131","2012-09-27",0.745
"132","2012-09-28",0.75
"133","2012-10-01",0.739
"134","2012-10-02",0.736
"135","2012-10-03",0.745
"136","2012-10-04",0.748
"137","2012-10-05",0.741
"138","2012-10-08",0.746
"139","2012-10-09",0.779
"140","2012-10-10",0.8
"141","2012-10-11",0.832
"142","2012-10-12",0.836
"143","2012-10-15",0.871
"144","2012-10-16",0.9
"145","2012-10-17",0.943
"146","2012-10-18",0.98
"147","2012-10-19",0.995
"148","2012-10-22",1.05
"149","2012-10-23",1.048
"150","2012-10-24",1.029
"151","2012-10-25",1.036
"152","2012-10-26",1
"153","2012-10-31",1.003
"154","2012-11-01",1.025
"155","2012-11-02",1.025
"156","2012-11-05",1.013
"157","2012-11-06",1.025
"158","2012-11-07",1.097
"159","2012-11-08",1.155
"160","2012-11-09",1.157
"161","2012-11-12",1.115
"162","2012-11-13",1.133
"163","2012-11-14",1.245
"164","2012-11-15",1.198
"165","2012-11-16",1.141
"166","2012-11-19",1.206
"167","2012-11-20",1.246
"168","2012-11-21",1.246
"169","2012-11-23",1.236
"170","2012-11-26",1.297
"171","2012-11-27",1.311
"172","2012-11-28",1.36
"173","2012-11-29",1.376
"174","2012-11-30",1.374
"175","2012-12-03",1.391
"176","2012-12-04",1.293
"177","2012-12-05",1.251
"178","2012-12-06",1.217
"179","2012-12-07",1.219
"180","2012-12-10",1.233
"181","2012-12-11",1.246
"182","2012-12-12",1.235
"183","2012-12-13",1.339
"184","2012-12-14",1.456
"185","2012-12-17",1.442
"186","2012-12-18",1.455
"187","2012-12-19",1.568
"188","2012-12-20",1.58
"189","2012-12-21",1.603
"190","2012-12-24",1.79
"191","2012-12-26",1.785
"192","2012-12-27",1.69
"193","2012-12-28",1.779
"194","2012-12-31",1.784
"195","2013-01-02",1.652
"196","2013-01-03",1.737
"197","2013-01-04",1.66
"198","2013-01-07",1.8
"199","2013-01-08",1.803
"200","2013-01-09",1.971
"201","2013-01-10",2.055
"202","2013-01-11",2.019
"203","2013-01-14",1.981
"204","2013-01-15",1.997
"205","2013-01-16",1.972
"206","2013-01-17",2.001
"207","2013-01-18",1.988
"208","2013-01-22",1.993
