"","date","TR"
"1","2007-01-03",25.054163
"2","2007-01-04",25.023506
"3","2007-01-05",24.686283
"4","2007-01-08",24.563656
"5","2007-01-09",24.578985
"6","2007-01-10",24.395044
"7","2007-01-11",24.601976
"8","2007-01-12",24.71694
"9","2007-01-16",24.532999
"10","2007-01-17",24.395044
"11","2007-01-18",24.303074
"12","2007-01-19",24.29541
"13","2007-01-22",24.272417
"14","2007-01-23",24.387381
"15","2007-01-24",24.479351
"16","2007-01-25",23.988844
"17","2007-01-26",23.965851
"18","2007-01-29",24.318403
"19","2007-01-30",24.66329
"20","2007-01-31",24.31074
"21","2007-02-01",24.71694
"22","2007-02-02",24.563656
"23","2007-02-05",24.341396
"24","2007-02-06",24.601976
"25","2007-02-07",24.686283
"26","2007-02-08",24.57132
"27","2007-02-09",24.387381
"28","2007-02-12",24.601976
"29","2007-02-13",24.71694
"30","2007-02-14",24.441031
"31","2007-02-15",23.896873
"32","2007-02-16",23.682278
"33","2007-02-20",23.843225
"34","2007-02-21",23.751255
"35","2007-02-22",23.628628
"36","2007-02-23",23.574978
"37","2007-02-26",23.712934
"38","2007-02-27",23.222427
"39","2007-02-28",23.161114
"40","2007-03-01",23.368046
"41","2007-03-02",23.084473
"42","2007-03-05",22.78557
"43","2007-03-06",23.199434
"44","2007-03-07",22.774456
"45","2007-03-08",22.711304
"46","2007-03-09",22.853397
"47","2007-03-12",22.869186
"48","2007-03-13",22.253447
"49","2007-03-14",22.474482
"50","2007-03-15",22.671833
"51","2007-03-16",22.766562
"52","2007-03-19",22.924444
"53","2007-03-20",23.082327
"54","2007-03-21",23.445454
"55","2007-03-22",23.540184
"56","2007-03-23",23.453348
"57","2007-03-26",23.461243
"58","2007-03-27",23.405983
"59","2007-03-28",23.30336
"60","2007-03-29",23.484924
"61","2007-03-30",23.658594
"62","2007-04-02",23.761217
"63","2007-04-03",24.037512
"64","2007-04-04",23.911205
"65","2007-04-05",23.9191
"66","2007-04-09",23.753325
"67","2007-04-10",23.871735
"68","2007-04-11",23.627018
"69","2007-04-12",23.769112
"70","2007-04-13",23.792795
"71","2007-04-16",24.076982
"72","2007-04-17",23.950676
"73","2007-04-18",23.74543
"74","2007-04-19",23.53229
"75","2007-04-20",24.037512
"76","2007-04-23",23.840158
"77","2007-04-24",23.658594
