"","date","STSA"
"1","2019-09-13",16.9
"2","2019-09-16",15.78
"3","2019-09-17",16.5
"4","2019-09-18",15.53
"5","2019-09-19",15.57
"6","2019-09-20",15.75
"7","2019-09-23",14.98
"8","2019-09-24",15.06
"9","2019-09-25",15.07
"10","2019-09-26",15
"11","2019-09-27",15
"12","2019-09-30",15.01
"13","2019-10-01",14.52
"14","2019-10-02",11.33
"15","2019-10-03",11.79
"16","2019-10-04",11.25
"17","2019-10-07",10.7
"18","2019-10-08",10.015
"19","2019-10-09",9.36
"20","2019-10-10",10.3
"21","2019-10-11",9.73
"22","2019-10-14",9.38
"23","2019-10-15",9.32
"24","2019-10-16",9.53
"25","2019-10-17",9.83
"26","2019-10-18",10.34
"27","2019-10-21",12.02
"28","2019-10-22",11.45
"29","2019-10-23",11.13
"30","2019-10-24",10.69
"31","2019-10-25",11.14
"32","2019-10-28",11.59
"33","2019-10-29",11.3
"34","2019-10-30",11.43
"35","2019-10-31",11.78
"36","2019-11-01",11.95
"37","2019-11-04",13.14
"38","2019-11-05",14.8
"39","2019-11-06",15.46
"40","2019-11-07",17.5
"41","2019-11-08",17.629999
"42","2019-11-11",16.639999
"43","2019-11-12",16.5
"44","2019-11-13",18.01
"45","2019-11-14",17.940001
"46","2019-11-15",18.25
"47","2019-11-18",18.18
"48","2019-11-19",18.15
"49","2019-11-20",18.25
"50","2019-11-21",17.290001
"51","2019-11-22",15.4
"52","2019-11-25",15.09
"53","2019-11-26",15.5
"54","2019-11-27",15.76
"55","2019-11-29",15.79
"56","2019-12-02",14.35
"57","2019-12-03",13.33
"58","2019-12-04",14.13
"59","2019-12-05",15.11
"60","2019-12-06",13.92
"61","2019-12-09",13.48
"62","2019-12-10",12.23
"63","2019-12-11",11.62
"64","2019-12-12",11.85
"65","2019-12-13",13.93
"66","2019-12-16",13.24
"67","2019-12-17",15.82
"68","2019-12-18",17.75
"69","2019-12-19",18.5
"70","2019-12-20",18.309999
"71","2019-12-23",18.049999
"72","2019-12-24",18.940001
"73","2019-12-26",19.450001
"74","2019-12-27",19.110001
"75","2019-12-30",19.5
"76","2019-12-31",19.68
"77","2020-01-02",19.65
"78","2020-01-03",18.85
"79","2020-01-06",18.5
"80","2020-01-07",18.68
"81","2020-01-08",18.690001
"82","2020-01-09",18.75
"83","2020-01-10",17.879999
"84","2020-01-13",17.98
"85","2020-01-14",17.01
