"","date","HTH"
"1","2007-01-03",11.65
"2","2007-01-04",11.47
"3","2007-01-05",10.93
"4","2007-01-08",10.75
"5","2007-01-09",10.76
"6","2007-01-10",10.61
"7","2007-01-11",10.67
"8","2007-01-12",10.73
"9","2007-01-16",10.71
"10","2007-01-17",10.85
"11","2007-01-18",10.86
"12","2007-01-19",10.96
"13","2007-01-22",10.8
"14","2007-01-23",10.98
"15","2007-01-24",11.15
"16","2007-01-25",11.03
"17","2007-01-26",11.21
"18","2007-01-29",10.99
"19","2007-01-30",10.99
"20","2007-01-31",10.96
"21","2007-02-01",11.39
"22","2007-02-02",11.32
"23","2007-02-05",11.4
"24","2007-02-06",11.55
"25","2007-02-07",11.75
"26","2007-02-08",11.63
"27","2007-02-09",11.41
"28","2007-02-12",11.4
"29","2007-02-13",11.57
"30","2007-02-14",11.71
"31","2007-02-15",11.7
"32","2007-02-16",11.91
"33","2007-02-20",12.12
"34","2007-02-21",12.26
"35","2007-02-22",12.02
"36","2007-02-23",11.98
"37","2007-02-26",12.04
"38","2007-02-27",11.79
"39","2007-02-28",11.85
"40","2007-03-01",11.84
"41","2007-03-02",11.26
"42","2007-03-05",11
"43","2007-03-06",11.4
"44","2007-03-07",11.3
"45","2007-03-08",11.28
"46","2007-03-09",11.35
"47","2007-03-12",11.42
"48","2007-03-13",11.01
"49","2007-03-14",11.55
"50","2007-03-15",11.67
"51","2007-03-16",12.01
"52","2007-03-19",12.14
"53","2007-03-20",12.47
"54","2007-03-21",12.8
"55","2007-03-22",12.88
"56","2007-03-23",12.94
"57","2007-03-26",12.59
"58","2007-03-27",12.4
"59","2007-03-28",12.45
"60","2007-03-29",12.26
"61","2007-03-30",12.13
"62","2007-04-02",12.08
"63","2007-04-03",12.09
"64","2007-04-04",12.02
"65","2007-04-05",12.04
"66","2007-04-09",12.45
"67","2007-04-10",12.84
"68","2007-04-11",12.7
"69","2007-04-12",12.72
"70","2007-04-13",12.37
"71","2007-04-16",12.4
"72","2007-04-17",11.75
"73","2007-04-18",11.51
"74","2007-04-19",11.43
"75","2007-04-20",11.62
