"","date","BWB"
"1","2018-03-14",12.62
"2","2018-03-15",13.02
"3","2018-03-16",12.86
"4","2018-03-19",12.75
"5","2018-03-20",12.79
"6","2018-03-21",12.99
"7","2018-03-22",12.77
"8","2018-03-23",12.86
"9","2018-03-26",12.97
"10","2018-03-27",13.02
"11","2018-03-28",12.92
"12","2018-03-29",13.07
"13","2018-04-02",12.96
"14","2018-04-03",13.11
"15","2018-04-04",12.95
"16","2018-04-05",12.96
"17","2018-04-06",12.95
"18","2018-04-09",12.99
"19","2018-04-10",13.46
"20","2018-04-11",13.47
"21","2018-04-12",13.43
"22","2018-04-13",13.28
"23","2018-04-16",13.46
"24","2018-04-17",13.25
"25","2018-04-18",13.37
"26","2018-04-19",13.3
"27","2018-04-20",13.25
"28","2018-04-23",13.2
"29","2018-04-24",12.98
"30","2018-04-25",12.98
"31","2018-04-26",12.83
"32","2018-04-27",12.98
"33","2018-04-30",13.01
"34","2018-05-01",13.16
"35","2018-05-02",13.03
"36","2018-05-03",13.11
"37","2018-05-04",13.47
"38","2018-05-07",13.22
"39","2018-05-08",12.98
"40","2018-05-09",12.97
"41","2018-05-10",13.17
"42","2018-05-11",12.99
"43","2018-05-14",12.94
"44","2018-05-15",13
"45","2018-05-16",13.02
"46","2018-05-17",13
"47","2018-05-18",13
"48","2018-05-21",12.94
"49","2018-05-22",13
"50","2018-05-23",13
"51","2018-05-24",12.96
"52","2018-05-25",12.91
"53","2018-05-29",12.68
"54","2018-05-30",12.7
"55","2018-05-31",12.86
"56","2018-06-01",12.7
"57","2018-06-04",13.04
"58","2018-06-05",13.02
"59","2018-06-06",12.97
"60","2018-06-07",12.84
"61","2018-06-08",12.76
"62","2018-06-11",12.86
"63","2018-06-12",12.79
"64","2018-06-13",13.03
"65","2018-06-14",12.86
"66","2018-06-15",12.8
"67","2018-06-18",12.79
"68","2018-06-19",12.87
"69","2018-06-20",13.04
"70","2018-06-21",12.97
"71","2018-06-22",12.86
"72","2018-06-25",12.81
"73","2018-06-26",12.83
"74","2018-06-27",12.72
"75","2018-06-28",12.73
"76","2018-06-29",12.72
"77","2018-07-02",12.85
"78","2018-07-03",12.82
"79","2018-07-05",12.84
"80","2018-07-06",12.94
"81","2018-07-09",12.98
"82","2018-07-10",12.85
"83","2018-07-11",12.7
"84","2018-07-12",12.9
"85","2018-07-13",12.84
"86","2018-07-16",12.91
"87","2018-07-17",12.88
"88","2018-07-18",12.91
"89","2018-07-19",12.99
"90","2018-07-20",12.98
"91","2018-07-23",12.79
"92","2018-07-24",12.62
"93","2018-07-25",12.72
"94","2018-07-26",12.86
"95","2018-07-27",12.95
"96","2018-07-30",12.9
"97","2018-07-31",12.75
"98","2018-08-01",12.63
"99","2018-08-02",12.66
"100","2018-08-03",12.54
"101","2018-08-06",12.52
"102","2018-08-07",12.57
"103","2018-08-08",12.58
"104","2018-08-09",12.55
"105","2018-08-10",12.55
"106","2018-08-13",12.51
"107","2018-08-14",12.46
"108","2018-08-15",12.4
"109","2018-08-16",12.41
"110","2018-08-17",12.36
"111","2018-08-20",12.33
"112","2018-08-21",12.63
"113","2018-08-22",12.7
"114","2018-08-23",12.77
"115","2018-08-24",12.76
"116","2018-08-27",12.85
"117","2018-08-28",12.75
"118","2018-08-29",12.8
"119","2018-08-30",12.81
"120","2018-08-31",12.86
"121","2018-09-04",12.95
"122","2018-09-05",13.03
"123","2018-09-06",13.15
"124","2018-09-07",13.27
"125","2018-09-10",13.05
"126","2018-09-11",12.93
"127","2018-09-12",12.89
"128","2018-09-13",12.77
"129","2018-09-14",12.85
"130","2018-09-17",12.74
"131","2018-09-18",12.7
"132","2018-09-19",13.04
"133","2018-09-20",13.35
"134","2018-09-21",13.35
"135","2018-09-24",13.33
"136","2018-09-25",13.24
"137","2018-09-26",13.15
"138","2018-09-27",13.07
"139","2018-09-28",13.02
"140","2018-10-01",12.94
"141","2018-10-02",12.88
"142","2018-10-03",13
"143","2018-10-04",12.98
"144","2018-10-05",12.98
"145","2018-10-08",12.99
"146","2018-10-09",12.66
"147","2018-10-10",12.69
"148","2018-10-11",12.6
"149","2018-10-12",12.54
"150","2018-10-15",12.56
"151","2018-10-16",12.89
"152","2018-10-17",12.73
"153","2018-10-18",12.65
"154","2018-10-19",12.45
"155","2018-10-22",12.17
"156","2018-10-23",12.18
"157","2018-10-24",11.87
"158","2018-10-25",11.06
"159","2018-10-26",10.9
"160","2018-10-29",10.86
"161","2018-10-30",11
"162","2018-10-31",11.1
"163","2018-11-01",11.59
"164","2018-11-02",11.3
"165","2018-11-05",11.27
"166","2018-11-06",11.31
"167","2018-11-07",11.26
"168","2018-11-08",11.16
"169","2018-11-09",11.56
"170","2018-11-12",11.55
"171","2018-11-13",11.56
"172","2018-11-14",11.27
"173","2018-11-15",11.35
"174","2018-11-16",11.32
"175","2018-11-19",11.15
"176","2018-11-20",11.09
"177","2018-11-21",11.03
"178","2018-11-23",11.13
"179","2018-11-26",11.84
"180","2018-11-27",11.98
"181","2018-11-28",12.23
"182","2018-11-29",12.06
"183","2018-11-30",12.09
"184","2018-12-03",11.96
"185","2018-12-04",11.56
"186","2018-12-06",11.12
"187","2018-12-07",11.33
"188","2018-12-10",11.35
"189","2018-12-11",11.1
"190","2018-12-12",11.39
"191","2018-12-13",11.29
"192","2018-12-14",10.98
"193","2018-12-17",10.5
"194","2018-12-18",10.06
"195","2018-12-19",10.13
"196","2018-12-20",10.08
"197","2018-12-21",10.34
"198","2018-12-24",10.11
"199","2018-12-26",10.06
"200","2018-12-27",9.84
"201","2018-12-28",10.22
"202","2018-12-31",10.55
"203","2019-01-02",10.49
"204","2019-01-03",10.47
"205","2019-01-04",10.74
"206","2019-01-07",10.51
"207","2019-01-08",10.61
"208","2019-01-09",10.57
"209","2019-01-10",10.64
"210","2019-01-11",10.5
"211","2019-01-14",10.07
"212","2019-01-15",10.45
"213","2019-01-16",10.66
"214","2019-01-17",10.77
"215","2019-01-18",10.85
"216","2019-01-22",10.58
"217","2019-01-23",10.45
"218","2019-01-24",10.85
"219","2019-01-25",11.15
"220","2019-01-28",11.38
"221","2019-01-29",11.09
"222","2019-01-30",11.25
"223","2019-01-31",11.15
"224","2019-02-01",11.29
"225","2019-02-04",11.28
"226","2019-02-05",11.41
"227","2019-02-06",11.28
"228","2019-02-07",11.22
"229","2019-02-08",11.3
"230","2019-02-11",11.35
"231","2019-02-12",11.45
"232","2019-02-13",11.44
"233","2019-02-14",11.4
"234","2019-02-15",11.33
"235","2019-02-19",11.43
"236","2019-02-20",11.39
"237","2019-02-21",11.36
"238","2019-02-22",11.36
"239","2019-02-25",11.38
"240","2019-02-26",11.35
"241","2019-02-27",11.26
"242","2019-02-28",11.16
"243","2019-03-01",11.15
"244","2019-03-04",11.07
"245","2019-03-05",11.06
"246","2019-03-06",10.76
"247","2019-03-07",10.46
"248","2019-03-08",10.79
"249","2019-03-11",11.05
"250","2019-03-12",10.92
"251","2019-03-13",11.02
"252","2019-03-14",11.01
"253","2019-03-15",11.3
"254","2019-03-18",11.27
"255","2019-03-19",11.09
"256","2019-03-20",10.89
"257","2019-03-21",10.74
"258","2019-03-22",10.16
"259","2019-03-25",10.25
"260","2019-03-26",10.41
