"","date","COHR"
"1","2007-01-03",31.190001
"2","2007-01-04",31.17
"3","2007-01-05",30.469999
"4","2007-01-08",30.17
"5","2007-01-09",30.17
"6","2007-01-10",29.940001
"7","2007-01-11",29.98
"8","2007-01-12",30.02
"9","2007-01-16",30
"10","2007-01-17",30.08
"11","2007-01-18",30.049999
"12","2007-01-19",30.4
"13","2007-01-22",29.969999
"14","2007-01-23",30.01
"15","2007-01-24",30.67
"16","2007-01-25",30.559999
"17","2007-01-26",30.67
"18","2007-01-29",30.370001
"19","2007-01-30",30.799999
"20","2007-01-31",30.74
"21","2007-02-01",30.4
"22","2007-02-02",30.110001
"23","2007-02-05",30.07
"24","2007-02-06",29.700001
"25","2007-02-07",29.92
"26","2007-02-08",29.940001
"27","2007-02-09",30.049999
"28","2007-02-12",29.98
"29","2007-02-13",30.41
"30","2007-02-14",30.67
"31","2007-02-15",30.6
"32","2007-02-16",30.93
"33","2007-02-20",31.07
"34","2007-02-21",31.68
"35","2007-02-22",31.5
"36","2007-02-23",31.290001
"37","2007-02-26",31.24
"38","2007-02-27",30.33
"39","2007-02-28",30.059999
"40","2007-03-01",30.200001
"41","2007-03-02",29.440001
"42","2007-03-05",28.959999
"43","2007-03-06",29.51
"44","2007-03-07",29.33
"45","2007-03-08",28.91
"46","2007-03-09",29.5
"47","2007-03-12",30.049999
"48","2007-03-13",29.35
"49","2007-03-14",29.379999
"50","2007-03-15",29.700001
"51","2007-03-16",29.610001
"52","2007-03-19",29.85
"53","2007-03-20",30.360001
"54","2007-03-21",30.65
"55","2007-03-22",30.58
"56","2007-03-23",31
"57","2007-03-26",31.059999
"58","2007-03-27",31.030001
"59","2007-03-28",31.190001
"60","2007-03-29",31.530001
"61","2007-03-30",31.74
"62","2007-04-02",31.549999
"63","2007-04-03",31.719999
"64","2007-04-04",31.73
"65","2007-04-05",31.690001
"66","2007-04-09",31.530001
"67","2007-04-10",31.65
"68","2007-04-11",31.51
"69","2007-04-12",31.700001
"70","2007-04-13",31.9
"71","2007-04-16",32.43
"72","2007-04-17",32.259998
"73","2007-04-18",31.9
"74","2007-04-19",31.77
"75","2007-04-20",32.200001
"76","2007-04-23",31.82
"77","2007-04-24",31.85
"78","2007-04-25",32.040001
"79","2007-04-26",32.209999
"80","2007-04-27",31.700001
"81","2007-04-30",31.389999
"82","2007-05-01",31.379999
"83","2007-05-02",31.65
"84","2007-05-03",31.290001
"85","2007-05-04",31.58
"86","2007-05-07",31.370001
"87","2007-05-08",31.030001
"88","2007-05-09",31.129999
"89","2007-05-10",29.950001
"90","2007-05-11",30.43
"91","2007-05-14",29.75
"92","2007-05-15",29.32
"93","2007-05-16",29.58
"94","2007-05-17",29.299999
"95","2007-05-18",29.6
"96","2007-05-21",29.82
"97","2007-05-22",30.57
"98","2007-05-23",30.700001
"99","2007-05-24",30.4
"100","2007-05-25",30.27
"101","2007-05-29",30.870001
"102","2007-05-30",31.190001
"103","2007-05-31",31.02
