"","date","AMCIU"
"1","2018-11-16",10
"2","2018-11-19",10
"3","2018-11-20",10
"4","2018-11-21",10
"5","2018-11-23",10.01
"6","2018-11-26",9.99
"7","2018-11-27",9.99
"8","2018-11-28",9.99
"9","2018-11-29",10
"10","2018-11-30",10
"11","2018-12-03",10
"12","2018-12-04",10
"13","2018-12-06",10
"14","2018-12-07",9.99
"15","2018-12-10",9.99
"16","2018-12-11",9.98
"17","2018-12-12",9.98
"18","2018-12-13",10
"19","2018-12-14",10
"20","2018-12-17",9.95
"21","2018-12-18",9.95
"22","2018-12-19",9.95
"23","2018-12-20",9.96
"24","2018-12-21",9.95
"25","2018-12-24",9.95
"26","2018-12-26",9.95
"27","2018-12-27",9.95
"28","2018-12-28",9.95
"29","2018-12-31",9.95
"30","2019-01-02",9.95
"31","2019-01-03",9.95
"32","2019-01-04",9.95
"33","2019-01-07",9.94
"34","2019-01-08",9.94
"35","2019-01-09",9.94
"36","2019-01-10",9.91
"37","2019-01-11",9.95
"38","2019-01-14",9.94
"39","2019-01-15",9.94
"40","2019-01-16",9.94
"41","2019-01-17",9.94
"42","2019-01-18",9.98
"43","2019-01-22",10.01
"44","2019-01-23",10.01
"45","2019-01-24",10.01
"46","2019-01-25",10
"47","2019-01-28",10
"48","2019-01-29",10
"49","2019-01-30",10
"50","2019-01-31",10
"51","2019-02-01",10.01
"52","2019-02-04",10.01
"53","2019-02-05",10.01
"54","2019-02-06",10.05
"55","2019-02-07",10.04
"56","2019-02-08",10.04
"57","2019-02-11",10.04
"58","2019-02-12",10.04
"59","2019-02-13",10.04
"60","2019-02-14",10.04
"61","2019-02-15",10.04
"62","2019-02-19",10.04
"63","2019-02-20",10.03
"64","2019-02-21",10.03
"65","2019-02-22",10.02
"66","2019-02-25",10.02
"67","2019-02-26",10.05
"68","2019-02-27",10.05
"69","2019-02-28",10.05
"70","2019-03-01",10.08
"71","2019-03-04",10.08
"72","2019-03-05",10.08
"73","2019-03-06",10.08
"74","2019-03-07",10.03
"75","2019-03-08",10.03
"76","2019-03-11",10.03
"77","2019-03-12",10.06
"78","2019-03-13",10.06
"79","2019-03-14",10.07
"80","2019-03-15",10.08
"81","2019-03-18",10.05
"82","2019-03-19",10.08
"83","2019-03-20",10.08
"84","2019-03-21",10.07
"85","2019-03-22",10.15
"86","2019-03-25",10.15
"87","2019-03-26",10.13
"88","2019-03-27",10.13
"89","2019-03-28",10.12
"90","2019-03-29",10.12
"91","2019-04-01",10.12
"92","2019-04-02",10.12
"93","2019-04-03",10.12
"94","2019-04-04",10.14
"95","2019-04-05",10.14
"96","2019-04-08",10.13
"97","2019-04-09",10.13
"98","2019-04-10",10.13
"99","2019-04-11",10.14
"100","2019-04-12",10.15
"101","2019-04-15",10.15
"102","2019-04-16",10.15
"103","2019-04-17",10.15
"104","2019-04-18",10.18
"105","2019-04-22",10.19
"106","2019-04-23",10.19
"107","2019-04-24",10.19
"108","2019-04-25",10.19
"109","2019-04-26",10.2
"110","2019-04-29",10.19
"111","2019-04-30",10.19
