"","date","HCCI"
"1","2008-03-12",14.19
"2","2008-03-13",13.87
"3","2008-03-14",13.56
"4","2008-03-17",13
"5","2008-03-18",14.09
"6","2008-03-19",14.1
"7","2008-03-20",14.32
"8","2008-03-24",14.27
"9","2008-03-25",14.59
"10","2008-03-26",15.16
"11","2008-03-27",15.74
"12","2008-03-28",15.73
"13","2008-03-31",15.65
"14","2008-04-01",15.67
"15","2008-04-02",15.35
"16","2008-04-03",15.63
"17","2008-04-04",15.56
"18","2008-04-07",15.45
"19","2008-04-08",15.44
"20","2008-04-09",15.32
"21","2008-04-10",15.3
"22","2008-04-11",15.29
"23","2008-04-14",15.3
"24","2008-04-15",15.3
"25","2008-04-16",15.34
"26","2008-04-17",15.65
"27","2008-04-18",15.32
"28","2008-04-21",15.91
"29","2008-04-22",16.74
"30","2008-04-23",16.809999
"31","2008-04-24",18.049999
"32","2008-04-25",18.450001
"33","2008-04-28",17.700001
"34","2008-04-29",17.65
"35","2008-04-30",17.24
"36","2008-05-01",17.1
"37","2008-05-02",16.639999
"38","2008-05-05",16.26
"39","2008-05-06",16.530001
"40","2008-05-07",15.88
"41","2008-05-08",15.4
"42","2008-05-09",15.58
"43","2008-05-12",16.139999
"44","2008-05-13",15.27
"45","2008-05-14",14.5
"46","2008-05-15",14.13
"47","2008-05-16",14.5
"48","2008-05-19",14.35
"49","2008-05-20",14.16
"50","2008-05-21",14.35
"51","2008-05-22",14.02
"52","2008-05-23",13.75
"53","2008-05-27",13.99
"54","2008-05-28",14.35
"55","2008-05-29",14.25
"56","2008-05-30",15.44
"57","2008-06-02",15.23
"58","2008-06-03",15
"59","2008-06-04",14.9
"60","2008-06-05",14.86
"61","2008-06-06",14.24
"62","2008-06-09",14.09
"63","2008-06-10",13.92
"64","2008-06-11",13.46
"65","2008-06-12",13.45
"66","2008-06-13",13.13
"67","2008-06-16",12.34
"68","2008-06-17",12.41
"69","2008-06-18",12.26
"70","2008-06-19",12.96
"71","2008-06-20",12.65
"72","2008-06-23",12.6
"73","2008-06-24",12.59
"74","2008-06-25",12.62
"75","2008-06-26",12.91
"76","2008-06-27",12.88
"77","2008-06-30",13.2
"78","2008-07-01",13.52
"79","2008-07-02",13.86
"80","2008-07-03",13.07
"81","2008-07-07",12.03
"82","2008-07-08",12.05
"83","2008-07-09",12.05
"84","2008-07-10",12.98
"85","2008-07-11",12.63
"86","2008-07-14",12.74
"87","2008-07-15",12.5
"88","2008-07-16",13
"89","2008-07-17",12.54
"90","2008-07-18",12.64
"91","2008-07-21",12.7
"92","2008-07-22",12.84
"93","2008-07-23",12.8
"94","2008-07-24",13.11
"95","2008-07-25",13.45
"96","2008-07-28",14.92
"97","2008-07-29",14.21
"98","2008-07-30",14.2
"99","2008-07-31",14
"100","2008-08-01",14.1
"101","2008-08-04",14.18
"102","2008-08-05",14.2
"103","2008-08-06",13.95
"104","2008-08-07",13.88
"105","2008-08-08",13.98
"106","2008-08-11",13.88
"107","2008-08-12",13.88
"108","2008-08-13",14
"109","2008-08-14",14.35
"110","2008-08-15",14.4
"111","2008-08-18",14.24
"112","2008-08-19",13.6
"113","2008-08-20",13.6
"114","2008-08-21",14.47
"115","2008-08-22",13.75
"116","2008-08-25",13.76
"117","2008-08-26",13.5
"118","2008-08-27",13.5
"119","2008-08-28",13.5
"120","2008-08-29",14.47
"121","2008-09-02",14.24
"122","2008-09-03",14.21
"123","2008-09-04",14.25
"124","2008-09-05",14.01
"125","2008-09-08",14.33
"126","2008-09-09",13.71
"127","2008-09-10",14.1
"128","2008-09-11",13.51
"129","2008-09-12",13.51
"130","2008-09-15",13.54
"131","2008-09-16",13.69
"132","2008-09-17",13.51
"133","2008-09-18",14.7
"134","2008-09-19",13.5
"135","2008-09-22",13.63
"136","2008-09-23",13.5
"137","2008-09-24",13.99
"138","2008-09-25",14.22
"139","2008-09-26",14.22
"140","2008-09-29",13.8
"141","2008-09-30",13.65
"142","2008-10-01",13.65
"143","2008-10-02",13.64
"144","2008-10-03",13.52
"145","2008-10-06",13.15
"146","2008-10-07",12.51
"147","2008-10-08",11.5
"148","2008-10-09",11.05
"149","2008-10-10",10.75
"150","2008-10-13",12.08
"151","2008-10-14",12.07
"152","2008-10-15",12.02
"153","2008-10-16",10.55
"154","2008-10-17",10.32
"155","2008-10-20",10.51
"156","2008-10-21",10.86
"157","2008-10-22",10.34
"158","2008-10-23",10.3
"159","2008-10-24",9.88
"160","2008-10-27",9.95
"161","2008-10-28",9.81
"162","2008-10-29",10
"163","2008-10-30",10.52
"164","2008-10-31",10.18
"165","2008-11-03",10.43
"166","2008-11-04",11.04
"167","2008-11-05",11.77
"168","2008-11-06",11.84
"169","2008-11-07",12.29
"170","2008-11-10",12.5
"171","2008-11-11",11.9
"172","2008-11-12",11.8
"173","2008-11-13",13
"174","2008-11-14",13.17
"175","2008-11-17",12.99
"176","2008-11-18",12.99
"177","2008-11-19",12.16
"178","2008-11-20",10.64
"179","2008-11-21",10.5
"180","2008-11-24",11.88
"181","2008-11-25",10.5
"182","2008-11-26",10.56
"183","2008-11-28",10.56
"184","2008-12-01",10.5
"185","2008-12-02",10.56
"186","2008-12-03",10.5
"187","2008-12-04",10.5
"188","2008-12-05",10
"189","2008-12-08",9.43
"190","2008-12-09",9.2
"191","2008-12-10",9.2
"192","2008-12-11",9
"193","2008-12-12",9
"194","2008-12-15",9.51
"195","2008-12-16",9.9
"196","2008-12-17",9.95
"197","2008-12-18",9.89
"198","2008-12-19",9.82
"199","2008-12-22",9.8
"200","2008-12-23",9.59
"201","2008-12-24",10.01
"202","2008-12-26",10.34
"203","2008-12-29",10
"204","2008-12-30",10.1
"205","2008-12-31",11.6
"206","2009-01-02",11.6
"207","2009-01-05",13
"208","2009-01-06",13
"209","2009-01-07",12.76
"210","2009-01-08",12.01
"211","2009-01-09",12.01
"212","2009-01-12",11.75
"213","2009-01-13",11.19
"214","2009-01-14",11.91
"215","2009-01-15",11.99
"216","2009-01-16",11.99
"217","2009-01-20",12
"218","2009-01-21",11.75
"219","2009-01-22",11.06
"220","2009-01-23",10.47
"221","2009-01-26",10.46
"222","2009-01-27",10.51
"223","2009-01-28",10.61
"224","2009-01-29",11.41
"225","2009-01-30",11.41
"226","2009-02-02",11.41
"227","2009-02-03",11.97
"228","2009-02-04",11.41
"229","2009-02-05",11.25
"230","2009-02-06",11.25
"231","2009-02-09",10.25
"232","2009-02-10",10.26
"233","2009-02-11",9.86
"234","2009-02-12",9.5
"235","2009-02-13",10
"236","2009-02-17",10
"237","2009-02-18",10
"238","2009-02-19",9.99
"239","2009-02-20",9.75
"240","2009-02-23",9.75
"241","2009-02-24",9.75
"242","2009-02-25",9.75
"243","2009-02-26",9.85
"244","2009-02-27",9.99
"245","2009-03-02",9.29
"246","2009-03-03",9.37
"247","2009-03-04",9.25
"248","2009-03-05",9.5
"249","2009-03-06",8.84
"250","2009-03-09",8.73
"251","2009-03-10",8.51
"252","2009-03-11",8.51
"253","2009-03-12",8.22
"254","2009-03-13",8.22
"255","2009-03-16",8.22
"256","2009-03-17",7.5
"257","2009-03-18",7.33
"258","2009-03-19",7.2
"259","2009-03-20",6.9
"260","2009-03-23",7.1
"261","2009-03-24",7.1
