"","date","USCR"
"1","2010-10-15",9.4
"2","2010-10-18",8.75
"3","2010-10-19",8.25
"4","2010-10-20",7.1
"5","2010-10-21",7.35
"6","2010-10-22",7.85
"7","2010-10-25",8.5
"8","2010-10-26",8.65
"9","2010-10-27",8.54
"10","2010-10-28",8.5
"11","2010-10-29",8.33
"12","2010-11-01",8.2
"13","2010-11-02",8.4
"14","2010-11-03",8.43
"15","2010-11-04",8.5
"16","2010-11-05",8.37
"17","2010-11-08",8.25
"18","2010-11-09",8.15
"19","2010-11-10",8.4
"20","2010-11-11",8.26
"21","2010-11-12",8.26
"22","2010-11-15",8.4
"23","2010-11-16",8.25
"24","2010-11-17",8.2
"25","2010-11-18",8.1
"26","2010-11-19",7.88
"27","2010-11-22",8
"28","2010-11-23",7.46
"29","2010-11-24",7.75
"30","2010-11-26",7.25
"31","2010-11-29",7.18
"32","2010-11-30",6.76
"33","2010-12-01",6.95
"34","2010-12-02",7.35
"35","2010-12-03",7.35
"36","2010-12-06",7.45
"37","2010-12-07",7.96
"38","2010-12-08",8
"39","2010-12-09",8
"40","2010-12-10",8.04
"41","2010-12-13",8.07
"42","2010-12-14",7.99
"43","2010-12-15",7.99
"44","2010-12-16",7.9
"45","2010-12-17",7.79
"46","2010-12-20",7.75
"47","2010-12-21",7.75
"48","2010-12-22",7.75
"49","2010-12-23",7.7
"50","2010-12-27",7.68
"51","2010-12-28",7.81
"52","2010-12-29",7.75
"53","2010-12-30",7.67
"54","2010-12-31",7.66
"55","2011-01-03",7.95
"56","2011-01-04",7.98
"57","2011-01-05",7.98
"58","2011-01-06",7.9
"59","2011-01-07",7.9
"60","2011-01-10",7.85
"61","2011-01-11",8
"62","2011-01-12",8
"63","2011-01-13",8
"64","2011-01-14",8
"65","2011-01-18",7.9
"66","2011-01-19",7.9
"67","2011-01-20",7.9
"68","2011-01-21",7.9
"69","2011-01-24",8.12
"70","2011-01-25",8.36
"71","2011-01-26",8.5
"72","2011-01-27",8.26
"73","2011-01-28",8.75
"74","2011-01-31",8.75
"75","2011-02-01",9.48
"76","2011-02-02",8.93
"77","2011-02-03",8.81
"78","2011-02-04",8.98
"79","2011-02-07",9.43
"80","2011-02-08",9.47
"81","2011-02-09",9.4
"82","2011-02-10",9.54
"83","2011-02-11",9.65
"84","2011-02-14",10.46
"85","2011-02-15",10.02
"86","2011-02-16",11.03
"87","2011-02-17",10.74
"88","2011-02-18",9.64
"89","2011-02-22",9.6
"90","2011-02-23",9.64
"91","2011-02-24",9.82
"92","2011-02-25",9.93
"93","2011-02-28",10
"94","2011-03-01",10.57
"95","2011-03-02",10.29
"96","2011-03-03",10.07
"97","2011-03-04",9.86
"98","2011-03-07",9.93
"99","2011-03-08",9.86
"100","2011-03-09",9.93
"101","2011-03-10",9.75
"102","2011-03-11",9.68
"103","2011-03-14",9.75
"104","2011-03-15",9.75
"105","2011-03-16",10.08
"106","2011-03-17",10.14
"107","2011-03-18",9.5
"108","2011-03-21",9.7
"109","2011-03-22",9.75
"110","2011-03-23",9.65
"111","2011-03-24",9.7
"112","2011-03-25",9.56
"113","2011-03-28",9.58
"114","2011-03-29",9.61
"115","2011-03-30",9.52
"116","2011-03-31",9.51
"117","2011-04-01",9.78
"118","2011-04-04",9.02
"119","2011-04-05",9.53
"120","2011-04-06",9.25
"121","2011-04-07",9.3
"122","2011-04-08",9.25
"123","2011-04-11",9.45
