"","date","CMCM"
"1","2014-05-08",14.1
"2","2014-05-09",14.26
"3","2014-05-12",14.5
"4","2014-05-13",12.51
"5","2014-05-14",13.71
"6","2014-05-15",13.66
"7","2014-05-16",13.49
"8","2014-05-19",13
"9","2014-05-20",13.42
"10","2014-05-21",13.64
"11","2014-05-22",14.89
"12","2014-05-23",14.76
"13","2014-05-27",15.01
"14","2014-05-28",15.35
"15","2014-05-29",16.629999
"16","2014-05-30",17.77
"17","2014-06-02",17.299999
"18","2014-06-03",14.54
"19","2014-06-04",15.5
"20","2014-06-05",16.190001
"21","2014-06-06",19.75
"22","2014-06-09",19.23
"23","2014-06-10",20.52
"24","2014-06-11",20.629999
"25","2014-06-12",21.34
"26","2014-06-13",21.98
"27","2014-06-16",21.17
"28","2014-06-17",23.639999
"29","2014-06-18",24.530001
"30","2014-06-19",23.08
"31","2014-06-20",21.799999
"32","2014-06-23",23.27
"33","2014-06-24",21.75
"34","2014-06-25",21.92
"35","2014-06-26",22.18
"36","2014-06-27",21.24
"37","2014-06-30",21.24
"38","2014-07-01",21.280001
"39","2014-07-02",20.92
"40","2014-07-03",20.92
"41","2014-07-07",20.32
"42","2014-07-08",18.82
"43","2014-07-09",18.84
"44","2014-07-10",19.440001
"45","2014-07-11",21
"46","2014-07-14",20.209999
"47","2014-07-15",20.66
"48","2014-07-16",20.84
"49","2014-07-17",19.969999
"50","2014-07-18",19.42
"51","2014-07-21",19.17
"52","2014-07-22",19.99
"53","2014-07-23",20.200001
"54","2014-07-24",20.32
"55","2014-07-25",20.629999
"56","2014-07-28",19.610001
"57","2014-07-29",19.58
"58","2014-07-30",18.879999
"59","2014-07-31",19.15
"60","2014-08-01",20.66
"61","2014-08-04",20.5
"62","2014-08-05",20.139999
"63","2014-08-06",22.040001
"64","2014-08-07",24.84
"65","2014-08-08",24.02
"66","2014-08-11",26.75
"67","2014-08-12",26.879999
"68","2014-08-13",26.889999
"69","2014-08-14",26.01
"70","2014-08-15",28.389999
"71","2014-08-18",26.9
"72","2014-08-19",26.66
"73","2014-08-20",26.790001
"74","2014-08-21",26.1
"75","2014-08-22",27
"76","2014-08-25",27.07
"77","2014-08-26",29.389999
"78","2014-08-27",28.76
"79","2014-08-28",28
"80","2014-08-29",26.370001
"81","2014-09-02",27.9
"82","2014-09-03",26.559999
"83","2014-09-04",26.51
"84","2014-09-05",26.9
"85","2014-09-08",30.34
"86","2014-09-09",27.280001
"87","2014-09-10",26.809999
"88","2014-09-11",26.99
"89","2014-09-12",26.559999
"90","2014-09-15",24.1
"91","2014-09-16",24.23
"92","2014-09-17",24.75
"93","2014-09-18",24.42
"94","2014-09-19",24.59
"95","2014-09-22",23.4
"96","2014-09-23",20.23
"97","2014-09-24",21.700001
"98","2014-09-25",20.709999
"99","2014-09-26",20.030001
"100","2014-09-29",18.74
"101","2014-09-30",18.25
