"","date","HAIN"
"1","2007-01-03",15.105
"2","2007-01-04",15.2
"3","2007-01-05",14.905
"4","2007-01-08",14.895
"5","2007-01-09",14.765
"6","2007-01-10",14.975
"7","2007-01-11",15.12
"8","2007-01-12",15.255
"9","2007-01-16",15.07
"10","2007-01-17",14.735
"11","2007-01-18",14.325
"12","2007-01-19",14.7
"13","2007-01-22",14.47
"14","2007-01-23",14.395
"15","2007-01-24",14.675
"16","2007-01-25",14.4
"17","2007-01-26",14.4
"18","2007-01-29",14.585
"19","2007-01-30",14.96
"20","2007-01-31",14.7
"21","2007-02-01",14.88
"22","2007-02-02",14.995
"23","2007-02-05",14.865
"24","2007-02-06",15.02
"25","2007-02-07",15.015
"26","2007-02-08",14.86
"27","2007-02-09",14.69
"28","2007-02-12",14.75
"29","2007-02-13",14.885
"30","2007-02-14",14.905
"31","2007-02-15",14.84
"32","2007-02-16",14.875
"33","2007-02-20",14.87
"34","2007-02-21",14.825
"35","2007-02-22",14.725
"36","2007-02-23",14.62
"37","2007-02-26",14.805
"38","2007-02-27",14.415
"39","2007-02-28",14.505
"40","2007-03-01",14.5
"41","2007-03-02",14.27
"42","2007-03-05",14.125
"43","2007-03-06",14.365
"44","2007-03-07",14.415
"45","2007-03-08",14.47
"46","2007-03-09",14.52
"47","2007-03-12",14.685
"48","2007-03-13",14.49
"49","2007-03-14",14.56
"50","2007-03-15",14.72
"51","2007-03-16",14.695
"52","2007-03-19",14.63
"53","2007-03-20",14.785
"54","2007-03-21",15.2
"55","2007-03-22",15.145
"56","2007-03-23",15.23
"57","2007-03-26",15.115
"58","2007-03-27",14.945
"59","2007-03-28",14.915
"60","2007-03-29",14.96
"61","2007-03-30",15.035
"62","2007-04-02",15.04
"63","2007-04-03",15.375
"64","2007-04-04",15.27
"65","2007-04-05",15.275
"66","2007-04-09",15.105
"67","2007-04-10",15.26
"68","2007-04-11",15.155
"69","2007-04-12",15.235
"70","2007-04-13",15.1
"71","2007-04-16",15.355
"72","2007-04-17",15.415
"73","2007-04-18",15.22
"74","2007-04-19",15.12
"75","2007-04-20",15.38
"76","2007-04-23",15.485
"77","2007-04-24",15.355
"78","2007-04-25",15.425
"79","2007-04-26",15.43
"80","2007-04-27",15.37
"81","2007-04-30",15.015
"82","2007-05-01",15.225
"83","2007-05-02",15.515
"84","2007-05-03",15.3
"85","2007-05-04",15.5
"86","2007-05-07",15.75
"87","2007-05-08",15.605
"88","2007-05-09",15.545
"89","2007-05-10",15.11
"90","2007-05-11",14.95
"91","2007-05-14",14.64
"92","2007-05-15",14.535
"93","2007-05-16",14.74
"94","2007-05-17",14.52
"95","2007-05-18",14.875
"96","2007-05-21",14.68
"97","2007-05-22",14.665
"98","2007-05-23",14.495
"99","2007-05-24",14.155
"100","2007-05-25",14.255
"101","2007-05-29",14.345
"102","2007-05-30",14.275
"103","2007-05-31",14.3
"104","2007-06-01",14.55
"105","2007-06-04",14.415
"106","2007-06-05",14.305
"107","2007-06-06",14.295
"108","2007-06-07",14.31
"109","2007-06-08",14.39
"110","2007-06-11",14.53
"111","2007-06-12",14.315
"112","2007-06-13",14.475
"113","2007-06-14",14.735
"114","2007-06-15",14.385
"115","2007-06-18",14.605
"116","2007-06-19",14.275
"117","2007-06-20",14.26
"118","2007-06-21",14.385
"119","2007-06-22",14.215
"120","2007-06-25",14.16
"121","2007-06-26",13.665
"122","2007-06-27",13.65
"123","2007-06-28",13.75
"124","2007-06-29",13.57
"125","2007-07-02",13.72
"126","2007-07-03",13.605
"127","2007-07-05",13.615
"128","2007-07-06",13.52
"129","2007-07-09",13.23
"130","2007-07-10",13.21
"131","2007-07-11",13.265
"132","2007-07-12",13.87
"133","2007-07-13",14.005
"134","2007-07-16",13.9
"135","2007-07-17",14
"136","2007-07-18",13.925
"137","2007-07-19",13.92
"138","2007-07-20",13.865
"139","2007-07-23",13.99
"140","2007-07-24",13.85
"141","2007-07-25",14.345
"142","2007-07-26",13.845
"143","2007-07-27",13.605
"144","2007-07-30",13.575
"145","2007-07-31",13.545
"146","2007-08-01",13.575
"147","2007-08-02",13.79
"148","2007-08-03",13.705
"149","2007-08-06",13.88
"150","2007-08-07",14.205
"151","2007-08-08",14.725
"152","2007-08-09",15.17
"153","2007-08-10",14.97
"154","2007-08-13",15.04
"155","2007-08-14",14.425
"156","2007-08-15",14.44
"157","2007-08-16",14.86
"158","2007-08-17",15.065
"159","2007-08-20",14.715
"160","2007-08-21",14.795
"161","2007-08-22",14.68
"162","2007-08-23",14.48
"163","2007-08-24",14.97
"164","2007-08-27",14.775
"165","2007-08-28",14.475
"166","2007-08-29",14.515
"167","2007-08-30",14.84
"168","2007-08-31",14.63
"169","2007-09-04",14.805
"170","2007-09-05",14.72
"171","2007-09-06",14.87
"172","2007-09-07",14.65
"173","2007-09-10",14.775
"174","2007-09-11",15.145
"175","2007-09-12",14.98
"176","2007-09-13",15.195
"177","2007-09-14",14.95
"178","2007-09-17",14.885
"179","2007-09-18",15.125
"180","2007-09-19",15.685
"181","2007-09-20",15.82
"182","2007-09-21",15.66
"183","2007-09-24",15.885
"184","2007-09-25",15.715
"185","2007-09-26",15.7
"186","2007-09-27",16
"187","2007-09-28",16.065001
"188","2007-10-01",15.995
"189","2007-10-02",16.43
"190","2007-10-03",16.555
"191","2007-10-04",16.25
"192","2007-10-05",16.575001
"193","2007-10-08",16.610001
"194","2007-10-09",16.825001
"195","2007-10-10",16.52
"196","2007-10-11",15.83
"197","2007-10-12",16.01
"198","2007-10-15",15.545
"199","2007-10-16",16
"200","2007-10-17",16.75
"201","2007-10-18",16.995001
"202","2007-10-19",16.75
"203","2007-10-22",16.959999
"204","2007-10-23",17.01
"205","2007-10-24",16.879999
"206","2007-10-25",16.455
"207","2007-10-26",17.18
"208","2007-10-29",17.445
"209","2007-10-30",16.75
"210","2007-10-31",17.530001
"211","2007-11-01",16.715
"212","2007-11-02",16.129999
"213","2007-11-05",16.209999
"214","2007-11-06",16.395
"215","2007-11-07",15.615
"216","2007-11-08",16.110001
"217","2007-11-09",15.81
"218","2007-11-12",15.37
"219","2007-11-13",15.9
"220","2007-11-14",15.625
"221","2007-11-15",15.48
"222","2007-11-16",15.615
"223","2007-11-19",15.24
"224","2007-11-20",15.475
"225","2007-11-21",15.19
"226","2007-11-23",15.7
"227","2007-11-26",15.895
"228","2007-11-27",16.135
"229","2007-11-28",16.764999
"230","2007-11-29",16.445
"231","2007-11-30",16.540001
"232","2007-12-03",16.33
"233","2007-12-04",16.285
"234","2007-12-05",16.485001
"235","2007-12-06",16.895
"236","2007-12-07",16.17
"237","2007-12-10",16.190001
"238","2007-12-11",15.705
"239","2007-12-12",15.845
"240","2007-12-13",16.040001
"241","2007-12-14",15.905
"242","2007-12-17",15.575
"243","2007-12-18",15.8
"244","2007-12-19",15.965
"245","2007-12-20",16.129999
"246","2007-12-21",16.055
"247","2007-12-24",16.045
"248","2007-12-26",16.365
"249","2007-12-27",16
"250","2007-12-28",16.105
"251","2007-12-31",16
"252","2008-01-02",15.88
"253","2008-01-03",15.635
"254","2008-01-04",14.925
"255","2008-01-07",15.095
"256","2008-01-08",14.695
"257","2008-01-09",14.53
"258","2008-01-10",14.49
"259","2008-01-11",14.195
"260","2008-01-14",13.94
"261","2008-01-15",13.835
"262","2008-01-16",13.875
"263","2008-01-17",13.645
"264","2008-01-18",13.6
"265","2008-01-22",13.675
"266","2008-01-23",13.96
"267","2008-01-24",13.925
"268","2008-01-25",13.63
"269","2008-01-28",13.985
"270","2008-01-29",14.005
"271","2008-01-30",13.74
"272","2008-01-31",13.5
"273","2008-02-01",13.895
"274","2008-02-04",13.855
"275","2008-02-05",13.05
"276","2008-02-06",12.74
"277","2008-02-07",13.055
"278","2008-02-08",12.94
"279","2008-02-11",13.18
"280","2008-02-12",13.2
"281","2008-02-13",13.255
"282","2008-02-14",13.035
"283","2008-02-15",12.97
"284","2008-02-19",12.91
"285","2008-02-20",13.19
"286","2008-02-21",13.345
"287","2008-02-22",13.5
"288","2008-02-25",14.04
"289","2008-02-26",14.11
"290","2008-02-27",13.995
"291","2008-02-28",13.885
"292","2008-02-29",13.5
"293","2008-03-03",13.65
"294","2008-03-04",13.515
"295","2008-03-05",13.51
"296","2008-03-06",13.205
"297","2008-03-07",13.25
"298","2008-03-10",13.395
"299","2008-03-11",13.54
"300","2008-03-12",13.7
"301","2008-03-13",13.715
"302","2008-03-14",13.47
"303","2008-03-17",13.38
"304","2008-03-18",14.035
"305","2008-03-19",14.02
"306","2008-03-20",13.71
"307","2008-03-24",13.955
"308","2008-03-25",14.125
"309","2008-03-26",13.8
"310","2008-03-27",13.69
"311","2008-03-28",14.08
"312","2008-03-31",14.75
"313","2008-04-01",15.175
"314","2008-04-02",15.16
"315","2008-04-03",14.92
"316","2008-04-04",14.74
"317","2008-04-07",14.8
"318","2008-04-08",14.835
"319","2008-04-09",14.36
"320","2008-04-10",13.735
"321","2008-04-11",13.21
"322","2008-04-14",13.365
"323","2008-04-15",13.68
"324","2008-04-16",13.85
"325","2008-04-17",13.625
"326","2008-04-18",13.29
"327","2008-04-21",13.07
"328","2008-04-22",13.005
"329","2008-04-23",12.865
"330","2008-04-24",12.68
"331","2008-04-25",12.62
"332","2008-04-28",12.51
"333","2008-04-29",12.395
"334","2008-04-30",12.34
"335","2008-05-01",12.575
"336","2008-05-02",12.31
"337","2008-05-05",12.755
"338","2008-05-06",12.76
"339","2008-05-07",13.155
"340","2008-05-08",13.04
"341","2008-05-09",13.125
"342","2008-05-12",13.18
"343","2008-05-13",13.055
"344","2008-05-14",13.15
