"","date","TRVI"
"1","2019-05-07",7.89
"2","2019-05-08",8.23
"3","2019-05-09",8.1
"4","2019-05-10",8.27
"5","2019-05-13",7.98
"6","2019-05-14",8.9
"7","2019-05-15",8.68
"8","2019-05-16",8.6
"9","2019-05-17",8.78
"10","2019-05-20",9
"11","2019-05-21",9.03
"12","2019-05-22",8.9
"13","2019-05-23",8.66
"14","2019-05-24",9.02
"15","2019-05-28",8.83
"16","2019-05-29",8.97
"17","2019-05-30",9.11
"18","2019-05-31",9.99
"19","2019-06-03",10.12
"20","2019-06-04",9.94
"21","2019-06-05",9.66
"22","2019-06-06",9.41
"23","2019-06-07",9.29
"24","2019-06-10",7.8
"25","2019-06-11",8.14
"26","2019-06-12",7.95
"27","2019-06-13",7.83
"28","2019-06-14",7.55
"29","2019-06-17",7.66
"30","2019-06-18",8.43
"31","2019-06-19",9.5
"32","2019-06-20",9
"33","2019-06-21",8.57
"34","2019-06-24",8.23
"35","2019-06-25",7.9
"36","2019-06-26",7.93
"37","2019-06-27",7.9
"38","2019-06-28",7.5
"39","2019-07-01",7.25
"40","2019-07-02",7.49
"41","2019-07-03",7.19
"42","2019-07-05",7.79
"43","2019-07-08",7.5
"44","2019-07-09",7.3
"45","2019-07-10",7.47
"46","2019-07-11",7.21
"47","2019-07-12",7.4
"48","2019-07-15",7.21
"49","2019-07-16",7.1
"50","2019-07-17",7.1
"51","2019-07-18",6.4
"52","2019-07-19",6.5
"53","2019-07-22",6.24
"54","2019-07-23",6.61
"55","2019-07-24",6.05
"56","2019-07-25",5.98
"57","2019-07-26",6.09
"58","2019-07-29",5.89
"59","2019-07-30",5.56
"60","2019-07-31",6.01
"61","2019-08-01",5.5
"62","2019-08-02",4.99
"63","2019-08-05",4.44
"64","2019-08-06",4.89
"65","2019-08-07",4.87
"66","2019-08-08",4.99
"67","2019-08-09",4.85
"68","2019-08-12",4.9
"69","2019-08-13",4.55
"70","2019-08-14",4.86
"71","2019-08-15",4.4
"72","2019-08-16",4.64
"73","2019-08-19",4.62
"74","2019-08-20",4.78
"75","2019-08-21",5
"76","2019-08-22",5.23
"77","2019-08-23",4.8
"78","2019-08-26",5.14
"79","2019-08-27",4.69
"80","2019-08-28",4.99
"81","2019-08-29",4.82
"82","2019-08-30",4.96
"83","2019-09-03",4.2
"84","2019-09-04",4.5
"85","2019-09-05",4.5
"86","2019-09-06",4.81
"87","2019-09-09",5
"88","2019-09-10",4.91
"89","2019-09-11",4.85
"90","2019-09-12",4.75
"91","2019-09-13",4.67
"92","2019-09-16",4.57
"93","2019-09-17",4.39
"94","2019-09-18",4.79
"95","2019-09-19",4.7
"96","2019-09-20",4.65
"97","2019-09-23",4.4
"98","2019-09-24",4.39
"99","2019-09-25",4.26
"100","2019-09-26",4.2
"101","2019-09-27",4.59
"102","2019-09-30",4.5
"103","2019-10-01",4.5
"104","2019-10-02",4.31
"105","2019-10-03",4.12
"106","2019-10-04",4.342
"107","2019-10-07",4.08
"108","2019-10-08",4.1
"109","2019-10-09",3.68
"110","2019-10-10",3.32
"111","2019-10-11",4.45
"112","2019-10-14",4.7
"113","2019-10-15",3.955
"114","2019-10-16",4.05
"115","2019-10-17",3.79
"116","2019-10-18",3.88
"117","2019-10-21",3.85
"118","2019-10-22",3.75
"119","2019-10-23",3.7
"120","2019-10-24",3.7
"121","2019-10-25",3.67
"122","2019-10-28",3.69
"123","2019-10-29",3.34
"124","2019-10-30",3.09
"125","2019-10-31",2.95
"126","2019-11-01",2.78
"127","2019-11-04",2.98
"128","2019-11-05",3.259
"129","2019-11-06",3.45
"130","2019-11-07",3.38
"131","2019-11-08",3.623
"132","2019-11-11",3.8
"133","2019-11-12",3.643
"134","2019-11-13",3.75
