"","date","ABUS"
"1","2007-07-26",6.3
"2","2007-07-27",6.25
"3","2007-07-30",5.55
"4","2007-07-31",5.55
"5","2007-08-01",6.4
"6","2007-08-02",6.05
"7","2007-08-03",6.3
"8","2007-08-06",6.3
"9","2007-08-07",6.7
"10","2007-08-08",6.55
"11","2007-08-09",7.05
"12","2007-08-10",6.85
"13","2007-08-13",6.85
"14","2007-08-14",5.95
"15","2007-08-15",5.25
"16","2007-08-16",5.05
"17","2007-08-17",5.6
"18","2007-08-20",5.5
"19","2007-08-21",5.95
"20","2007-08-22",6.25
"21","2007-08-23",6.25
"22","2007-08-24",5.75
"23","2007-08-27",6
"24","2007-08-28",6
"25","2007-08-29",5.7
"26","2007-08-30",5.7
"27","2007-08-31",5.7
"28","2007-09-04",5.7
"29","2007-09-05",5.7
"30","2007-09-06",6
"31","2007-09-07",6
"32","2007-09-10",6
"33","2007-09-11",6
"34","2007-09-12",6
"35","2007-09-13",5.7
"36","2007-09-14",6
"37","2007-09-17",6.2
"38","2007-09-18",6.35
"39","2007-09-19",6.35
"40","2007-09-20",6.25
"41","2007-09-21",6.5
"42","2007-09-24",6.65
"43","2007-09-25",6.8
"44","2007-09-26",6.8
"45","2007-09-27",6.8
"46","2007-09-28",6.55
"47","2007-10-01",6.5
"48","2007-10-02",6.45
"49","2007-10-03",6.45
"50","2007-10-04",6.45
"51","2007-10-05",7.3
"52","2007-10-08",7.3
"53","2007-10-09",8.95
"54","2007-10-10",8.5
"55","2007-10-11",8.4
"56","2007-10-12",8.4
"57","2007-10-15",8.75
"58","2007-10-16",8.75
"59","2007-10-17",8.7
"60","2007-10-18",8.5
"61","2007-10-19",8.5
"62","2007-10-22",8.4
"63","2007-10-23",8.4
"64","2007-10-24",8.4
"65","2007-10-25",7.95
"66","2007-10-26",7.75
"67","2007-10-29",7.75
"68","2007-10-30",7.4
"69","2007-10-31",7.4
"70","2007-11-01",7
"71","2007-11-02",7
"72","2007-11-05",6.95
"73","2007-11-06",6.95
"74","2007-11-07",6.95
"75","2007-11-08",6.95
"76","2007-11-09",6.25
"77","2007-11-12",6.25
"78","2007-11-13",6.2
"79","2007-11-14",6.3
"80","2007-11-15",6.3
"81","2007-11-16",6.3
"82","2007-11-19",5.6
"83","2007-11-20",5.5
"84","2007-11-21",5.5
"85","2007-11-23",5.6
"86","2007-11-26",6.05
"87","2007-11-27",6.05
"88","2007-11-28",6.05
"89","2007-11-29",6.05
"90","2007-11-30",6.05
"91","2007-12-03",5.9
"92","2007-12-04",5.7
"93","2007-12-05",5.4
"94","2007-12-06",5.6
"95","2007-12-07",5.65
"96","2007-12-10",5.65
"97","2007-12-11",5.45
"98","2007-12-12",5.45
"99","2007-12-13",5.45
"100","2007-12-14",5.45
"101","2007-12-17",5.45
"102","2007-12-18",5.45
"103","2007-12-19",5.45
"104","2007-12-20",4.8
"105","2007-12-21",4.8
"106","2007-12-24",4.8
"107","2007-12-26",4.8
"108","2007-12-27",4.6
"109","2007-12-28",4.65
"110","2007-12-31",4.55
"111","2008-01-02",5.1
"112","2008-01-03",5.1
"113","2008-01-04",5.1
"114","2008-01-07",5.1
"115","2008-01-08",5.15
"116","2008-01-09",5.2
"117","2008-01-10",4.95
"118","2008-01-11",4.85
"119","2008-01-14",5
"120","2008-01-15",5
"121","2008-01-16",5
"122","2008-01-17",5
"123","2008-01-18",5
"124","2008-01-22",5
"125","2008-01-23",5
"126","2008-01-24",5
"127","2008-01-25",5
"128","2008-01-28",5
"129","2008-01-29",4.05
"130","2008-01-30",4
"131","2008-01-31",4.7
"132","2008-02-01",4.95
"133","2008-02-04",4.95
"134","2008-02-05",4.8
"135","2008-02-06",4.4
"136","2008-02-07",4.25
"137","2008-02-08",4.5
"138","2008-02-11",4.5
"139","2008-02-12",4.6
"140","2008-02-13",4.6
"141","2008-02-14",4.6
"142","2008-02-15",4.6
"143","2008-02-19",4.6
"144","2008-02-20",4.6
"145","2008-02-21",4.6
"146","2008-02-22",4.6
"147","2008-02-25",4.6
"148","2008-02-26",4.6
"149","2008-02-27",4.65
"150","2008-02-28",4.65
"151","2008-02-29",4.65
"152","2008-03-03",4.25
"153","2008-03-04",4
"154","2008-03-05",4
"155","2008-03-06",4.05
"156","2008-03-07",4
"157","2008-03-10",4
"158","2008-03-11",4.05
"159","2008-03-12",4
"160","2008-03-13",4.15
"161","2008-03-14",4.15
"162","2008-03-17",4.05
"163","2008-03-18",4
"164","2008-03-19",4
"165","2008-03-20",3.9
"166","2008-03-24",4
"167","2008-03-25",4
"168","2008-03-26",3.9
"169","2008-03-27",3.75
