"","date","DYN"
"1","2020-09-17",23.9
"2","2020-09-18",22.799999
"3","2020-09-21",22
"4","2020-09-22",22.950001
"5","2020-09-23",22.25
"6","2020-09-24",22.059999
"7","2020-09-25",22
"8","2020-09-28",21.5
"9","2020-09-29",20
"10","2020-09-30",20.190001
"11","2020-10-01",19.52
"12","2020-10-02",19.049999
"13","2020-10-05",18.92
"14","2020-10-06",18.84
"15","2020-10-07",18.74
"16","2020-10-08",18.99
"17","2020-10-09",18.639999
"18","2020-10-12",18.98
"19","2020-10-13",19.030001
"20","2020-10-14",17.68
"21","2020-10-15",17.16
"22","2020-10-16",17.42
"23","2020-10-19",17.15
"24","2020-10-20",16.809999
"25","2020-10-21",17.09
"26","2020-10-22",17.040001
"27","2020-10-23",17.1
"28","2020-10-26",17.59
"29","2020-10-27",18.16
"30","2020-10-28",17.25
"31","2020-10-29",19.65
"32","2020-10-30",20.68
"33","2020-11-02",21.1
"34","2020-11-03",23.940001
"35","2020-11-04",21.26
"36","2020-11-05",21.290001
"37","2020-11-06",20.190001
"38","2020-11-09",19.99
"39","2020-11-10",19.209999
"40","2020-11-11",20.25
"41","2020-11-12",19.940001
"42","2020-11-13",19.309999
"43","2020-11-16",18.799999
"44","2020-11-17",19
"45","2020-11-18",18.950001
"46","2020-11-19",19.299999
"47","2020-11-20",19.4
"48","2020-11-23",18.969999
"49","2020-11-24",19.559999
"50","2020-11-25",19.610001
"51","2020-11-27",19.9
