"","date","PBCT"
"1","2007-01-03",21.27619
"2","2007-01-04",21.190475
"3","2007-01-05",20.957144
"4","2007-01-08",21
"5","2007-01-09",20.852381
"6","2007-01-10",21.028572
"7","2007-01-11",21.228571
"8","2007-01-12",21.22381
"9","2007-01-16",21.128571
"10","2007-01-17",21.047619
"11","2007-01-18",21.133333
"12","2007-01-19",21.185715
"13","2007-01-22",21.342857
"14","2007-01-23",21.24762
"15","2007-01-24",21.428572
"16","2007-01-25",21.299999
"17","2007-01-26",21.190475
"18","2007-01-29",21.371429
"19","2007-01-30",21.442858
"20","2007-01-31",21.423809
"21","2007-02-01",21.504763
"22","2007-02-02",21.428572
"23","2007-02-05",21.414286
"24","2007-02-06",21.523809
"25","2007-02-07",21.62381
"26","2007-02-08",21.6
"27","2007-02-09",21.585714
"28","2007-02-12",21.538095
"29","2007-02-13",21.585714
"30","2007-02-14",21.652382
"31","2007-02-15",21.604761
"32","2007-02-16",21.695238
"33","2007-02-20",21.790476
"34","2007-02-21",21.804762
"35","2007-02-22",21.771429
"36","2007-02-23",21.790476
"37","2007-02-26",21.671429
"38","2007-02-27",21.176191
"39","2007-02-28",21.138096
"40","2007-03-01",21.071428
"41","2007-03-02",20.885714
"42","2007-03-05",20.552382
"43","2007-03-06",20.714285
"44","2007-03-07",20.461905
"45","2007-03-08",20.633333
"46","2007-03-09",20.566668
"47","2007-03-12",20.476191
"48","2007-03-13",19.990477
"49","2007-03-14",20.180952
"50","2007-03-15",20.357143
"51","2007-03-16",20.085714
"52","2007-03-19",20.385714
"53","2007-03-20",20.828571
"54","2007-03-21",20.966667
"55","2007-03-22",20.9
"56","2007-03-23",21.019047
"57","2007-03-26",21.271429
"58","2007-03-27",21.299999
"59","2007-03-28",20.87619
"60","2007-03-29",21.147619
"61","2007-03-30",21.142857
"62","2007-04-02",21.042856
"63","2007-04-03",20.966667
"64","2007-04-04",20.980953
"65","2007-04-05",21.076191
"66","2007-04-09",21.147619
"67","2007-04-10",21.042856
"68","2007-04-11",20.738094
"69","2007-04-12",20.814285
"70","2007-04-13",20.604761
"71","2007-04-16",20.75
"72","2007-04-17",20.799999
"73","2007-04-18",20.85
"74","2007-04-19",20.790001
"75","2007-04-20",20.74
"76","2007-04-23",20.4
"77","2007-04-24",20.07
"78","2007-04-25",19.950001
"79","2007-04-26",20.049999
"80","2007-04-27",20
"81","2007-04-30",19.91
"82","2007-05-01",20.059999
"83","2007-05-02",20.18
"84","2007-05-03",20.27
"85","2007-05-04",20.299999
"86","2007-05-07",20.299999
"87","2007-05-08",20.379999
"88","2007-05-09",20.51
"89","2007-05-10",20.25
"90","2007-05-11",20.370001
"91","2007-05-14",20.18
"92","2007-05-15",19.98
"93","2007-05-16",19.950001
"94","2007-05-17",19.99
"95","2007-05-18",19.98
"96","2007-05-21",19.93
"97","2007-05-22",19.959999
"98","2007-05-23",20.26
"99","2007-05-24",20
"100","2007-05-25",19.969999
"101","2007-05-29",20.1
"102","2007-05-30",20.110001
"103","2007-05-31",20.190001
"104","2007-06-01",20.280001
"105","2007-06-04",20.26
"106","2007-06-05",20.01
"107","2007-06-06",19.870001
"108","2007-06-07",19.540001
"109","2007-06-08",19.440001
"110","2007-06-11",19.610001
"111","2007-06-12",19.370001
"112","2007-06-13",19.43
"113","2007-06-14",19.530001
"114","2007-06-15",19.4
"115","2007-06-18",19.690001
"116","2007-06-19",19.51
"117","2007-06-20",19.049999
"118","2007-06-21",19.299999
"119","2007-06-22",19.01
"120","2007-06-25",18.709999
"121","2007-06-26",18.709999
"122","2007-06-27",18.17
"123","2007-06-28",18.040001
"124","2007-06-29",17.73
"125","2007-07-02",18.110001
"126","2007-07-03",18.23
"127","2007-07-05",18.09
"128","2007-07-06",18.049999
"129","2007-07-09",18.08
"130","2007-07-10",17.870001
"131","2007-07-11",17.67
"132","2007-07-12",18.200001
"133","2007-07-13",18.290001
"134","2007-07-16",17.790001
"135","2007-07-17",17.549999
"136","2007-07-18",17.370001
"137","2007-07-19",17.66
"138","2007-07-20",17.93
"139","2007-07-23",17.74
"140","2007-07-24",16.950001
"141","2007-07-25",17.049999
"142","2007-07-26",16.73
"143","2007-07-27",16.52
"144","2007-07-30",16.34
"145","2007-07-31",16.120001
"146","2007-08-01",15.8
"147","2007-08-02",15.91
"148","2007-08-03",14.99
"149","2007-08-06",15.45
"150","2007-08-07",15.67
"151","2007-08-08",16.42
"152","2007-08-09",15.97
"153","2007-08-10",16.27
"154","2007-08-13",16.049999
"155","2007-08-14",15.77
"156","2007-08-15",15.96
"157","2007-08-16",16.73
"158","2007-08-17",17.309999
"159","2007-08-20",17.57
"160","2007-08-21",18.200001
"161","2007-08-22",18.139999
"162","2007-08-23",17.84
"163","2007-08-24",17.870001
"164","2007-08-27",17.440001
"165","2007-08-28",17.1
"166","2007-08-29",17.66
"167","2007-08-30",17.67
"168","2007-08-31",17.68
"169","2007-09-04",17.889999
"170","2007-09-05",17.459999
"171","2007-09-06",17.5
"172","2007-09-07",17.299999
"173","2007-09-10",16.99
"174","2007-09-11",17.09
"175","2007-09-12",17.030001
"176","2007-09-13",17.01
"177","2007-09-14",17.02
"178","2007-09-17",17
"179","2007-09-18",17.48
"180","2007-09-19",17.549999
"181","2007-09-20",17.42
"182","2007-09-21",17.299999
"183","2007-09-24",17.25
"184","2007-09-25",16.940001
"185","2007-09-26",17.030001
"186","2007-09-27",17.23
"187","2007-09-28",17.280001
"188","2007-10-01",17.549999
"189","2007-10-02",17.85
"190","2007-10-03",17.68
"191","2007-10-04",17.57
"192","2007-10-05",17.6
"193","2007-10-08",17.51
"194","2007-10-09",17.799999
"195","2007-10-10",18.209999
