"","date","AGNC"
"1","2008-05-15",19.35
"2","2008-05-16",19.99
"3","2008-05-19",19.51
"4","2008-05-20",19.35
"5","2008-05-21",19.25
"6","2008-05-22",19
"7","2008-05-23",19.049999
"8","2008-05-27",19.1
"9","2008-05-28",19.25
"10","2008-05-29",19.700001
"11","2008-05-30",19.700001
"12","2008-06-02",19.6
"13","2008-06-03",19.07
"14","2008-06-04",19.1
"15","2008-06-05",19.33
"16","2008-06-06",19.02
"17","2008-06-09",19
"18","2008-06-10",18.200001
"19","2008-06-11",17.15
"20","2008-06-12",17.23
"21","2008-06-13",17.059999
"22","2008-06-16",17.799999
"23","2008-06-17",17.870001
"24","2008-06-18",17.040001
"25","2008-06-19",16.879999
"26","2008-06-20",16.629999
"27","2008-06-23",17.9
"28","2008-06-24",17.76
"29","2008-06-25",17.799999
"30","2008-06-26",17.209999
"31","2008-06-27",17.110001
"32","2008-06-30",16.639999
"33","2008-07-01",16.4
"34","2008-07-02",16.65
"35","2008-07-03",16.48
"36","2008-07-07",14.98
"37","2008-07-08",15.5
"38","2008-07-09",14.87
"39","2008-07-10",13.97
"40","2008-07-11",14.86
"41","2008-07-14",15.73
"42","2008-07-15",14.73
"43","2008-07-16",15.11
"44","2008-07-17",15.65
"45","2008-07-18",15.53
"46","2008-07-21",15.46
"47","2008-07-22",15.77
"48","2008-07-23",15.92
"49","2008-07-24",15.43
"50","2008-07-25",15.4
"51","2008-07-28",15.01
"52","2008-07-29",15.71
"53","2008-07-30",15.66
"54","2008-07-31",15.64
"55","2008-08-01",15.92
"56","2008-08-04",15.7
"57","2008-08-05",15.79
"58","2008-08-06",15.64
"59","2008-08-07",15.35
"60","2008-08-08",16.49
"61","2008-08-11",16.74
"62","2008-08-12",16.68
"63","2008-08-13",16.65
"64","2008-08-14",16.790001
"65","2008-08-15",16.709999
"66","2008-08-18",16.709999
"67","2008-08-19",16.700001
"68","2008-08-20",17.1
"69","2008-08-21",17.459999
"70","2008-08-22",18.110001
"71","2008-08-25",17.66
"72","2008-08-26",17.52
"73","2008-08-27",18.200001
"74","2008-08-28",18.74
"75","2008-08-29",18.950001
"76","2008-09-02",18.639999
"77","2008-09-03",18.52
"78","2008-09-04",18.34
"79","2008-09-05",18.620001
"80","2008-09-08",20
"81","2008-09-09",18.9
"82","2008-09-10",19.139999
"83","2008-09-11",18.950001
"84","2008-09-12",19.68
"85","2008-09-15",18.27
"86","2008-09-16",18.700001
"87","2008-09-17",16.77
"88","2008-09-18",17.83
