"","date","YRCW"
"1","2007-01-03",287775
"2","2007-01-04",296025
"3","2007-01-05",293400
"4","2007-01-08",291075
"5","2007-01-09",295200
"6","2007-01-10",293400
"7","2007-01-11",293250
"8","2007-01-12",297150
"9","2007-01-16",307950
"10","2007-01-17",310425
"11","2007-01-18",311475
"12","2007-01-19",317925
"13","2007-01-22",314025
"14","2007-01-23",316500
"15","2007-01-24",312825
"16","2007-01-25",312000
"17","2007-01-26",307800
"18","2007-01-29",316650
"19","2007-01-30",331425
"20","2007-01-31",332625
"21","2007-02-01",342525
"22","2007-02-02",335925
"23","2007-02-05",323775
"24","2007-02-06",328050
"25","2007-02-07",331950
"26","2007-02-08",325875
"27","2007-02-09",325425
"28","2007-02-12",330000
"29","2007-02-13",337275
"30","2007-02-14",343500
"31","2007-02-15",345450
"32","2007-02-16",345975
"33","2007-02-20",343575
"34","2007-02-21",349500
"35","2007-02-22",346425
"36","2007-02-23",347775
"37","2007-02-26",335400
"38","2007-02-27",325575
"39","2007-02-28",326100
"40","2007-03-01",326550
"41","2007-03-02",315450
"42","2007-03-05",308475
"43","2007-03-06",314850
"44","2007-03-07",319350
"45","2007-03-08",317625
"46","2007-03-09",313950
"47","2007-03-12",313425
"48","2007-03-13",301575
"49","2007-03-14",304575
"50","2007-03-15",305325
"51","2007-03-16",303375
"52","2007-03-19",302025
"53","2007-03-20",308925
"54","2007-03-21",313800
"55","2007-03-22",322050
"56","2007-03-23",323100
"57","2007-03-26",313350
"58","2007-03-27",311100
"59","2007-03-28",301200
"60","2007-03-29",301200
"61","2007-03-30",301650
"62","2007-04-02",3e+05
"63","2007-04-03",307200
"64","2007-04-04",304275
"65","2007-04-05",304425
"66","2007-04-09",312825
"67","2007-04-10",310650
"68","2007-04-11",315525
"69","2007-04-12",322275
"70","2007-04-13",321375
"71","2007-04-16",325800
"72","2007-04-17",323250
"73","2007-04-18",322200
"74","2007-04-19",327450
"75","2007-04-20",334650
"76","2007-04-23",330675
"77","2007-04-24",327600
"78","2007-04-25",340725
"79","2007-04-26",343050
"80","2007-04-27",313275
"81","2007-04-30",298425
"82","2007-05-01",297075
"83","2007-05-02",295650
"84","2007-05-03",297225
"85","2007-05-04",295050
"86","2007-05-07",297825
"87","2007-05-08",296175
"88","2007-05-09",294975
"89","2007-05-10",289575
"90","2007-05-11",289350
"91","2007-05-14",286125
"92","2007-05-15",289875
"93","2007-05-16",292575
"94","2007-05-17",288000
"95","2007-05-18",287625
"96","2007-05-21",292425
"97","2007-05-22",292500
"98","2007-05-23",295725
"99","2007-05-24",290550
"100","2007-05-25",294375
"101","2007-05-29",297075
"102","2007-05-30",296550
"103","2007-05-31",301500
"104","2007-06-01",296625
"105","2007-06-04",296550
"106","2007-06-05",298650
"107","2007-06-06",298425
"108","2007-06-07",290175
"109","2007-06-08",294450
"110","2007-06-11",294150
"111","2007-06-12",287175
"112","2007-06-13",288675
"113","2007-06-14",292950
"114","2007-06-15",294225
"115","2007-06-18",290025
"116","2007-06-19",284175
"117","2007-06-20",279225
"118","2007-06-21",285525
"119","2007-06-22",282750
"120","2007-06-25",286575
"121","2007-06-26",280425
"122","2007-06-27",281775
"123","2007-06-28",279825
"124","2007-06-29",276000
"125","2007-07-02",277650
