"","date","ELOX"
"1","2007-01-03",2200
"2","2007-01-04",2260
"3","2007-01-05",2200
"4","2007-01-08",2300
"5","2007-01-09",2340
"6","2007-01-10",2120
"7","2007-01-11",2120
"8","2007-01-12",2340
"9","2007-01-16",2300
"10","2007-01-17",2280
"11","2007-01-18",2440
"12","2007-01-19",2420
"13","2007-01-22",2520
"14","2007-01-23",2400
"15","2007-01-24",2420
"16","2007-01-25",2360
"17","2007-01-26",2380
"18","2007-01-29",2320
"19","2007-01-30",2320
"20","2007-01-31",2300
"21","2007-02-01",2460
"22","2007-02-02",2340
"23","2007-02-05",2300
"24","2007-02-06",2400
"25","2007-02-07",2400
"26","2007-02-08",2320
"27","2007-02-09",2320
"28","2007-02-12",2300
"29","2007-02-13",2320
"30","2007-02-14",2300
"31","2007-02-15",2420
"32","2007-02-16",2480
"33","2007-02-20",2340
"34","2007-02-21",2340
"35","2007-02-22",2300
"36","2007-02-23",2360
"37","2007-02-26",2360
"38","2007-02-27",2320
"39","2007-02-28",2340
"40","2007-03-01",2300
"41","2007-03-02",2320
"42","2007-03-05",2320
"43","2007-03-06",2300
"44","2007-03-07",2200
"45","2007-03-08",2140
"46","2007-03-09",2140
"47","2007-03-12",2200
"48","2007-03-13",2220
"49","2007-03-14",2200
"50","2007-03-15",2120
"51","2007-03-16",2000
"52","2007-03-19",2100
"53","2007-03-20",1940
"54","2007-03-21",2020
"55","2007-03-22",1940
"56","2007-03-23",2020
"57","2007-03-26",2000
"58","2007-03-27",1960
"59","2007-03-28",1960
"60","2007-03-29",1940
"61","2007-03-30",1940
"62","2007-04-02",1940
"63","2007-04-03",1900
"64","2007-04-04",1900
"65","2007-04-05",1900
"66","2007-04-09",1860
"67","2007-04-10",1880
"68","2007-04-11",1880
"69","2007-04-12",1900
"70","2007-04-13",1900
"71","2007-04-16",1960
"72","2007-04-17",2100
"73","2007-04-18",2280
"74","2007-04-19",2260
"75","2007-04-20",2240
"76","2007-04-23",2000
"77","2007-04-24",2240
"78","2007-04-25",2200
"79","2007-04-26",1900
"80","2007-04-27",1880
"81","2007-04-30",1800
"82","2007-05-01",1820
"83","2007-05-02",1940
"84","2007-05-03",1980
"85","2007-05-04",1980
"86","2007-05-07",1840
"87","2007-05-08",1840
"88","2007-05-09",1800
"89","2007-05-10",1840
"90","2007-05-11",1880
"91","2007-05-14",1740
"92","2007-05-15",1640
"93","2007-05-16",1660
"94","2007-05-17",1720
"95","2007-05-18",1680
"96","2007-05-21",1900
"97","2007-05-22",1960
"98","2007-05-23",1980
"99","2007-05-24",1940
"100","2007-05-25",2100
"101","2007-05-29",2140
"102","2007-05-30",2220
"103","2007-05-31",2400
"104","2007-06-01",3020
"105","2007-06-04",2620
"106","2007-06-05",2620
"107","2007-06-06",2400
"108","2007-06-07",2600
"109","2007-06-08",2400
"110","2007-06-11",2500
"111","2007-06-12",2580
"112","2007-06-13",2360
"113","2007-06-14",2400
"114","2007-06-15",2240
"115","2007-06-18",2200
"116","2007-06-19",2500
"117","2007-06-20",2660
"118","2007-06-21",2240
"119","2007-06-22",2600
"120","2007-06-25",2280
"121","2007-06-26",2280
"122","2007-06-27",2220
"123","2007-06-28",2400
"124","2007-06-29",2300
"125","2007-07-02",1980
"126","2007-07-03",1960
"127","2007-07-05",1960
"128","2007-07-06",2180
"129","2007-07-09",2200
"130","2007-07-10",2180
"131","2007-07-11",2100
"132","2007-07-12",1900
"133","2007-07-13",2000
"134","2007-07-16",2000
"135","2007-07-17",2160
"136","2007-07-18",1860
"137","2007-07-19",1920
"138","2007-07-20",2000
"139","2007-07-23",2000
"140","2007-07-24",2000
"141","2007-07-25",1900
"142","2007-07-26",2000
"143","2007-07-27",1940
"144","2007-07-30",1880
"145","2007-07-31",2000
"146","2007-08-01",2160
"147","2007-08-02",2160
"148","2007-08-03",1980
"149","2007-08-06",1940
"150","2007-08-07",2080
"151","2007-08-08",2020
"152","2007-08-09",2300
"153","2007-08-10",2300
"154","2007-08-13",2240
"155","2007-08-14",2460
"156","2007-08-15",2300
"157","2007-08-16",2260
"158","2007-08-17",2000
"159","2007-08-20",1980
"160","2007-08-21",1900
"161","2007-08-22",1860
"162","2007-08-23",1860
"163","2007-08-24",1860
"164","2007-08-27",1760
"165","2007-08-28",1780
"166","2007-08-29",1760
"167","2007-08-30",1740
"168","2007-08-31",1780
"169","2007-09-04",1800
"170","2007-09-05",1780
"171","2007-09-06",2000
"172","2007-09-07",1780
"173","2007-09-10",1780
"174","2007-09-11",1720
"175","2007-09-12",1840
"176","2007-09-13",1780
"177","2007-09-14",1760
"178","2007-09-17",1780
"179","2007-09-18",1740
"180","2007-09-19",1760
"181","2007-09-20",1740
"182","2007-09-21",1700
"183","2007-09-24",1600
"184","2007-09-25",1740
"185","2007-09-26",1720
"186","2007-09-27",1820
"187","2007-09-28",1740
"188","2007-10-01",1740
"189","2007-10-02",1480
"190","2007-10-03",1580
"191","2007-10-04",1560
"192","2007-10-05",1580
"193","2007-10-08",1580
"194","2007-10-09",1540
"195","2007-10-10",1500
"196","2007-10-11",1500
"197","2007-10-12",1500
"198","2007-10-15",1460
"199","2007-10-16",1380
"200","2007-10-17",1300
"201","2007-10-18",1240
"202","2007-10-19",1080
"203","2007-10-22",1000
"204","2007-10-23",1060
"205","2007-10-24",1000
"206","2007-10-25",960
"207","2007-10-26",900
"208","2007-10-29",880
"209","2007-10-30",900
"210","2007-10-31",940
"211","2007-11-01",980
"212","2007-11-02",1000
"213","2007-11-05",900
"214","2007-11-06",840
"215","2007-11-07",880
"216","2007-11-08",940
"217","2007-11-09",960
"218","2007-11-12",960
"219","2007-11-13",1040
"220","2007-11-14",1000
"221","2007-11-15",1040
"222","2007-11-16",960
"223","2007-11-19",920
"224","2007-11-20",940
"225","2007-11-21",940
"226","2007-11-23",900
"227","2007-11-26",860
