"","date","HALO"
"1","2007-01-03",8.1
"2","2007-01-04",8
"3","2007-01-05",7.65
"4","2007-01-08",7.5
"5","2007-01-09",7.62
"6","2007-01-10",7.56
"7","2007-01-11",7.85
"8","2007-01-12",7.7
"9","2007-01-16",7.76
"10","2007-01-17",7.62
"11","2007-01-18",7.09
"12","2007-01-19",6.99
"13","2007-01-22",7.68
"14","2007-01-23",7.55
"15","2007-01-24",7.6
"16","2007-01-25",7.51
"17","2007-01-26",7.71
"18","2007-01-29",7.6
"19","2007-01-30",7.6
"20","2007-01-31",7.55
"21","2007-02-01",7.55
"22","2007-02-02",7.75
"23","2007-02-05",7.51
"24","2007-02-06",7.8
"25","2007-02-07",8.24
"26","2007-02-08",8.41
"27","2007-02-09",8.16
"28","2007-02-12",7.9
"29","2007-02-13",7.85
"30","2007-02-14",8.76
"31","2007-02-15",9.05
"32","2007-02-16",9
"33","2007-02-20",9.36
"34","2007-02-21",9.36
"35","2007-02-22",9.45
"36","2007-02-23",9.25
"37","2007-02-26",8.88
"38","2007-02-27",8.36
"39","2007-02-28",8.29
"40","2007-03-01",8.2
"41","2007-03-02",8.08
"42","2007-03-05",8
"43","2007-03-06",8.2
"44","2007-03-07",8.39
"45","2007-03-08",8.6
"46","2007-03-09",8.39
"47","2007-03-12",7.98
"48","2007-03-13",7.99
"49","2007-03-14",7.98
"50","2007-03-15",8.3
"51","2007-03-16",8.72
"52","2007-03-19",8.59
"53","2007-03-20",8.72
"54","2007-03-21",8.63
"55","2007-03-22",8.51
"56","2007-03-23",8.55
"57","2007-03-26",8.4
"58","2007-03-27",8.43
"59","2007-03-28",8.4
"60","2007-03-29",8.25
"61","2007-03-30",8.06
"62","2007-04-02",8.18
"63","2007-04-03",8.35
"64","2007-04-04",8.4
"65","2007-04-05",8.44
"66","2007-04-09",8.36
"67","2007-04-10",8.66
"68","2007-04-11",8.7
"69","2007-04-12",8.95
"70","2007-04-13",9.06
"71","2007-04-16",9.03
"72","2007-04-17",8.97
"73","2007-04-18",9.1
"74","2007-04-19",9.14
"75","2007-04-20",9.17
"76","2007-04-23",8.95
"77","2007-04-24",9.97
"78","2007-04-25",9.98
"79","2007-04-26",10.36
"80","2007-04-27",10.38
"81","2007-04-30",10.15
"82","2007-05-01",10.09
"83","2007-05-02",10.25
"84","2007-05-03",10.4
"85","2007-05-04",10.32
"86","2007-05-07",10.18
"87","2007-05-08",10.5
"88","2007-05-09",10.6
"89","2007-05-10",10.44
"90","2007-05-11",10.56
"91","2007-05-14",10.33
"92","2007-05-15",10.37
"93","2007-05-16",10.75
"94","2007-05-17",10.75
"95","2007-05-18",10.54
"96","2007-05-21",10.5
"97","2007-05-22",10.52
"98","2007-05-23",10.5
"99","2007-05-24",10.3
"100","2007-05-25",10.27
"101","2007-05-29",10.26
"102","2007-05-30",10.39
"103","2007-05-31",10.21
"104","2007-06-01",10.44
"105","2007-06-04",10.54
"106","2007-06-05",10.76
"107","2007-06-06",10.55
"108","2007-06-07",10.51
"109","2007-06-08",10.3
"110","2007-06-11",10.26
"111","2007-06-12",10.02
"112","2007-06-13",10.23
"113","2007-06-14",10.11
"114","2007-06-15",10.64
"115","2007-06-18",10.4
"116","2007-06-19",10.14
"117","2007-06-20",10
"118","2007-06-21",9.8
"119","2007-06-22",9.66
"120","2007-06-25",8.98
"121","2007-06-26",9.04
"122","2007-06-27",9.2
"123","2007-06-28",9.6
"124","2007-06-29",9.23
"125","2007-07-02",9.69
"126","2007-07-03",9.74
"127","2007-07-05",9.73
"128","2007-07-06",9.96
"129","2007-07-09",9.92
"130","2007-07-10",9.71
"131","2007-07-11",9.92
"132","2007-07-12",10.06
"133","2007-07-13",10.07
"134","2007-07-16",9.81
"135","2007-07-17",9.78
"136","2007-07-18",9.87
"137","2007-07-19",9.83
"138","2007-07-20",9.42
"139","2007-07-23",9.31
"140","2007-07-24",9.27
"141","2007-07-25",9.13
"142","2007-07-26",8.92
"143","2007-07-27",8.41
"144","2007-07-30",8.08
"145","2007-07-31",8.04
"146","2007-08-01",8.01
"147","2007-08-02",8.33
"148","2007-08-03",7.8
"149","2007-08-06",8.2
"150","2007-08-07",8.33
"151","2007-08-08",9.1
"152","2007-08-09",8.95
"153","2007-08-10",8.33
"154","2007-08-13",8.44
"155","2007-08-14",8.52
"156","2007-08-15",8.58
"157","2007-08-16",8.48
"158","2007-08-17",8.62
"159","2007-08-20",8.48
"160","2007-08-21",8.44
"161","2007-08-22",8.39
"162","2007-08-23",8.24
"163","2007-08-24",8.52
"164","2007-08-27",8.52
"165","2007-08-28",8.28
"166","2007-08-29",8.48
"167","2007-08-30",8.34
"168","2007-08-31",8.81
"169","2007-09-04",9.95
"170","2007-09-05",10.1
"171","2007-09-06",9.73
"172","2007-09-07",9.07
"173","2007-09-10",9.41
"174","2007-09-11",9
"175","2007-09-12",8.77
"176","2007-09-13",8.7
"177","2007-09-14",8.74
"178","2007-09-17",8.63
"179","2007-09-18",9
"180","2007-09-19",9.07
"181","2007-09-20",9.22
"182","2007-09-21",9.12
"183","2007-09-24",9.05
"184","2007-09-25",9.02
"185","2007-09-26",9.07
"186","2007-09-27",8.95
"187","2007-09-28",8.69
"188","2007-10-01",8.97
"189","2007-10-02",8.9
"190","2007-10-03",8.58
"191","2007-10-04",8.53
"192","2007-10-05",8.78
"193","2007-10-08",8.7
"194","2007-10-09",8.64
"195","2007-10-10",8.91
"196","2007-10-11",8.75
"197","2007-10-12",9.21
"198","2007-10-15",8.99
"199","2007-10-16",9.12
"200","2007-10-17",9.07
"201","2007-10-18",9.08
"202","2007-10-19",8.88
"203","2007-10-22",9.07
"204","2007-10-23",9.26
"205","2007-10-24",9.06
"206","2007-10-25",8.98
"207","2007-10-26",9.41
"208","2007-10-29",9.34
"209","2007-10-30",9.18
"210","2007-10-31",9.18
"211","2007-11-01",8.85
"212","2007-11-02",9.04
"213","2007-11-05",9.15
"214","2007-11-06",9.24
"215","2007-11-07",8.85
"216","2007-11-08",8.95
"217","2007-11-09",7.78
