"","date","LIND"
"1","2013-07-03",9.58
"2","2013-07-05",9.85
"3","2013-07-08",9.85
"4","2013-07-09",10.1
"5","2013-07-10",10.1
"6","2013-07-11",10.1
"7","2013-07-12",10.1
"8","2013-07-15",9.9
"9","2013-07-16",9.9
"10","2013-07-17",9.9
"11","2013-07-18",9.9
"12","2013-07-19",9.72
"13","2013-07-22",9.72
"14","2013-07-23",9.9
"15","2013-07-24",9.9
"16","2013-07-25",9.62
"17","2013-07-26",9.5
"18","2013-07-29",9.5
"19","2013-07-30",9.5
"20","2013-07-31",9.66
"21","2013-08-01",9.66
"22","2013-08-02",9.66
"23","2013-08-05",9.69
"24","2013-08-06",9.69
"25","2013-08-07",9.69
"26","2013-08-08",9.69
"27","2013-08-09",9.69
"28","2013-08-12",9.69
"29","2013-08-13",9.69
"30","2013-08-14",9.79
"31","2013-08-15",9.79
"32","2013-08-16",9.79
"33","2013-08-19",9.79
"34","2013-08-20",9.79
"35","2013-08-21",9.79
"36","2013-08-22",9.84
"37","2013-08-23",9.84
"38","2013-08-26",9.76
"39","2013-08-27",9.75
"40","2013-08-28",9.74
"41","2013-08-29",9.74
"42","2013-08-30",9.79
"43","2013-09-03",9.79
"44","2013-09-04",9.79
"45","2013-09-05",9.79
"46","2013-09-06",9.79
"47","2013-09-09",9.79
"48","2013-09-10",9.7
"49","2013-09-11",9.7
"50","2013-09-12",9.7
"51","2013-09-13",9.7
"52","2013-09-16",9.7
"53","2013-09-17",9.7
"54","2013-09-18",9.7
"55","2013-09-19",9.7
"56","2013-09-20",9.7
"57","2013-09-23",9.7
"58","2013-09-24",9.7
"59","2013-09-25",9.7
"60","2013-09-26",9.7
"61","2013-09-27",9.7
"62","2013-09-30",9.7
"63","2013-10-01",9.7
"64","2013-10-02",9.7
"65","2013-10-03",9.7
"66","2013-10-04",9.7
"67","2013-10-07",9.7
"68","2013-10-08",9.7
"69","2013-10-09",9.7
"70","2013-10-10",9.61
"71","2013-10-11",9.66
"72","2013-10-14",9.7
"73","2013-10-15",9.7
"74","2013-10-16",9.7
"75","2013-10-17",9.7
"76","2013-10-18",9.7
"77","2013-10-21",9.7
"78","2013-10-22",9.67
"79","2013-10-23",9.67
"80","2013-10-24",9.67
"81","2013-10-25",9.64
"82","2013-10-28",9.64
"83","2013-10-29",9.64
"84","2013-10-30",9.64
"85","2013-10-31",9.64
"86","2013-11-01",9.64
"87","2013-11-04",9.64
"88","2013-11-05",9.64
"89","2013-11-06",9.64
"90","2013-11-07",9.64
"91","2013-11-08",9.64
"92","2013-11-11",9.64
"93","2013-11-12",9.64
"94","2013-11-13",9.64
"95","2013-11-14",9.64
"96","2013-11-15",9.64
"97","2013-11-18",9.64
"98","2013-11-19",9.64
"99","2013-11-20",9.64
"100","2013-11-21",9.64
"101","2013-11-22",9.64
"102","2013-11-25",9.64
"103","2013-11-26",9.64
"104","2013-11-27",9.64
"105","2013-11-29",9.64
"106","2013-12-02",9.64
"107","2013-12-03",9.64
"108","2013-12-04",9.64
"109","2013-12-05",9.64
"110","2013-12-06",9.64
