"","date","CYRN"
"1","2007-01-03",3.78
"2","2007-01-04",3.78
"3","2007-01-05",3.69
"4","2007-01-08",3.81
"5","2007-01-09",3.87
"6","2007-01-10",3.81
"7","2007-01-11",3.9
"8","2007-01-12",3.87
"9","2007-01-16",3.84
"10","2007-01-17",3.87
"11","2007-01-18",3.84
"12","2007-01-19",3.84
"13","2007-01-22",3.84
"14","2007-01-23",3.87
"15","2007-01-24",4.05
"16","2007-01-25",3.99
"17","2007-01-26",4.29
"18","2007-01-29",4.26
"19","2007-01-30",4.32
"20","2007-01-31",4.44
"21","2007-02-01",4.53
"22","2007-02-02",4.44
"23","2007-02-05",4.44
"24","2007-02-06",4.71
"25","2007-02-07",4.8
"26","2007-02-08",4.8
"27","2007-02-09",4.77
"28","2007-02-12",4.5
"29","2007-02-13",4.59
"30","2007-02-14",4.47
"31","2007-02-15",4.2
"32","2007-02-16",4.29
"33","2007-02-20",4.14
"34","2007-02-21",4.05
"35","2007-02-22",4.32
"36","2007-02-23",4.17
"37","2007-02-26",4.35
"38","2007-02-27",4.14
"39","2007-02-28",4.2
"40","2007-03-01",4.11
"41","2007-03-02",4.05
"42","2007-03-05",4.02
"43","2007-03-06",4.17
"44","2007-03-07",4.05
"45","2007-03-08",4.14
"46","2007-03-09",4.08
"47","2007-03-12",4.08
"48","2007-03-13",4.08
"49","2007-03-14",4.05
"50","2007-03-15",4.05
"51","2007-03-16",4.05
"52","2007-03-19",4.02
"53","2007-03-20",4.05
"54","2007-03-21",4.38
"55","2007-03-22",4.5
"56","2007-03-23",4.47
"57","2007-03-26",4.38
"58","2007-03-27",4.47
"59","2007-03-28",4.65
"60","2007-03-29",4.38
"61","2007-03-30",4.53
"62","2007-04-02",4.41
"63","2007-04-03",4.47
"64","2007-04-04",4.65
"65","2007-04-05",4.5
"66","2007-04-09",4.56
"67","2007-04-10",4.56
"68","2007-04-11",4.44
"69","2007-04-12",4.5
"70","2007-04-13",4.5
"71","2007-04-16",4.8
"72","2007-04-17",5.16
"73","2007-04-18",5.34
"74","2007-04-19",5.43
"75","2007-04-20",5.19
"76","2007-04-23",5.22
"77","2007-04-24",4.95
"78","2007-04-25",5.13
"79","2007-04-26",5.1
"80","2007-04-27",5.07
"81","2007-04-30",5.1
"82","2007-05-01",5.16
"83","2007-05-02",5.1
"84","2007-05-03",5.01
"85","2007-05-04",5.1
"86","2007-05-07",5.25
"87","2007-05-08",5.73
"88","2007-05-09",5.82
"89","2007-05-10",5.58
"90","2007-05-11",5.82
"91","2007-05-14",5.7
"92","2007-05-15",5.58
"93","2007-05-16",5.43
"94","2007-05-17",5.61
"95","2007-05-18",5.85
"96","2007-05-21",6
"97","2007-05-22",6.15
"98","2007-05-23",5.88
"99","2007-05-24",5.76
"100","2007-05-25",5.82
"101","2007-05-29",5.91
"102","2007-05-30",5.91
"103","2007-05-31",5.85
"104","2007-06-01",5.76
"105","2007-06-04",5.79
"106","2007-06-05",5.97
"107","2007-06-06",5.91
"108","2007-06-07",5.82
"109","2007-06-08",5.79
"110","2007-06-11",5.82
"111","2007-06-12",5.58
"112","2007-06-13",5.55
"113","2007-06-14",5.61
"114","2007-06-15",5.82
"115","2007-06-18",5.64
"116","2007-06-19",5.76
"117","2007-06-20",5.61
"118","2007-06-21",5.61
"119","2007-06-22",5.49
"120","2007-06-25",5.46
"121","2007-06-26",5.43
"122","2007-06-27",5.52
"123","2007-06-28",5.58
"124","2007-06-29",5.64
"125","2007-07-02",5.94
"126","2007-07-03",6.06
"127","2007-07-05",6
"128","2007-07-06",6.03
"129","2007-07-09",6.48
"130","2007-07-10",6.84
"131","2007-07-11",7.08
"132","2007-07-12",7.35
"133","2007-07-13",7.44
"134","2007-07-16",7.2
"135","2007-07-17",7.2
"136","2007-07-18",7.02
"137","2007-07-19",6.87
"138","2007-07-20",6.54
"139","2007-07-23",6.66
"140","2007-07-24",6.39
"141","2007-07-25",6.27
"142","2007-07-26",6.12
"143","2007-07-27",6.12
"144","2007-07-30",6.12
"145","2007-07-31",6.33
"146","2007-08-01",5.76
"147","2007-08-02",5.85
"148","2007-08-03",5.82
"149","2007-08-06",5.58
"150","2007-08-07",5.67
"151","2007-08-08",6.21
"152","2007-08-09",6.18
"153","2007-08-10",6.09
"154","2007-08-13",6.09
"155","2007-08-14",5.97
"156","2007-08-15",5.64
"157","2007-08-16",4.89
"158","2007-08-17",5.16
"159","2007-08-20",5.37
"160","2007-08-21",5.55
"161","2007-08-22",5.52
"162","2007-08-23",5.52
"163","2007-08-24",5.76
"164","2007-08-27",5.7
"165","2007-08-28",5.58
"166","2007-08-29",5.7
"167","2007-08-30",5.7
"168","2007-08-31",5.73
"169","2007-09-04",5.82
"170","2007-09-05",5.73
"171","2007-09-06",5.97
"172","2007-09-07",5.94
"173","2007-09-10",5.7
"174","2007-09-11",5.73
"175","2007-09-12",5.7
"176","2007-09-13",5.67
"177","2007-09-14",5.76
"178","2007-09-17",5.73
"179","2007-09-18",5.64
"180","2007-09-19",5.94
"181","2007-09-20",5.91
"182","2007-09-21",5.79
"183","2007-09-24",5.64
"184","2007-09-25",5.82
"185","2007-09-26",5.88
"186","2007-09-27",5.88
"187","2007-09-28",5.94
"188","2007-10-01",6.03
"189","2007-10-02",5.97
"190","2007-10-03",5.91
"191","2007-10-04",5.85
"192","2007-10-05",5.94
"193","2007-10-08",5.94
"194","2007-10-09",5.73
"195","2007-10-10",5.91
"196","2007-10-11",5.73
"197","2007-10-12",5.94
"198","2007-10-15",6.21
"199","2007-10-16",6.3
"200","2007-10-17",6.6
"201","2007-10-18",6.9
"202","2007-10-19",6.63
"203","2007-10-22",6.6
"204","2007-10-23",7.14
"205","2007-10-24",7.29
"206","2007-10-25",7.41
"207","2007-10-26",7.32
"208","2007-10-29",7.29
"209","2007-10-30",6.9
"210","2007-10-31",7.11
"211","2007-11-01",6.84
"212","2007-11-02",7.2
"213","2007-11-05",7.08
"214","2007-11-06",6.78
"215","2007-11-07",6.78
"216","2007-11-08",6.3
"217","2007-11-09",6.63
"218","2007-11-12",6.33
"219","2007-11-13",6.63
"220","2007-11-14",6.6
"221","2007-11-15",6.6
"222","2007-11-16",6.42
"223","2007-11-19",6.33
"224","2007-11-20",6.45
"225","2007-11-21",6.27
"226","2007-11-23",6.45
"227","2007-11-26",6.36
"228","2007-11-27",6.36
"229","2007-11-28",6.33
"230","2007-11-29",6.24
"231","2007-11-30",6.15
"232","2007-12-03",6.27
"233","2007-12-04",6.12
"234","2007-12-05",6.21
"235","2007-12-06",6.27
"236","2007-12-07",6.75
"237","2007-12-10",6.72
"238","2007-12-11",6.36
"239","2007-12-12",6.33
"240","2007-12-13",6.66
"241","2007-12-14",6.6
"242","2007-12-17",6
"243","2007-12-18",6.18
"244","2007-12-19",6.33
"245","2007-12-20",6.42
"246","2007-12-21",6.36
"247","2007-12-24",6.48
"248","2007-12-26",6.45
"249","2007-12-27",6.45
"250","2007-12-28",6.18
"251","2007-12-31",6.06
"252","2008-01-02",6.22
"253","2008-01-03",6.1
"254","2008-01-04",6.15
"255","2008-01-07",5.86
"256","2008-01-08",6
"257","2008-01-09",5.58
"258","2008-01-10",5.45
"259","2008-01-11",5.52
"260","2008-01-14",5.44
"261","2008-01-15",5.05
"262","2008-01-16",5.05
"263","2008-01-17",4.41
"264","2008-01-18",4.09
"265","2008-01-22",3.8
"266","2008-01-23",4.11
"267","2008-01-24",4.3
"268","2008-01-25",4.16
"269","2008-01-28",4.39
"270","2008-01-29",4.39
"271","2008-01-30",4.21
"272","2008-01-31",4.21
"273","2008-02-01",4.2
"274","2008-02-04",4.42
"275","2008-02-05",4.73
"276","2008-02-06",4.5
"277","2008-02-07",4.45
"278","2008-02-08",4.75
"279","2008-02-11",4.64
"280","2008-02-12",4.67
"281","2008-02-13",4.78
"282","2008-02-14",4.69
"283","2008-02-15",4.58
"284","2008-02-19",4.41
"285","2008-02-20",4.23
"286","2008-02-21",4.27
"287","2008-02-22",4.32
"288","2008-02-25",4.37
"289","2008-02-26",4.34
"290","2008-02-27",4.36
"291","2008-02-28",4.4
"292","2008-02-29",4.33
"293","2008-03-03",4.23
"294","2008-03-04",4.15
"295","2008-03-05",4.05
"296","2008-03-06",4.1
"297","2008-03-07",4.04
"298","2008-03-10",3.94
"299","2008-03-11",4.09
"300","2008-03-12",4.16
"301","2008-03-13",4.04
"302","2008-03-14",4
"303","2008-03-17",3.68
"304","2008-03-18",3.94
"305","2008-03-19",4.14
"306","2008-03-20",4.1
"307","2008-03-24",4.22
"308","2008-03-25",4.29
"309","2008-03-26",4.23
"310","2008-03-27",4.16
"311","2008-03-28",4.25
"312","2008-03-31",4.1
"313","2008-04-01",4.3
"314","2008-04-02",4.27
"315","2008-04-03",4.37
"316","2008-04-04",4.4
"317","2008-04-07",4.19
"318","2008-04-08",4.2
"319","2008-04-09",4.1
"320","2008-04-10",4.09
"321","2008-04-11",4.06
"322","2008-04-14",4.01
"323","2008-04-15",4.01
"324","2008-04-16",4.12
"325","2008-04-17",4.18
"326","2008-04-18",4.17
"327","2008-04-21",4.14
"328","2008-04-22",4.04
"329","2008-04-23",4.07
"330","2008-04-24",4.18
"331","2008-04-25",4.15
"332","2008-04-28",4.08
"333","2008-04-29",4.08
"334","2008-04-30",3.92
"335","2008-05-01",3.9
