"","date","OSTK"
"1","2007-01-03",14.78
"2","2007-01-04",15.76
"3","2007-01-05",15.03
"4","2007-01-08",14.91
"5","2007-01-09",14.55
"6","2007-01-10",14.77
"7","2007-01-11",15.1
"8","2007-01-12",15.13
"9","2007-01-16",15.29
"10","2007-01-17",15.18
"11","2007-01-18",14.49
"12","2007-01-19",14.43
"13","2007-01-22",15.36
"14","2007-01-23",14.49
"15","2007-01-24",14.83
"16","2007-01-25",14.71
"17","2007-01-26",14.56
"18","2007-01-29",14.8
"19","2007-01-30",14.78
"20","2007-01-31",14.72
"21","2007-02-01",14.6
"22","2007-02-02",15.11
"23","2007-02-05",14.66
"24","2007-02-06",17.9
"25","2007-02-07",17.08
"26","2007-02-08",17.26
"27","2007-02-09",17.09
"28","2007-02-12",17.809999
"29","2007-02-13",17.65
"30","2007-02-14",17.6
"31","2007-02-15",17.74
"32","2007-02-16",18.24
"33","2007-02-20",19.030001
"34","2007-02-21",18.639999
"35","2007-02-22",19.02
"36","2007-02-23",19.059999
"37","2007-02-26",18.860001
"38","2007-02-27",17.9
"39","2007-02-28",18.190001
"40","2007-03-01",18.129999
"41","2007-03-02",17.59
"42","2007-03-05",17.110001
"43","2007-03-06",17.66
"44","2007-03-07",17.139999
"45","2007-03-08",17.860001
"46","2007-03-09",17.51
"47","2007-03-12",17.48
"48","2007-03-13",17.290001
"49","2007-03-14",17.610001
"50","2007-03-15",17.809999
"51","2007-03-16",17.35
"52","2007-03-19",17.32
"53","2007-03-20",17.549999
"54","2007-03-21",18.450001
"55","2007-03-22",17.870001
"56","2007-03-23",17.889999
"57","2007-03-26",17.549999
"58","2007-03-27",17.290001
"59","2007-03-28",16.610001
"60","2007-03-29",17.030001
"61","2007-03-30",16.6
"62","2007-04-02",16.5
"63","2007-04-03",16.889999
"64","2007-04-04",16.549999
"65","2007-04-05",16.98
"66","2007-04-09",16.82
"67","2007-04-10",16.75
"68","2007-04-11",16.200001
"69","2007-04-12",16.389999
"70","2007-04-13",16.09
"71","2007-04-16",16.809999
"72","2007-04-17",16.879999
"73","2007-04-18",17.42
"74","2007-04-19",17.18
"75","2007-04-20",17.58
"76","2007-04-23",17.58
"77","2007-04-24",17.040001
"78","2007-04-25",17.639999
"79","2007-04-26",19.24
"80","2007-04-27",19.1
"81","2007-04-30",17.950001
"82","2007-05-01",18.23
"83","2007-05-02",17.879999
"84","2007-05-03",17.9
"85","2007-05-04",18.309999
"86","2007-05-07",17.799999
"87","2007-05-08",17.700001
"88","2007-05-09",18.049999
"89","2007-05-10",17.200001
"90","2007-05-11",17.75
"91","2007-05-14",17.17
"92","2007-05-15",16.99
"93","2007-05-16",18.18
"94","2007-05-17",18.469999
"95","2007-05-18",18.139999
"96","2007-05-21",18.01
"97","2007-05-22",18.59
"98","2007-05-23",18.75
"99","2007-05-24",18.459999
"100","2007-05-25",18.4
"101","2007-05-29",18.6
"102","2007-05-30",18.25
"103","2007-05-31",18.42
"104","2007-06-01",18.860001
"105","2007-06-04",18.719999
"106","2007-06-05",18.57
"107","2007-06-06",18.450001
"108","2007-06-07",17.93
"109","2007-06-08",18.049999
"110","2007-06-11",18.389999
"111","2007-06-12",18.209999
"112","2007-06-13",18.610001
"113","2007-06-14",19.110001
"114","2007-06-15",19.34
"115","2007-06-18",19.15
"116","2007-06-19",19
"117","2007-06-20",18.950001
"118","2007-06-21",18.860001
"119","2007-06-22",18.639999
"120","2007-06-25",18.719999
"121","2007-06-26",18.299999
"122","2007-06-27",18.700001
"123","2007-06-28",18.59
"124","2007-06-29",18.27
"125","2007-07-02",18.200001
"126","2007-07-03",19.23
"127","2007-07-05",18.639999
"128","2007-07-06",18.700001
"129","2007-07-09",19.93
"130","2007-07-10",19.23
"131","2007-07-11",19.07
"132","2007-07-12",19.02
"133","2007-07-13",19.290001
"134","2007-07-16",19.219999
"135","2007-07-17",19.620001
"136","2007-07-18",19.969999
"137","2007-07-19",19.690001
"138","2007-07-20",19.59
"139","2007-07-23",19.190001
"140","2007-07-24",18.469999
"141","2007-07-25",18.35
"142","2007-07-26",17.709999
"143","2007-07-27",17.809999
"144","2007-07-30",17.610001
"145","2007-07-31",18.67
"146","2007-08-01",18.99
"147","2007-08-02",19.690001
"148","2007-08-03",20.129999
"149","2007-08-06",20.92
"150","2007-08-07",21.76
"151","2007-08-08",20.77
"152","2007-08-09",21.32
"153","2007-08-10",20.51
"154","2007-08-13",21.52
"155","2007-08-14",20.74
"156","2007-08-15",19.68
"157","2007-08-16",20
"158","2007-08-17",20.42
"159","2007-08-20",20.5
"160","2007-08-21",21.4
"161","2007-08-22",22.709999
"162","2007-08-23",22.15
"163","2007-08-24",22.610001
"164","2007-08-27",22.23
"165","2007-08-28",21.809999
"166","2007-08-29",22.559999
"167","2007-08-30",22.26
"168","2007-08-31",22.209999
"169","2007-09-04",23.49
"170","2007-09-05",22.65
"171","2007-09-06",23.049999
"172","2007-09-07",22.77
"173","2007-09-10",22.83
"174","2007-09-11",23.299999
"175","2007-09-12",23.639999
"176","2007-09-13",24.040001
"177","2007-09-14",24.17
"178","2007-09-17",24.08
"179","2007-09-18",25.57
"180","2007-09-19",27.17
"181","2007-09-20",26.67
"182","2007-09-21",27.74
"183","2007-09-24",27.42
"184","2007-09-25",27.76
"185","2007-09-26",28.1
"186","2007-09-27",28.23
"187","2007-09-28",28.799999
"188","2007-10-01",31.799999
"189","2007-10-02",33.380001
"190","2007-10-03",32.73
"191","2007-10-04",31.67
"192","2007-10-05",32.290001
"193","2007-10-08",32.099998
"194","2007-10-09",32.549999
"195","2007-10-10",34.540001
"196","2007-10-11",34
"197","2007-10-12",34.919998
"198","2007-10-15",34.02
"199","2007-10-16",30.41
"200","2007-10-17",29.59
"201","2007-10-18",29.65
"202","2007-10-19",32.040001
"203","2007-10-22",34.709999
"204","2007-10-23",35.459999
"205","2007-10-24",34.650002
"206","2007-10-25",34.639999
"207","2007-10-26",35.549999
"208","2007-10-29",38
"209","2007-10-30",37.380001
"210","2007-10-31",39.130001
"211","2007-11-01",36.73
"212","2007-11-02",36.630001
"213","2007-11-05",35.849998
