"","date","MOD"
"1","2007-01-03",25.27
"2","2007-01-04",25.33
"3","2007-01-05",24.860001
"4","2007-01-08",25.469999
"5","2007-01-09",26.299999
"6","2007-01-10",26.030001
"7","2007-01-11",26.889999
"8","2007-01-12",27.27
"9","2007-01-16",27.219999
"10","2007-01-17",26.969999
"11","2007-01-18",26.370001
"12","2007-01-19",27.16
"13","2007-01-22",26.870001
"14","2007-01-23",27.450001
"15","2007-01-24",27.99
"16","2007-01-25",27.23
"17","2007-01-26",27.42
"18","2007-01-29",27.690001
"19","2007-01-30",27.65
"20","2007-01-31",26.16
"21","2007-02-01",26.23
"22","2007-02-02",26.48
"23","2007-02-05",26.6
"24","2007-02-06",26.719999
"25","2007-02-07",26.77
"26","2007-02-08",26.889999
"27","2007-02-09",26.299999
"28","2007-02-12",26.07
"29","2007-02-13",26.16
"30","2007-02-14",26.35
"31","2007-02-15",26.370001
"32","2007-02-16",26.75
"33","2007-02-20",27.07
"34","2007-02-21",27.040001
"35","2007-02-22",26.9
"36","2007-02-23",26.690001
"37","2007-02-26",26.459999
"38","2007-02-27",25
"39","2007-02-28",24.67
"40","2007-03-01",24.91
"41","2007-03-02",24.129999
"42","2007-03-05",23.620001
"43","2007-03-06",24.459999
"44","2007-03-07",24.389999
"45","2007-03-08",24.790001
"46","2007-03-09",25.09
"47","2007-03-12",25.6
"48","2007-03-13",24.73
"49","2007-03-14",25.18
"50","2007-03-15",25.42
"51","2007-03-16",25.4
"52","2007-03-19",25.85
"53","2007-03-20",26.200001
"54","2007-03-21",26.42
"55","2007-03-22",23.959999
"56","2007-03-23",23.48
"57","2007-03-26",23.790001
"58","2007-03-27",23.139999
"59","2007-03-28",23.23
"60","2007-03-29",23.129999
"61","2007-03-30",22.9
"62","2007-04-02",22.860001
"63","2007-04-03",23.360001
"64","2007-04-04",23.530001
"65","2007-04-05",23.68
"66","2007-04-09",23.5
"67","2007-04-10",23.65
"68","2007-04-11",23.309999
"69","2007-04-12",23.129999
"70","2007-04-13",22.969999
"71","2007-04-16",23.84
"72","2007-04-17",23.57
"73","2007-04-18",23.51
"74","2007-04-19",23.4
"75","2007-04-20",23.9
"76","2007-04-23",23.65
"77","2007-04-24",23.74
"78","2007-04-25",24.209999
"79","2007-04-26",24.459999
"80","2007-04-27",24.09
"81","2007-04-30",23.129999
"82","2007-05-01",23.27
"83","2007-05-02",23.25
