"","date","YAC"
"1","2020-09-25",9.85
"2","2020-09-28",10
"3","2020-09-29",9.92
"4","2020-09-30",9.93
"5","2020-10-01",9.87
"6","2020-10-02",9.87
"7","2020-10-05",9.993
"8","2020-10-06",9.94
"9","2020-10-07",9.87
"10","2020-10-08",9.84
"11","2020-10-09",9.8
"12","2020-10-12",9.8
"13","2020-10-13",9.9
"14","2020-10-14",9.93
"15","2020-10-15",9.91
"16","2020-10-16",9.91
"17","2020-10-19",9.914
"18","2020-10-20",9.95
"19","2020-10-21",9.855
"20","2020-10-22",9.85
"21","2020-10-23",9.85
"22","2020-10-26",9.85
"23","2020-10-27",9.8
"24","2020-10-28",9.72
"25","2020-10-29",9.68
"26","2020-10-30",9.66
"27","2020-11-02",9.705
"28","2020-11-03",9.66
"29","2020-11-04",9.65
"30","2020-11-05",9.76
"31","2020-11-06",9.8
"32","2020-11-09",9.85
"33","2020-11-10",9.85
"34","2020-11-11",9.81
"35","2020-11-12",9.59
"36","2020-11-13",9.76
"37","2020-11-16",9.73
"38","2020-11-17",9.755
"39","2020-11-18",9.86
"40","2020-11-19",9.86
"41","2020-11-20",9.85
"42","2020-11-23",9.81
"43","2020-11-24",9.97
"44","2020-11-25",10.05
"45","2020-11-27",10.05
