"","date","GHIV"
"1","2020-03-25",9.3
"2","2020-03-26",9.3
"3","2020-03-27",9.3
"4","2020-03-30",9.3
"5","2020-03-31",9.3
"6","2020-04-01",9.3
"7","2020-04-02",9.3
"8","2020-04-03",9.3
"9","2020-04-06",9.3
"10","2020-04-07",9.3
"11","2020-04-08",9.6
"12","2020-04-09",9.61
"13","2020-04-13",9.61
"14","2020-04-14",9.61
"15","2020-04-15",9.716
"16","2020-04-16",9.8
"17","2020-04-17",9.8
"18","2020-04-20",9.8
"19","2020-04-21",9.78
"20","2020-04-22",9.805
"21","2020-04-23",9.77
"22","2020-04-24",9.77
"23","2020-04-27",9.75
"24","2020-04-28",9.901
"25","2020-04-29",9.901
"26","2020-04-30",10.148
"27","2020-05-01",9.78
"28","2020-05-04",10.26
"29","2020-05-05",10.2
"30","2020-05-06",10.2
"31","2020-05-07",10
"32","2020-05-08",10
"33","2020-05-11",10
"34","2020-05-12",10
"35","2020-05-13",10.05
"36","2020-05-14",9.96
"37","2020-05-15",9.96
"38","2020-05-18",9.96
"39","2020-05-19",10.05
"40","2020-05-20",10.05
"41","2020-05-21",10.05
"42","2020-05-22",10.05
"43","2020-05-26",10.05
"44","2020-05-27",10.05
"45","2020-05-28",10.047
"46","2020-05-29",9.983
"47","2020-06-01",10.04
"48","2020-06-02",10.04
"49","2020-06-03",10.05
"50","2020-06-04",10.021
"51","2020-06-05",9.95
"52","2020-06-08",9.95
"53","2020-06-09",10.045
"54","2020-06-10",10.05
"55","2020-06-11",10
"56","2020-06-12",10.04
"57","2020-06-15",10.04
"58","2020-06-16",10
"59","2020-06-17",10.1
"60","2020-06-18",10
"61","2020-06-19",10
"62","2020-06-22",10.026
"63","2020-06-23",10.02
"64","2020-06-24",10.09
"65","2020-06-25",10.23
"66","2020-06-26",10.24
"67","2020-06-29",10.04
"68","2020-06-30",10.14
"69","2020-07-01",10.2
"70","2020-07-02",10.2
"71","2020-07-06",10.2
"72","2020-07-07",10.2
"73","2020-07-08",10.2
"74","2020-07-09",10.2
"75","2020-07-10",10.35
"76","2020-07-13",10.45
"77","2020-07-14",10.55
"78","2020-07-15",10.38
"79","2020-07-16",10.58
"80","2020-07-17",10.5
"81","2020-07-20",10.36
"82","2020-07-21",10.6
"83","2020-07-22",10.58
"84","2020-07-23",10.74
"85","2020-07-24",10.55
"86","2020-07-27",10.56
"87","2020-07-28",10.56
"88","2020-07-29",10.49
"89","2020-07-30",10.4
"90","2020-07-31",10.26
"91","2020-08-03",10.35
"92","2020-08-04",10.49
"93","2020-08-05",10.47
"94","2020-08-06",10.5
"95","2020-08-07",10.57
"96","2020-08-10",10.69
"97","2020-08-11",10.785
"98","2020-08-12",10.833
"99","2020-08-13",10.58
"100","2020-08-14",10.59
"101","2020-08-17",10.59
"102","2020-08-18",10.37
"103","2020-08-19",10.35
"104","2020-08-20",10.46
"105","2020-08-21",10.39
"106","2020-08-24",10.5
"107","2020-08-25",10.5
"108","2020-08-26",10.5
"109","2020-08-27",10.47
"110","2020-08-28",10.72
"111","2020-08-31",10.54
"112","2020-09-01",10.5
"113","2020-09-02",10.88
"114","2020-09-03",10.51
"115","2020-09-04",10.6
"116","2020-09-08",10.75
"117","2020-09-09",10.8
"118","2020-09-10",10.78
"119","2020-09-11",10.8
"120","2020-09-14",10.8
"121","2020-09-15",10.69
"122","2020-09-16",10.76
"123","2020-09-17",10.85
"124","2020-09-18",11
"125","2020-09-21",10.94
"126","2020-09-22",10.81
"127","2020-09-23",10.45
"128","2020-09-24",10.2
"129","2020-09-25",10.35
"130","2020-09-28",10.46
"131","2020-09-29",10.45
"132","2020-09-30",10.31
"133","2020-10-01",10.17
"134","2020-10-02",10.13
"135","2020-10-05",10.03
"136","2020-10-06",10.05
"137","2020-10-07",9.99
"138","2020-10-08",9.99
"139","2020-10-09",9.98
"140","2020-10-12",9.99
"141","2020-10-13",10
"142","2020-10-14",10
"143","2020-10-15",10.005
"144","2020-10-16",10.01
"145","2020-10-19",10.03
"146","2020-10-20",10.03
"147","2020-10-21",9.98
"148","2020-10-22",9.95
"149","2020-10-23",9.93
"150","2020-10-26",9.94
"151","2020-10-27",9.94
"152","2020-10-28",9.91
"153","2020-10-29",9.9
"154","2020-10-30",9.95
"155","2020-11-02",9.92
"156","2020-11-03",9.93
"157","2020-11-04",9.93
"158","2020-11-05",9.95
"159","2020-11-06",9.92
"160","2020-11-09",9.93
"161","2020-11-10",9.93
"162","2020-11-11",9.96
"163","2020-11-12",9.98
"164","2020-11-13",9.99
"165","2020-11-16",9.99
"166","2020-11-17",9.99
"167","2020-11-18",10
"168","2020-11-19",10.02
"169","2020-11-20",10.06
"170","2020-11-23",10.03
"171","2020-11-24",10.03
"172","2020-11-25",10.04
"173","2020-11-27",10.13
