"","date","RTLR"
"1","2019-05-23",19.24
"2","2019-05-24",18.9
"3","2019-05-28",19.209999
"4","2019-05-29",19.059999
"5","2019-05-30",18.91
"6","2019-05-31",18.719999
"7","2019-06-03",18.65
"8","2019-06-04",19
"9","2019-06-05",18.9
"10","2019-06-06",18.77
"11","2019-06-07",18.9
"12","2019-06-10",18.950001
"13","2019-06-11",19.360001
"14","2019-06-12",19.360001
"15","2019-06-13",19.450001
"16","2019-06-14",19.209999
"17","2019-06-17",18.959999
"18","2019-06-18",19
"19","2019-06-19",19.1
"20","2019-06-20",19.15
"21","2019-06-21",19.309999
"22","2019-06-24",19.23
"23","2019-06-25",19.290001
"24","2019-06-26",19.809999
"25","2019-06-27",19.940001
"26","2019-06-28",19.389999
"27","2019-07-01",19.700001
"28","2019-07-02",19.57
"29","2019-07-03",19.33
"30","2019-07-05",19.379999
"31","2019-07-08",19.25
"32","2019-07-09",19.549999
"33","2019-07-10",19.889999
"34","2019-07-11",19.9
"35","2019-07-12",19.73
"36","2019-07-15",19.82
"37","2019-07-16",19.450001
"38","2019-07-17",18.969999
"39","2019-07-18",18.639999
"40","2019-07-19",19.049999
"41","2019-07-22",19.219999
"42","2019-07-23",18.799999
"43","2019-07-24",18.76
"44","2019-07-25",19.025
"45","2019-07-26",18.9
"46","2019-07-29",19.120001
"47","2019-07-30",18.77
"48","2019-07-31",18.540001
"49","2019-08-01",17.969999
"50","2019-08-02",18.5
"51","2019-08-05",17.620001
"52","2019-08-06",17.18
"53","2019-08-07",16.92
"54","2019-08-08",17.26
"55","2019-08-09",17.99
"56","2019-08-12",18.08
"57","2019-08-13",18.629999
"58","2019-08-14",17.620001
"59","2019-08-15",17.48
"60","2019-08-16",17.68
"61","2019-08-19",18.33
"62","2019-08-20",18.1
"63","2019-08-21",18.190001
"64","2019-08-22",17.950001
"65","2019-08-23",17.52
"66","2019-08-26",17.379999
"67","2019-08-27",17.35
"68","2019-08-28",17.76
"69","2019-08-29",18.059999
"70","2019-08-30",18.309999
"71","2019-09-03",18.290001
"72","2019-09-04",18.5
"73","2019-09-05",18.530001
"74","2019-09-06",18.5
"75","2019-09-09",18.58
"76","2019-09-10",18.969999
"77","2019-09-11",18.540001
"78","2019-09-12",18.690001
"79","2019-09-13",18.83
"80","2019-09-16",18.74
"81","2019-09-17",18.620001
"82","2019-09-18",18.65
"83","2019-09-19",18.34
"84","2019-09-20",18.65
"85","2019-09-23",18.25
"86","2019-09-24",18.370001
"87","2019-09-25",18.190001
"88","2019-09-26",18.16
"89","2019-09-27",18.049999
"90","2019-09-30",17.82
"91","2019-10-01",17.200001
"92","2019-10-02",17.25
