"","date","DAO"
"1","2019-10-25",12.5
"2","2019-10-28",12.4
"3","2019-10-29",13.75
"4","2019-10-30",15
"5","2019-10-31",15
"6","2019-11-01",14.83
"7","2019-11-04",15
"8","2019-11-05",15.47
"9","2019-11-06",14.91
"10","2019-11-07",15
"11","2019-11-08",14.79
"12","2019-11-11",14.52
"13","2019-11-12",14.27
"14","2019-11-13",13.83
"15","2019-11-14",13.1
"16","2019-11-15",13.48
"17","2019-11-18",13.35
"18","2019-11-19",13.75
"19","2019-11-20",13.45
"20","2019-11-21",13.97
"21","2019-11-22",13.96
"22","2019-11-25",13.74
"23","2019-11-26",13.74
"24","2019-11-27",13.8
"25","2019-11-29",13.64
"26","2019-12-02",14
"27","2019-12-03",13.82
"28","2019-12-04",14
"29","2019-12-05",13.99
"30","2019-12-06",14.09
"31","2019-12-09",14.08
"32","2019-12-10",14.21
"33","2019-12-11",14.36
"34","2019-12-12",14.28
"35","2019-12-13",14.66
"36","2019-12-16",13.73
"37","2019-12-17",13.88
"38","2019-12-18",14.04
"39","2019-12-19",14.2
"40","2019-12-20",14.19
"41","2019-12-23",13.99
"42","2019-12-24",13.88
"43","2019-12-26",14.1
"44","2019-12-27",13.93
"45","2019-12-30",14.01
"46","2019-12-31",14.08
"47","2020-01-02",15
"48","2020-01-03",14.35
"49","2020-01-06",14.92
"50","2020-01-07",15.93
"51","2020-01-08",15.72
"52","2020-01-09",15.88
"53","2020-01-10",15.85
"54","2020-01-13",16.5
"55","2020-01-14",16
"56","2020-01-15",15.87
"57","2020-01-16",16.15
"58","2020-01-17",16.1
"59","2020-01-21",16
"60","2020-01-22",16.059999
"61","2020-01-23",15.68
"62","2020-01-24",16.1
"63","2020-01-27",16.139999
"64","2020-01-28",16.129999
"65","2020-01-29",16.02
"66","2020-01-30",15.71
"67","2020-01-31",15.77
"68","2020-02-03",15.9
"69","2020-02-04",16
"70","2020-02-05",16.211
"71","2020-02-06",16.379999
"72","2020-02-07",21.15
"73","2020-02-10",29.5
"74","2020-02-11",21.5
"75","2020-02-12",24
"76","2020-02-13",23.110001
"77","2020-02-14",23.1
"78","2020-02-18",22.219999
"79","2020-02-19",25.4
"80","2020-02-20",25.049999
"81","2020-02-21",23.84
"82","2020-02-24",25.360001
"83","2020-02-25",25.219999
"84","2020-02-26",26.040001
"85","2020-02-27",25
"86","2020-02-28",24.85
"87","2020-03-02",23.42
"88","2020-03-03",22.98
"89","2020-03-04",23.360001
"90","2020-03-05",23.190001
"91","2020-03-06",23
"92","2020-03-09",22.35
"93","2020-03-10",22.110001
"94","2020-03-11",21.1
"95","2020-03-12",19.27
"96","2020-03-13",19.690001
"97","2020-03-16",17.65
"98","2020-03-17",17.209999
"99","2020-03-18",15.34
"100","2020-03-19",16.57
"101","2020-03-20",16.940001
"102","2020-03-23",16.610001
"103","2020-03-24",18.700001
"104","2020-03-25",19.16
"105","2020-03-26",19.129999
"106","2020-03-27",18.360001
"107","2020-03-30",18.43
"108","2020-03-31",21.040001
"109","2020-04-01",20.700001
"110","2020-04-02",19.370001
"111","2020-04-03",20.450001
"112","2020-04-06",20.540001
"113","2020-04-07",20.209999
"114","2020-04-08",18.889999
"115","2020-04-09",19.57
"116","2020-04-13",20
"117","2020-04-14",19.530001
"118","2020-04-15",19.799999
"119","2020-04-16",20.65
"120","2020-04-17",20.059999
"121","2020-04-20",19.379999
"122","2020-04-21",20.299999
"123","2020-04-22",20.5
"124","2020-04-23",19.690001
"125","2020-04-24",19.379999
"126","2020-04-27",20.49
"127","2020-04-28",20.33
"128","2020-04-29",21.120001
"129","2020-04-30",20.77
"130","2020-05-01",19.549999
"131","2020-05-04",20.440001
"132","2020-05-05",20.969999
"133","2020-05-06",20.42
"134","2020-05-07",20.91
"135","2020-05-08",21.33
"136","2020-05-11",22.99
"137","2020-05-12",24.09
"138","2020-05-13",22.799999
"139","2020-05-14",22.9
"140","2020-05-15",23.41
"141","2020-05-18",23.629999
"142","2020-05-19",26.370001
"143","2020-05-20",24.75
"144","2020-05-21",24.059999
"145","2020-05-22",24.48
"146","2020-05-26",24.040001
"147","2020-05-27",22.83
"148","2020-05-28",22.07
"149","2020-05-29",22.469999
"150","2020-06-01",23.35
"151","2020-06-02",23.73
"152","2020-06-03",24.98
"153","2020-06-04",25
"154","2020-06-05",26.440001
"155","2020-06-08",26.08
"156","2020-06-09",25.65
"157","2020-06-10",26.09
"158","2020-06-11",25.98
"159","2020-06-12",26.219999
"160","2020-06-15",30
"161","2020-06-16",31.32
"162","2020-06-17",35.73
"163","2020-06-18",34.59
"164","2020-06-19",34.700001
"165","2020-06-22",34.5
"166","2020-06-23",37
"167","2020-06-24",35.860001
"168","2020-06-25",36
"169","2020-06-26",36
"170","2020-06-29",37.09
"171","2020-06-30",37.5
"172","2020-07-01",35.919998
"173","2020-07-02",35.540001
"174","2020-07-06",37.810001
"175","2020-07-07",36.380001
"176","2020-07-08",38.419998
"177","2020-07-09",39
"178","2020-07-10",39.689999
"179","2020-07-13",39.200001
"180","2020-07-14",38
"181","2020-07-15",38.700001
"182","2020-07-16",36.68
"183","2020-07-17",37.080002
"184","2020-07-20",37.950001
"185","2020-07-21",41.970001
"186","2020-07-22",38.48
"187","2020-07-23",37.200001
"188","2020-07-24",36.360001
"189","2020-07-27",38.43
"190","2020-07-28",40.669998
"191","2020-07-29",39.549999
"192","2020-07-30",40.59
"193","2020-07-31",42.310001
"194","2020-08-03",46.009998
"195","2020-08-04",44.93
"196","2020-08-05",44.43
"197","2020-08-06",45.009998
"198","2020-08-07",43.299999
"199","2020-08-10",41.349998
"200","2020-08-11",40.189999
"201","2020-08-12",41.200001
"202","2020-08-13",38.599998
"203","2020-08-14",35.919998
"204","2020-08-17",36.02
"205","2020-08-18",36.91
"206","2020-08-19",37.279999
"207","2020-08-20",36.299999
"208","2020-08-21",33.900002
"209","2020-08-24",33.02
"210","2020-08-25",33.279999
"211","2020-08-26",31.780001
"212","2020-08-27",31.34
