"","date","DLTH"
"1","2015-11-20",13.65
"2","2015-11-23",14.16
"3","2015-11-24",14.3
"4","2015-11-25",14.33
"5","2015-11-27",14.21
"6","2015-11-30",14.35
"7","2015-12-01",15.47
"8","2015-12-02",15.04
"9","2015-12-03",15.32
"10","2015-12-04",15.98
"11","2015-12-07",16
"12","2015-12-08",15.94
"13","2015-12-09",15.96
"14","2015-12-10",16.200001
"15","2015-12-11",16.440001
"16","2015-12-14",15.95
"17","2015-12-15",16.15
"18","2015-12-16",16.360001
"19","2015-12-17",15.7
"20","2015-12-18",14.62
"21","2015-12-21",14.69
"22","2015-12-22",13.94
"23","2015-12-23",14.54
"24","2015-12-24",14.47
"25","2015-12-28",14.74
"26","2015-12-29",14.89
"27","2015-12-30",14.57
"28","2015-12-31",14.59
"29","2016-01-04",14.73
"30","2016-01-05",14.68
"31","2016-01-06",14.96
"32","2016-01-07",14.91
"33","2016-01-08",13.99
"34","2016-01-11",14.95
"35","2016-01-12",15.04
"36","2016-01-13",14.36
"37","2016-01-14",14.6
"38","2016-01-15",14.16
"39","2016-01-19",14.08
"40","2016-01-20",14.51
"41","2016-01-21",14.75
"42","2016-01-22",15.56
"43","2016-01-25",15.63
"44","2016-01-26",16.68
"45","2016-01-27",17.27
"46","2016-01-28",16.5
"47","2016-01-29",16.51
"48","2016-02-01",16.459999
"49","2016-02-02",16.35
"50","2016-02-03",15.45
"51","2016-02-04",14.77
"52","2016-02-05",14.09
"53","2016-02-08",14.38
"54","2016-02-09",14.03
"55","2016-02-10",14.35
"56","2016-02-11",14.39
"57","2016-02-12",14.99
"58","2016-02-16",15.32
"59","2016-02-17",16.309999
"60","2016-02-18",16.18
"61","2016-02-19",16.780001
"62","2016-02-22",16.9
"63","2016-02-23",16.23
"64","2016-02-24",16.559999
"65","2016-02-25",17.290001
"66","2016-02-26",17.309999
"67","2016-02-29",16.549999
"68","2016-03-01",17
"69","2016-03-02",16.620001
"70","2016-03-03",16.690001
"71","2016-03-04",16.84
"72","2016-03-07",17.25
"73","2016-03-08",17.35
"74","2016-03-09",17.67
"75","2016-03-10",17.709999
"76","2016-03-11",18.370001
"77","2016-03-14",18.73
"78","2016-03-15",18.629999
"79","2016-03-16",19.280001
"80","2016-03-17",19.66
"81","2016-03-18",19.77
"82","2016-03-21",20.26
"83","2016-03-22",19.98
"84","2016-03-23",19.18
"85","2016-03-24",19.4
"86","2016-03-28",19.08
"87","2016-03-29",19.5
"88","2016-03-30",19.41
"89","2016-03-31",19.49
"90","2016-04-01",19.889999
"91","2016-04-04",19.450001
"92","2016-04-05",17.27
"93","2016-04-06",17.389999
"94","2016-04-07",17.82
"95","2016-04-08",21.73
"96","2016-04-11",22.66
"97","2016-04-12",21.6
"98","2016-04-13",22.309999
"99","2016-04-14",22.379999
"100","2016-04-15",24.690001
"101","2016-04-18",25.059999
"102","2016-04-19",24.66
"103","2016-04-20",24.59
"104","2016-04-21",24.83
"105","2016-04-22",25.059999
"106","2016-04-25",23.969999
"107","2016-04-26",24.709999
"108","2016-04-27",24.459999
"109","2016-04-28",24.58
"110","2016-04-29",23.790001
"111","2016-05-02",23.75
