"","date","UDR"
"1","2007-01-03",31.809999
"2","2007-01-04",31.450001
"3","2007-01-05",30.969999
"4","2007-01-08",30.73
"5","2007-01-09",31.09
"6","2007-01-10",31.389999
"7","2007-01-11",31.75
"8","2007-01-12",31.940001
"9","2007-01-16",32.48
"10","2007-01-17",32.41
"11","2007-01-18",32.060001
"12","2007-01-19",32.259998
"13","2007-01-22",32.09
"14","2007-01-23",32.09
"15","2007-01-24",32.509998
"16","2007-01-25",32.560001
"17","2007-01-26",32.389999
"18","2007-01-29",32.5
"19","2007-01-30",32.41
"20","2007-01-31",32.790001
"21","2007-02-01",32.82
"22","2007-02-02",32.869999
"23","2007-02-05",32.900002
"24","2007-02-06",33.43
"25","2007-02-07",33.830002
"26","2007-02-08",33.759998
"27","2007-02-09",33.720001
"28","2007-02-12",33.259998
"29","2007-02-13",33.849998
"30","2007-02-14",33.639999
"31","2007-02-15",33.84
"32","2007-02-16",33.599998
"33","2007-02-20",33.950001
"34","2007-02-21",33.91
"35","2007-02-22",33.810001
"36","2007-02-23",33.27
"37","2007-02-26",33.27
"38","2007-02-27",32.490002
"39","2007-02-28",32.650002
"40","2007-03-01",32.23
"41","2007-03-02",31.74
"42","2007-03-05",30.530001
"43","2007-03-06",31.110001
"44","2007-03-07",30.559999
"45","2007-03-08",31.059999
"46","2007-03-09",31.309999
"47","2007-03-12",31.34
"48","2007-03-13",30.48
"49","2007-03-14",30.709999
"50","2007-03-15",31.110001
"51","2007-03-16",31.040001
"52","2007-03-19",30.99
"53","2007-03-20",31.280001
"54","2007-03-21",31.65
"55","2007-03-22",31.84
"56","2007-03-23",31.780001
"57","2007-03-26",31.219999
"58","2007-03-27",30.66
"59","2007-03-28",30.440001
"60","2007-03-29",30.290001
"61","2007-03-30",30.620001
"62","2007-04-02",30.639999
"63","2007-04-03",30.9
"64","2007-04-04",30.75
"65","2007-04-05",30.76
"66","2007-04-09",30.76
"67","2007-04-10",30.799999
"68","2007-04-11",30.190001
"69","2007-04-12",29.84
"70","2007-04-13",30.17
"71","2007-04-16",30.25
"72","2007-04-17",30.75
"73","2007-04-18",30.66
"74","2007-04-19",30.43
"75","2007-04-20",30.780001
"76","2007-04-23",31.07
"77","2007-04-24",31.059999
"78","2007-04-25",30.969999
"79","2007-04-26",30.700001
"80","2007-04-27",30.48
"81","2007-04-30",30.040001
"82","2007-05-01",29.809999
"83","2007-05-02",29.42
"84","2007-05-03",29.41
"85","2007-05-04",28.950001
"86","2007-05-07",29
"87","2007-05-08",28.99
"88","2007-05-09",29.110001
"89","2007-05-10",28.870001
"90","2007-05-11",29.870001
"91","2007-05-14",29.92
"92","2007-05-15",29.379999
"93","2007-05-16",29.08
"94","2007-05-17",28.57
"95","2007-05-18",28.370001
"96","2007-05-21",28.639999
"97","2007-05-22",29.15
"98","2007-05-23",28.799999
"99","2007-05-24",28.41
"100","2007-05-25",28.549999
"101","2007-05-29",30.059999
"102","2007-05-30",30.67
"103","2007-05-31",30.360001
"104","2007-06-01",30.27
"105","2007-06-04",30.27
"106","2007-06-05",29.73
"107","2007-06-06",29.49
"108","2007-06-07",28.629999
"109","2007-06-08",28.690001
"110","2007-06-11",28.32
"111","2007-06-12",28.1
"112","2007-06-13",28.57
"113","2007-06-14",27.870001
"114","2007-06-15",28.09
"115","2007-06-18",27.629999
"116","2007-06-19",27.700001
"117","2007-06-20",26.879999
"118","2007-06-21",26.969999
"119","2007-06-22",27.049999
"120","2007-06-25",26.42
"121","2007-06-26",26.09
"122","2007-06-27",26.6
"123","2007-06-28",26.35
"124","2007-06-29",26.299999
"125","2007-07-02",26.82
"126","2007-07-03",26.75
"127","2007-07-05",27.459999
"128","2007-07-06",27.51
"129","2007-07-09",27.549999
"130","2007-07-10",27.02
