"","date","RLMD"
"1","2014-06-20",60
"2","2014-06-23",60
"3","2014-06-24",60
"4","2014-06-25",60
"5","2014-06-26",60
"6","2014-06-27",60
"7","2014-06-30",40
"8","2014-07-01",47.799999
"9","2014-07-02",32
"10","2014-07-03",30
"11","2014-07-07",34
"12","2014-07-08",34
"13","2014-07-09",36
"14","2014-07-10",36
"15","2014-07-11",38
"16","2014-07-14",40
"17","2014-07-15",40
"18","2014-07-16",47
"19","2014-07-17",60
"20","2014-07-18",58
"21","2014-07-21",58
"22","2014-07-22",58
"23","2014-07-23",58
"24","2014-07-24",60
"25","2014-07-25",60
"26","2014-07-28",60
"27","2014-07-29",60
"28","2014-07-30",60.400002
"29","2014-07-31",60
"30","2014-08-01",60
"31","2014-08-04",60
"32","2014-08-05",60
"33","2014-08-06",60
"34","2014-08-07",60
"35","2014-08-08",57.200001
"36","2014-08-11",58
"37","2014-08-12",61
"38","2014-08-13",61
"39","2014-08-14",61
"40","2014-08-15",60
"41","2014-08-18",60
"42","2014-08-19",59
"43","2014-08-20",59
"44","2014-08-21",59
"45","2014-08-22",59
"46","2014-08-25",59
"47","2014-08-26",60
"48","2014-08-27",60
"49","2014-08-28",60
"50","2014-08-29",60
"51","2014-09-02",60
"52","2014-09-03",60
"53","2014-09-04",60
"54","2014-09-05",54.799999
"55","2014-09-08",51
"56","2014-09-09",53.799999
"57","2014-09-10",54
"58","2014-09-11",62
"59","2014-09-12",55
"60","2014-09-15",58.599998
"61","2014-09-16",60
"62","2014-09-17",60.599998
"63","2014-09-18",59
"64","2014-09-19",59
"65","2014-09-22",58
"66","2014-09-23",60
"67","2014-09-24",63.799999
"68","2014-09-25",59
"69","2014-09-26",60
"70","2014-09-29",62
"71","2014-09-30",60
"72","2014-10-01",56
"73","2014-10-02",59
"74","2014-10-03",59
"75","2014-10-06",60
"76","2014-10-07",61.799999
"77","2014-10-08",60
"78","2014-10-09",60
"79","2014-10-10",62
"80","2014-10-13",62
"81","2014-10-14",60
"82","2014-10-15",60
"83","2014-10-16",60
"84","2014-10-17",60
"85","2014-10-20",60.200001
"86","2014-10-21",60.400002
"87","2014-10-22",60.400002
"88","2014-10-23",60.400002
"89","2014-10-24",60
"90","2014-10-27",59
"91","2014-10-28",60.200001
"92","2014-10-29",64
"93","2014-10-30",71
"94","2014-10-31",71.599998
"95","2014-11-03",61
