"","date","EC"
"1","2008-09-18",24.75
"2","2008-09-19",27.25
"3","2008-09-22",26.950001
"4","2008-09-23",24.950001
"5","2008-09-24",24.450001
"6","2008-09-25",25.74
"7","2008-09-26",25.5
"8","2008-09-29",23.52
"9","2008-09-30",24
"10","2008-10-01",24.049999
"11","2008-10-02",23.200001
"12","2008-10-03",24.5
"13","2008-10-06",22.389999
"14","2008-10-07",21.299999
"15","2008-10-08",18.799999
"16","2008-10-09",20
"17","2008-10-10",18
"18","2008-10-13",20.77
"19","2008-10-14",20.030001
"20","2008-10-15",18.75
"21","2008-10-16",18.42
"22","2008-10-17",18.5
"23","2008-10-20",19.540001
"24","2008-10-21",18.75
"25","2008-10-22",17.5
"26","2008-10-23",17.42
"27","2008-10-24",15.75
"28","2008-10-27",15.04
"29","2008-10-28",15.99
"30","2008-10-29",17.07
"31","2008-10-30",17
"32","2008-10-31",16.950001
"33","2008-11-03",16.75
"34","2008-11-04",18.200001
"35","2008-11-05",16.75
"36","2008-11-06",16.99
"37","2008-11-07",17.459999
"38","2008-11-10",16.49
"39","2008-11-11",17.030001
"40","2008-11-12",17
"41","2008-11-13",17.1
"42","2008-11-14",17.6
"43","2008-11-17",17.700001
"44","2008-11-18",16.969999
"45","2008-11-19",16
"46","2008-11-20",16.74
"47","2008-11-21",15.2
"48","2008-11-24",17.49
"49","2008-11-25",15.68
"50","2008-11-26",18.1
"51","2008-11-28",17.57
"52","2008-12-01",16.790001
"53","2008-12-02",17.1
"54","2008-12-03",17.389999
"55","2008-12-04",17.01
"56","2008-12-05",17.25
"57","2008-12-08",17.879999
"58","2008-12-09",17.559999
"59","2008-12-10",17.48
"60","2008-12-11",18.200001
"61","2008-12-12",18
"62","2008-12-15",18.6
"63","2008-12-16",19.1
"64","2008-12-17",18.85
"65","2008-12-18",18
"66","2008-12-19",21.5
"67","2008-12-22",19.200001
"68","2008-12-23",19.15
"69","2008-12-24",18.1
"70","2008-12-26",18.4
"71","2008-12-29",17.84
"72","2008-12-30",18.5
"73","2008-12-31",18.370001
"74","2009-01-02",18.4
"75","2009-01-05",19
"76","2009-01-06",19.299999
"77","2009-01-07",18.6
"78","2009-01-08",18.700001
"79","2009-01-09",18.33
"80","2009-01-12",18.35
"81","2009-01-13",18.440001
"82","2009-01-14",18
"83","2009-01-15",17.620001
