"","date","KDP"
"1","2008-05-07",25.5
"2","2008-05-08",25.4
"3","2008-05-09",25.24
"4","2008-05-12",25.57
"5","2008-05-13",25.9
"6","2008-05-14",26.17
"7","2008-05-15",26.030001
"8","2008-05-16",26.5
"9","2008-05-19",26.07
"10","2008-05-20",25.549999
"11","2008-05-21",25.51
"12","2008-05-22",25.719999
"13","2008-05-23",25.42
"14","2008-05-27",25.379999
"15","2008-05-28",25.209999
"16","2008-05-29",24.950001
"17","2008-05-30",25.18
"18","2008-06-02",24.120001
"19","2008-06-03",24.200001
"20","2008-06-04",23.9
"21","2008-06-05",25.559999
"22","2008-06-06",24.98
"23","2008-06-09",24.969999
"24","2008-06-10",24.93
"25","2008-06-11",24.33
"26","2008-06-12",24.18
"27","2008-06-13",24.67
"28","2008-06-16",23.709999
"29","2008-06-17",23.459999
"30","2008-06-18",23.790001
"31","2008-06-19",23.889999
"32","2008-06-20",24
"33","2008-06-23",23.6
"34","2008-06-24",22.540001
"35","2008-06-25",22.540001
"36","2008-06-26",22.17
"37","2008-06-27",21.6
"38","2008-06-30",20.98
"39","2008-07-01",20.6
"40","2008-07-02",21.34
"41","2008-07-03",20.940001
"42","2008-07-07",21.32
"43","2008-07-08",21.5
"44","2008-07-09",21.65
"45","2008-07-10",21.85
"46","2008-07-11",21.639999
"47","2008-07-14",21.790001
"48","2008-07-15",21
"49","2008-07-16",21.030001
"50","2008-07-17",20.4
"51","2008-07-18",20.200001
"52","2008-07-21",20.559999
"53","2008-07-22",20.76
"54","2008-07-23",20.209999
"55","2008-07-24",20.450001
"56","2008-07-25",20.290001
"57","2008-07-28",20.18
"58","2008-07-29",20.25
"59","2008-07-30",20.67
"60","2008-07-31",20.67
"61","2008-08-01",20.92
"62","2008-08-04",20.719999
"63","2008-08-05",21
"64","2008-08-06",21.07
"65","2008-08-07",21.07
"66","2008-08-08",21.950001
"67","2008-08-11",21.98
"68","2008-08-12",21.66
"69","2008-08-13",22.790001
"70","2008-08-14",23.25
"71","2008-08-15",23.82
"72","2008-08-18",23.879999
"73","2008-08-19",23.969999
"74","2008-08-20",23.99
"75","2008-08-21",24.02
"76","2008-08-22",24.299999
"77","2008-08-25",24.17
"78","2008-08-26",24.15
"79","2008-08-27",24.9
"80","2008-08-28",24.809999
"81","2008-08-29",24.709999
"82","2008-09-02",25.280001
"83","2008-09-03",25.299999
"84","2008-09-04",25.15
"85","2008-09-05",25.16
"86","2008-09-08",25.610001
"87","2008-09-09",25.52
"88","2008-09-10",25.43
"89","2008-09-11",25.67
"90","2008-09-12",26.52
"91","2008-09-15",25.32
"92","2008-09-16",25.049999
"93","2008-09-17",24.75
"94","2008-09-18",24.65
"95","2008-09-19",25.190001
"96","2008-09-22",25
"97","2008-09-23",24.5
"98","2008-09-24",24.440001
"99","2008-09-25",24.469999
"100","2008-09-26",25.389999
"101","2008-09-29",24.280001
"102","2008-09-30",26.48
"103","2008-10-01",26.129999
"104","2008-10-02",25.360001
"105","2008-10-03",25.15
"106","2008-10-06",24.9
"107","2008-10-07",23.940001
"108","2008-10-08",23.790001
"109","2008-10-09",22.99
"110","2008-10-10",22.52
"111","2008-10-13",23.790001
"112","2008-10-14",23
