"","date","V"
"219","2009-01-29",11.5675
"220","2009-01-30",12.3375
"221","2009-02-02",12.4925
"222","2009-02-03",12.0975
"223","2009-02-04",12.2825
"224","2009-02-05",13.435
"225","2009-02-06",13.8525
"226","2009-02-09",13.83
"227","2009-02-10",13.4625
"228","2009-02-11",13.74
"229","2009-02-12",14.1
"230","2009-02-13",13.9875
"231","2009-02-17",13.5625
"232","2009-02-18",14.0375
"233","2009-02-19",13.9075
"234","2009-02-20",13.915
"235","2009-02-23",13.5625
"236","2009-02-24",14.0875
"237","2009-02-25",13.855
"238","2009-02-26",14.015
"239","2009-02-27",14.1775
"240","2009-03-02",13.54
"241","2009-03-03",13.59
"242","2009-03-04",13.8225
"243","2009-03-05",13.355
"244","2009-03-06",12.5475
"245","2009-03-09",12.45
"246","2009-03-10",13.2175
"247","2009-03-11",12.8425
"248","2009-03-12",13.5225
"249","2009-03-13",13.0125
"250","2009-03-16",13.0425
"251","2009-03-17",13.8225
"252","2009-03-18",14.0775
"253","2009-03-19",13.1725
"254","2009-03-20",13.1325
"255","2009-03-23",13.885
"256","2009-03-24",13.4
"257","2009-03-25",13.1875
"258","2009-03-26",13.875
"259","2009-03-27",13.5625
"260","2009-03-30",13.375
"261","2009-03-31",13.9
"262","2009-04-01",13.5725
"263","2009-04-02",13.8975
"264","2009-04-03",15.02
"265","2009-04-06",14.7825
"266","2009-04-07",14.2875
"267","2009-04-08",14.455
"268","2009-04-09",14.6975
"269","2009-04-13",15.2775
"270","2009-04-14",14.5825
"271","2009-04-15",14.7775
"272","2009-04-16",14.5175
"273","2009-04-17",14.5
"274","2009-04-20",13.75
"275","2009-04-21",14.6575
"276","2009-04-22",14.3775
"277","2009-04-23",14.5575
"278","2009-04-24",15.095
"279","2009-04-27",14.7175
"280","2009-04-28",15.1775
"281","2009-04-29",15.8775
"282","2009-04-30",16.24
"283","2009-05-01",16.252501
"284","2009-05-04",17.049999
"285","2009-05-05",16.8475
"286","2009-05-06",16.547501
"287","2009-05-07",16.3825
"288","2009-05-08",17.1075
"289","2009-05-11",16.4825
"290","2009-05-12",16.305
"291","2009-05-13",16.1175
"292","2009-05-14",16.129999
"293","2009-05-15",16.2675
"294","2009-05-18",16.602501
"295","2009-05-19",16.200001
"296","2009-05-20",16.24
"297","2009-05-21",16.57
"298","2009-05-22",16.4375
"299","2009-05-26",16.692499
"300","2009-05-27",16.48
"301","2009-05-28",16.625
"302","2009-05-29",16.9275
"303","2009-06-01",16.665001
"304","2009-06-02",16.702499
"305","2009-06-03",17.057501
"306","2009-06-04",17.379999
"307","2009-06-05",17.32
"308","2009-06-08",17.450001
"309","2009-06-09",17.157499
"310","2009-06-10",17.317499
"311","2009-06-11",16.68
"312","2009-06-12",16.09
"313","2009-06-15",16.1075
"314","2009-06-16",15.615
"315","2009-06-17",15.3375
"316","2009-06-18",15.3525
"317","2009-06-19",15.3425
"318","2009-06-22",15.31
"319","2009-06-23",15.6675
"320","2009-06-24",15.2725
"321","2009-06-25",15.4875
"322","2009-06-26",15.955
"323","2009-06-29",15.745
"324","2009-06-30",15.565
"325","2009-07-01",15.2
"326","2009-07-02",15.02
"327","2009-07-06",15.1675
"328","2009-07-07",14.9275
"329","2009-07-08",14.8725
"330","2009-07-09",15.11
"331","2009-07-10",14.965
"332","2009-07-13",15.0875
"333","2009-07-14",15.0725
"334","2009-07-15",15.6625
"335","2009-07-16",16.102501
"336","2009-07-17",16.025
"337","2009-07-20",16.780001
"338","2009-07-21",16.7875
"339","2009-07-22",16.7125
"340","2009-07-23",16.797501
"341","2009-07-24",16.8225
"342","2009-07-27",17.047501
"343","2009-07-28",16.575001
"344","2009-07-29",16.695
"345","2009-07-30",16.8025
"346","2009-07-31",16.365
"347","2009-08-03",17.2775
"348","2009-08-04",17.275
"349","2009-08-05",17.094999
"350","2009-08-06",17.1625
"351","2009-08-07",17.2925
"352","2009-08-10",17.219999
"353","2009-08-11",17.1525
"354","2009-08-12",17.112499
"355","2009-08-13",17.17
"356","2009-08-14",16.950001
"357","2009-08-17",16.6075
"358","2009-08-18",16.752501
"359","2009-08-19",16.799999
"360","2009-08-20",16.952499
"361","2009-08-21",17.25
"362","2009-08-24",16.987499
"363","2009-08-25",17.245001
"364","2009-08-26",17.549999
"365","2009-08-27",17.4275
"366","2009-08-28",17.625
"367","2009-08-31",17.775
"368","2009-09-01",17.545
"369","2009-09-02",17.525
"370","2009-09-03",17.727501
"371","2009-09-04",17.59
"372","2009-09-08",17.737499
"373","2009-09-09",17.620001
"374","2009-09-10",18.077499
"375","2009-09-11",18.0725
"376","2009-09-14",18.217501
"377","2009-09-15",18.299999
"378","2009-09-16",18.522499
"379","2009-09-17",18.455
"380","2009-09-18",18.4475
"381","2009-09-21",18.3475
"382","2009-09-22",18.602501
"383","2009-09-23",18.48
"384","2009-09-24",18.3825
"385","2009-09-25",17.665001
"386","2009-09-28",17.785
"387","2009-09-29",17.3925
"388","2009-09-30",17.2775
"389","2009-10-01",17.280001
"390","2009-10-02",16.9475
"391","2009-10-05",17.040001
"392","2009-10-06",17.065001
"393","2009-10-07",17.715
"394","2009-10-08",17.932501
"395","2009-10-09",18.235001
"396","2009-10-12",18.424999
"397","2009-10-13",18.6675
"398","2009-10-14",18.700001
"399","2009-10-15",18.77
"400","2009-10-16",18.5725
"401","2009-10-19",18.737499
"402","2009-10-20",18.762501
"403","2009-10-21",18.797501
"404","2009-10-22",18.922501
"405","2009-10-23",18.530001
"406","2009-10-26",18.195
"407","2009-10-27",18.475
"408","2009-10-28",19.1425
"409","2009-10-29",19.32
"410","2009-10-30",18.940001
"411","2009-11-02",19.3225
"412","2009-11-03",19.4125
"413","2009-11-04",19.577499
"414","2009-11-05",19.897499
"415","2009-11-06",19.9175
"416","2009-11-09",20.290001
"417","2009-11-10",20.275
"418","2009-11-11",20.205
"419","2009-11-12",19.98
"420","2009-11-13",20
"421","2009-11-16",19.887501
"422","2009-11-17",20.137501
"423","2009-11-18",20.0975
"424","2009-11-19",20.045
"425","2009-11-20",20
"426","2009-11-23",20.110001
"427","2009-11-24",20.155001
"428","2009-11-25",20.4475
"429","2009-11-27",20.0825
"430","2009-11-30",20.25
"431","2009-12-01",20.7425
"432","2009-12-02",20.555
"433","2009-12-03",20.0075
"434","2009-12-04",20.067499
"435","2009-12-07",19.9825
"436","2009-12-08",19.997499
"437","2009-12-09",20.4375
"438","2009-12-10",20.58
"439","2009-12-11",20.334999
"440","2009-12-14",21.192499
"441","2009-12-15",21.535
"442","2009-12-16",21.7575
"443","2009-12-17",21.7575
"444","2009-12-18",22.2425
"445","2009-12-21",21.877501
"446","2009-12-22",21.575001
"447","2009-12-23",21.5375
"448","2009-12-24",21.5725
"449","2009-12-28",21.690001
"450","2009-12-29",22.004999
"451","2009-12-30",22.035
"452","2009-12-31",21.865
"453","2010-01-04",22.035
"454","2010-01-05",21.782499
"455","2010-01-06",21.49
"456","2010-01-07",21.690001
"457","2010-01-08",21.75
"458","2010-01-11",21.6875
"459","2010-01-12",21.584999
"460","2010-01-13",21.785
"461","2010-01-14",21.860001
"462","2010-01-15",21.535
"463","2010-01-19",21.9625
"464","2010-01-20",21.855
"465","2010-01-21",21.112499
"466","2010-01-22",20.682501
"467","2010-01-25",20.5075
"468","2010-01-26",20.2875
"469","2010-01-27",20.977501
"470","2010-01-28",20.6625
"471","2010-01-29",20.5075
"472","2010-02-01",20.915001
"473","2010-02-02",21.002501
"474","2010-02-03",20.879999
"475","2010-02-04",20.762501
"476","2010-02-05",20.639999
"477","2010-02-08",20.762501
"478","2010-02-09",20.817499
"479","2010-02-10",20.91
"480","2010-02-11",21.285
"481","2010-02-12",21.195
"482","2010-02-16",21.469999
"483","2010-02-17",21.605
"484","2010-02-18",21.74
"485","2010-02-19",21.702499
"486","2010-02-22",21.727501
"487","2010-02-23",21.530001
"488","2010-02-24",21.407499
"489","2010-02-25",21.307501
"490","2010-02-26",21.32
"491","2010-03-01",21.705
"492","2010-03-02",21.612499
"493","2010-03-03",21.700001
"494","2010-03-04",21.76
"495","2010-03-05",22.127501
"496","2010-03-08",22.657499
"497","2010-03-09",22.5375
"498","2010-03-10",22.879999
"499","2010-03-11",23.184999
"500","2010-03-12",23.3125
"501","2010-03-15",23.102501
"502","2010-03-16",22.9125
"503","2010-03-17",22.877501
"504","2010-03-18",22.532499
"505","2010-03-19",22.209999
"506","2010-03-22",22.309999
"507","2010-03-23",22.495001
"508","2010-03-24",22.1875
"509","2010-03-25",22.602501
"510","2010-03-26",22.5625
"511","2010-03-29",22.559999
"512","2010-03-30",22.75
"513","2010-03-31",22.7575
"514","2010-04-01",23.137501
"515","2010-04-05",23.1175
"516","2010-04-06",23.1
"517","2010-04-07",22.6775
"518","2010-04-08",22.872499
"519","2010-04-09",23.129999
"520","2010-04-12",23.297501
"521","2010-04-13",23.1975
"522","2010-04-14",23.565001
"523","2010-04-15",23.612499
"524","2010-04-16",23.4625
"525","2010-04-19",23.280001
"526","2010-04-20",23.512501
"527","2010-04-21",23.282499
"528","2010-04-22",23.785
"529","2010-04-23",24.147499
"530","2010-04-26",24
"531","2010-04-27",23.237499
"532","2010-04-28",23.4025
"533","2010-04-29",23.205
"534","2010-04-30",22.557501
"535","2010-05-03",22.317499
"536","2010-05-04",22.092501
"537","2010-05-05",21.6075
"538","2010-05-06",20.73
"539","2010-05-07",20.5725
"540","2010-05-10",21.497499
"541","2010-05-11",21.040001
"542","2010-05-12",21.42
"543","2010-05-13",21.432501
"544","2010-05-14",19.315001
"545","2010-05-17",18.6775
"546","2010-05-18",17.522499
"547","2010-05-19",18.2425
"548","2010-05-20",18.205
"549","2010-05-21",18.549999
"550","2010-05-24",18.637501
"551","2010-05-25",18.2425
"552","2010-05-26",18.35
"553","2010-05-27",18.422501
"554","2010-05-28",18.115
"555","2010-06-01",17.872499
"556","2010-06-02",17.8125
"557","2010-06-03",18.209999
"558","2010-06-04",18.032499
"559","2010-06-07",17.9725
"560","2010-06-08",18.3375
"561","2010-06-09",18.450001
"562","2010-06-10",19.362499
"563","2010-06-11",19.02
"564","2010-06-14",18.445
"565","2010-06-15",19.2325
"566","2010-06-16",19.2925
"567","2010-06-17",19.559999
"568","2010-06-18",19.26
"569","2010-06-21",20.225
"570","2010-06-22",19.690001
"571","2010-06-23",19.440001
"572","2010-06-24",19.120001
"573","2010-06-25",19.165001
"574","2010-06-28",18.805
"575","2010-06-29",17.862499
"576","2010-06-30",17.6875
"577","2010-07-01",18.215
"578","2010-07-02",18.295
"579","2010-07-06",18.067499
"580","2010-07-07",18.705
"581","2010-07-08",18.77
"582","2010-07-09",19.344999
"583","2010-07-12",19.127501
"584","2010-07-13",19.147499
"585","2010-07-14",19.07
"586","2010-07-15",18.82
"587","2010-07-16",17.862499
"588","2010-07-19",17.805
"589","2010-07-20",18.4
"590","2010-07-21",18.09
"591","2010-07-22",18.615
"592","2010-07-23",18.897499
"593","2010-07-26",19.02
"594","2010-07-27",19.1525
"595","2010-07-28",18.795
"596","2010-07-29",17.995001
"597","2010-07-30",18.3375
"598","2010-08-02",18.057501
"599","2010-08-03",18.25
"600","2010-08-04",18.112499
"601","2010-08-05",17.875
"602","2010-08-06",18.035
"603","2010-08-09",18.684999
"604","2010-08-10",18.817499
"605","2010-08-11",18.377501
"606","2010-08-12",18.245001
"607","2010-08-13",18.055
"608","2010-08-16",18.2075
"609","2010-08-17",18.34
"610","2010-08-18",18.219999
"611","2010-08-19",17.907499
"612","2010-08-20",17.525
"613","2010-08-23",17.530001
"614","2010-08-24",17.665001
"615","2010-08-25",17.715
"616","2010-08-26",17.477501
"617","2010-08-27",17.7775
"618","2010-08-30",17.385
"619","2010-08-31",17.245001
"620","2010-09-01",17.6325
"621","2010-09-02",17.995001
"622","2010-09-03",18.125
"623","2010-09-07",17.875
"624","2010-09-08",17.137501
"625","2010-09-09",16.695
"626","2010-09-10",17.022499
"627","2010-09-13",16.370001
"628","2010-09-14",16.780001
"629","2010-09-15",17.2325
"630","2010-09-16",17.094999
"631","2010-09-17",17.122499
"632","2010-09-20",17.577499
"633","2010-09-21",17.485001
"634","2010-09-22",17.655001
"635","2010-09-23",17.745001
"636","2010-09-24",18.092501
"637","2010-09-27",18.25
"638","2010-09-28",18.317499
"639","2010-09-29",18.602501
"640","2010-09-30",18.565001
"641","2010-10-01",18.33
"642","2010-10-04",18.309999
"643","2010-10-05",18.747499
"644","2010-10-06",18.557501
"645","2010-10-07",18.4025
"646","2010-10-08",18.5
"647","2010-10-11",18.5725
"648","2010-10-12",18.5625
"649","2010-10-13",19.235001
"650","2010-10-14",19.2925
"651","2010-10-15",19.4
"652","2010-10-18",19.59
"653","2010-10-19",19.387501
"654","2010-10-20",19.879999
"655","2010-10-21",19.799999
"656","2010-10-22",19.8225
"657","2010-10-25",20.157499
"658","2010-10-26",20.0075
"659","2010-10-27",19.98
"660","2010-10-28",19.112499
"661","2010-10-29",19.540001
"662","2010-11-01",19.33
"663","2010-11-02",19.605
"664","2010-11-03",19.75
"665","2010-11-04",19.997499
"666","2010-11-05",19.950001
"667","2010-11-08",19.6775
"668","2010-11-09",19.58
"669","2010-11-10",19.8225
"670","2010-11-11",19.805
"671","2010-11-12",19.235001
"672","2010-11-15",19.09
"673","2010-11-16",18.747499
"674","2010-11-17",18.932501
"675","2010-11-18",19.235001
"676","2010-11-19",19.262501
"677","2010-11-22",18.865
"678","2010-11-23",18.6625
"679","2010-11-24",18.955
"680","2010-11-26",18.870001
"681","2010-11-29",18.547501
"682","2010-11-30",18.4625
"683","2010-12-01",18.805
"684","2010-12-02",19.25
