"","date","ALCO"
"1","2007-01-03",51.400002
"2","2007-01-04",51.330002
"3","2007-01-05",50.200001
"4","2007-01-08",48.759998
"5","2007-01-09",48.16
"6","2007-01-10",48.09
"7","2007-01-11",47.560001
"8","2007-01-12",47.540001
"9","2007-01-16",47.59
"10","2007-01-17",48.380001
"11","2007-01-18",49.57
"12","2007-01-19",50.720001
"13","2007-01-22",50.27
"14","2007-01-23",50.259998
"15","2007-01-24",51.48
"16","2007-01-25",51.43
"17","2007-01-26",52.060001
"18","2007-01-29",52.369999
"19","2007-01-30",52.360001
"20","2007-01-31",52.330002
"21","2007-02-01",52.18
"22","2007-02-02",52.73
"23","2007-02-05",50.349998
"24","2007-02-06",50.560001
"25","2007-02-07",50.330002
"26","2007-02-08",50.439999
"27","2007-02-09",49.619999
"28","2007-02-12",49.84
"29","2007-02-13",50.09
"30","2007-02-14",48.57
"31","2007-02-15",48.810001
"32","2007-02-16",48.799999
"33","2007-02-20",49.75
"34","2007-02-21",49.57
"35","2007-02-22",50.419998
"36","2007-02-23",49.169998
"37","2007-02-26",48.93
"38","2007-02-27",47.5
"39","2007-02-28",47.560001
"40","2007-03-01",48.130001
"41","2007-03-02",46.439999
"42","2007-03-05",46.860001
"43","2007-03-06",47.68
"44","2007-03-07",47.130001
"45","2007-03-08",47.349998
"46","2007-03-09",47.099998
"47","2007-03-12",47.93
"48","2007-03-13",48.610001
"49","2007-03-14",49.330002
"50","2007-03-15",50.040001
"51","2007-03-16",49.93
"52","2007-03-19",52.549999
"53","2007-03-20",53.310001
"54","2007-03-21",55.5
"55","2007-03-22",55.779999
"56","2007-03-23",58.830002
"57","2007-03-26",59.98
"58","2007-03-27",56.549999
"59","2007-03-28",57.389999
"60","2007-03-29",56.599998
"61","2007-03-30",57.330002
"62","2007-04-02",57.349998
"63","2007-04-03",57.310001
"64","2007-04-04",57.279999
"65","2007-04-05",55.639999
"66","2007-04-09",57.330002
"67","2007-04-10",58.580002
"68","2007-04-11",58.75
"69","2007-04-12",58.970001
"70","2007-04-13",60.200001
"71","2007-04-16",60
"72","2007-04-17",59.560001
"73","2007-04-18",59.799999
"74","2007-04-19",59.25
"75","2007-04-20",60.049999
"76","2007-04-23",61.34
"77","2007-04-24",60.939999
"78","2007-04-25",60.119999
"79","2007-04-26",59.5
"80","2007-04-27",60.02
"81","2007-04-30",58.509998
"82","2007-05-01",58.5
"83","2007-05-02",60.049999
"84","2007-05-03",59.73
"85","2007-05-04",59.810001
"86","2007-05-07",59.900002
