"","date","XHR"
"1","2015-02-04",20.549999
"2","2015-02-05",20.32
"3","2015-02-06",20.700001
"4","2015-02-09",20.959999
"5","2015-02-10",20.91
"6","2015-02-11",20.76
"7","2015-02-12",20.799999
"8","2015-02-13",20.790001
"9","2015-02-17",20.68
"10","2015-02-18",20.67
"11","2015-02-19",20.530001
"12","2015-02-20",20.75
"13","2015-02-23",20.620001
"14","2015-02-24",20.42
"15","2015-02-25",20.76
"16","2015-02-26",20.76
"17","2015-02-27",21.059999
"18","2015-03-02",21.17
"19","2015-03-03",21.139999
"20","2015-03-04",21.209999
"21","2015-03-05",21.370001
"22","2015-03-06",21.15
"23","2015-03-09",21.969999
"24","2015-03-10",21.99
"25","2015-03-11",22.52
"26","2015-03-12",22.58
"27","2015-03-13",22
"28","2015-03-16",22.700001
"29","2015-03-17",22.219999
"30","2015-03-18",22.85
"31","2015-03-19",22.58
"32","2015-03-20",24.09
"33","2015-03-23",23.790001
"34","2015-03-24",23.24
"35","2015-03-25",22.73
"36","2015-03-26",22.73
"37","2015-03-27",22.43
"38","2015-03-30",22.82
"39","2015-03-31",22.75
"40","2015-04-01",22.620001
"41","2015-04-02",23.209999
"42","2015-04-06",23.33
"43","2015-04-07",22.860001
"44","2015-04-08",23.35
"45","2015-04-09",22.74
"46","2015-04-10",22.84
"47","2015-04-13",22.6
"48","2015-04-14",22.540001
"49","2015-04-15",22.540001
"50","2015-04-16",22.299999
"51","2015-04-17",22.1
"52","2015-04-20",22.76
"53","2015-04-21",22.77
"54","2015-04-22",22.9
"55","2015-04-23",22.879999
"56","2015-04-24",22.99
"57","2015-04-27",22.690001
"58","2015-04-28",22.559999
"59","2015-04-29",22.219999
"60","2015-04-30",21.91
"61","2015-05-01",21.93
"62","2015-05-04",22.23
"63","2015-05-05",21.67
"64","2015-05-06",21.530001
"65","2015-05-07",22.17
"66","2015-05-08",22.690001
"67","2015-05-11",22.49
"68","2015-05-12",22.18
"69","2015-05-13",22.57
"70","2015-05-14",23.290001
"71","2015-05-15",23.459999
"72","2015-05-18",23.450001
"73","2015-05-19",23.15
